gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Ricardo,Alvarez,3664,White Oak Dr,Redding,Florida,United States,46080,40.8182,-79.4299,-10:00,Hawaii,ricardo.alvarez@example.com,1948-07-29T19:44:51.616Z,73,2016-10-11T01:25:24.583Z,5,(099)-582-1294,(372)-310-6067,SSN,765-07-7097,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
female,Ms,Esther,Black,4626,W Dallas St,Rochmond,Pennsylvania,United States,72638,-66.7628,-168.7936,-3:30,Newfoundland,esther.black@example.com,1985-04-15T02:20:09.067Z,36,2007-02-03T04:24:51.175Z,14,(392)-203-4132,(928)-222-9465,SSN,050-33-0029,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
female,Ms,Lillian,Brooks,5973,Ranchview Dr,Coral Springs,Hawaii,United States,43976,72.4026,-14.4242,+4:30,Kabul,lillian.brooks@example.com,1997-05-14T08:01:32.540Z,24,2007-07-15T16:40:06.353Z,14,(030)-172-0645,(478)-225-1643,SSN,717-19-5876,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
male,Mr,Edgar,Reed,3988,Bollinger Rd,St. Louis,Florida,United States,75596,-87.4136,-50.0860,-3:30,Newfoundland,edgar.reed@example.com,1995-09-18T08:12:34.993Z,26,2014-05-16T07:41:10.844Z,7,(679)-749-0644,(735)-060-6307,SSN,564-17-9254,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
female,Mrs,Lillie,Ross,5923,Photinia Ave,Wilmington,New Mexico,United States,81946,28.0703,35.0249,+3:30,Tehran,lillie.ross@example.com,1961-10-13T15:45:25.319Z,60,2017-03-06T19:21:13.545Z,4,(786)-258-4940,(765)-391-1974,SSN,079-06-0072,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Ms,Shannon,May,4180,Hickory Creek Dr,Pittsburgh,New Hampshire,United States,65530,53.0343,-54.0378,-8:00,Pacific Time (US & Canada),shannon.may@example.com,1948-06-22T01:53:10.229Z,73,2009-03-05T16:40:36.558Z,12,(546)-273-1507,(286)-792-2502,SSN,954-08-0808,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Miss,Sylvia,Mason,6248,E Pecan St,Rialto,Hawaii,United States,94513,42.0209,55.0051,+4:30,Kabul,sylvia.mason@example.com,1954-11-06T15:20:16.360Z,67,2004-09-24T08:38:04.013Z,17,(798)-841-4914,(009)-571-2068,SSN,640-78-3943,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
female,Miss,Jo,Snyder,2742,Crockett St,Fort Collins,Vermont,United States,40483,-0.6820,-165.6549,-8:00,Pacific Time (US & Canada),jo.snyder@example.com,1958-04-22T11:56:16.274Z,63,2019-08-21T23:34:34.802Z,2,(047)-127-5589,(028)-097-3154,SSN,582-45-4775,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,US
female,Ms,Frances,Henderson,2722,Groveland Terrace,Garden Grove,Maryland,United States,93593,36.2641,-99.9239,-8:00,Pacific Time (US & Canada),frances.henderson@example.com,1982-09-25T17:35:24.207Z,39,2009-04-06T05:00:07.988Z,12,(449)-937-7902,(789)-334-0064,SSN,387-73-0415,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Christian,Adams,8625,Elgin St,Pasadena,Oklahoma,United States,24146,85.0831,16.2498,-10:00,Hawaii,christian.adams@example.com,1976-03-14T04:54:53.742Z,45,2009-01-16T01:44:37.809Z,12,(054)-485-2187,(921)-560-7305,SSN,752-83-8193,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
male,Mr,Neil,Bishop,9970,Depaul Dr,Port St. Lucie,Connecticut,United States,33021,32.8816,25.7739,+5:45,Kathmandu,neil.bishop@example.com,1982-09-17T04:26:45.776Z,39,2012-05-18T20:54:29.384Z,9,(782)-571-1690,(628)-725-1563,SSN,416-98-4158,https://randomuser.me/api/portraits/men/21.jpg,https://randomuser.me/api/portraits/med/men/21.jpg,https://randomuser.me/api/portraits/thumb/men/21.jpg,US
female,Mrs,Ashley,Ramirez,3484,Nowlin Rd,Fargo,Montana,United States,93376,33.0773,90.6389,+4:30,Kabul,ashley.ramirez@example.com,1990-07-31T05:43:57.095Z,31,2011-02-16T20:56:15.231Z,10,(143)-373-1939,(763)-151-5248,SSN,785-56-4468,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
male,Mr,Mark,Clark,6049,Ash Dr,Newark,Washington,United States,95001,51.8341,-39.2336,-9:00,Alaska,mark.clark@example.com,1949-04-15T16:37:14.000Z,72,2014-04-17T16:53:20.891Z,7,(778)-650-1073,(846)-732-2189,SSN,107-55-9508,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Miss,Tina,Watts,2975,Stevens Creek Blvd,Tempe,Washington,United States,91534,15.8929,-27.8666,+3:30,Tehran,tina.watts@example.com,1980-09-15T09:25:14.486Z,41,2011-01-20T13:33:12.672Z,10,(424)-688-3510,(565)-621-5885,SSN,505-55-7849,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
