gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Daniel,Mckinney,157,Valley View Ln,Elk Grove,Hawaii,United States,11261,-66.8916,-179.3624,-7:00,Mountain Time (US & Canada),daniel.mckinney@example.com,1993-10-13T05:13:08.229Z,28,2016-02-16T02:32:13.079Z,5,(772)-798-1302,(688)-705-2656,SSN,657-83-7591,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
female,Ms,Renee,Weaver,9644,James St,Shreveport,Texas,United States,24923,-73.6051,-67.7747,-2:00,Mid-Atlantic,renee.weaver@example.com,1964-04-21T14:11:19.292Z,57,2013-01-30T23:30:46.840Z,8,(135)-685-6468,(163)-691-9795,SSN,587-02-7893,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
male,Mr,Ben,Rose,6498,Adams St,Cary,Tennessee,United States,54132,-55.6529,-160.3044,-8:00,Pacific Time (US & Canada),ben.rose@example.com,1983-11-10T00:04:07.151Z,38,2003-12-22T03:27:58.280Z,18,(472)-997-5831,(415)-848-6062,SSN,959-19-2461,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
male,Mr,Francis,Burton,7334,Adams St,Tampa,Arkansas,United States,32875,-11.1614,16.6761,-8:00,Pacific Time (US & Canada),francis.burton@example.com,1961-02-28T00:30:46.001Z,60,2010-11-13T15:20:55.993Z,11,(982)-834-4487,(633)-273-5312,SSN,616-72-6708,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
male,Mr,Vernon,Hanson,2640,Washington Ave,West Covina,Oklahoma,United States,61131,-28.7251,119.8940,-7:00,Mountain Time (US & Canada),vernon.hanson@example.com,1968-05-07T20:16:24.868Z,53,2010-07-21T17:34:41.327Z,11,(116)-587-8098,(253)-027-1292,SSN,170-90-5092,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
male,Mr,Kyle,Ross,951,Shady Ln Dr,Raleigh,Delaware,United States,48888,-72.8804,-95.4527,-9:00,Alaska,kyle.ross@example.com,1980-03-27T16:43:19.032Z,41,2014-09-18T03:20:24.233Z,7,(007)-641-2987,(870)-903-0715,SSN,092-15-4584,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
male,Mr,Christopher,Black,9167,Miller Ave,New Orleans,Washington,United States,12668,18.5922,130.6239,-10:00,Hawaii,christopher.black@example.com,1995-04-14T21:33:56.370Z,26,2016-11-04T10:22:55.303Z,5,(185)-246-0085,(959)-026-1475,SSN,525-27-5709,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
female,Miss,Bertha,Long,7020,Samaritan Dr,Torrance,New York,United States,26314,40.4739,113.2275,+5:45,Kathmandu,bertha.long@example.com,1961-07-15T20:45:32.835Z,60,2013-07-05T00:57:42.890Z,8,(359)-408-3602,(127)-744-4687,SSN,956-46-1639,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
female,Ms,Lillian,Kim,5813,Taylor St,Anna,Ohio,United States,33661,-44.7957,-110.9352,+3:30,Tehran,lillian.kim@example.com,1992-04-12T14:08:45.895Z,29,2010-02-23T20:27:33.542Z,11,(708)-272-0761,(665)-945-2841,SSN,651-67-3236,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
female,Miss,Jennifer,Fernandez,4423,Lakeview St,Dayton,Wyoming,United States,98250,-82.4962,-18.8459,-2:00,Mid-Atlantic,jennifer.fernandez@example.com,1968-04-24T00:40:03.567Z,53,2009-01-31T21:55:06.036Z,12,(292)-884-7786,(341)-717-4875,SSN,707-27-6457,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
male,Mr,Jorge,Miles,8555,Nowlin Rd,Cupertino,Connecticut,United States,72652,2.9603,149.5075,+5:45,Kathmandu,jorge.miles@example.com,1982-03-17T22:50:46.712Z,39,2005-12-08T17:43:29.367Z,16,(629)-444-6712,(891)-185-4435,SSN,106-97-8313,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
male,Mr,Brayden,Ortiz,6403,Hogan St,Jersey City,Maine,United States,78240,2.8689,-86.8898,-3:30,Newfoundland,brayden.ortiz@example.com,1980-04-01T14:02:07.326Z,41,2005-03-30T17:50:15.274Z,16,(993)-857-3448,(099)-970-8110,SSN,482-82-2212,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
male,Mr,Isaiah,Owens,4518,Karen Dr,Pompano Beach,Idaho,United States,36491,49.1297,108.7562,-8:00,Pacific Time (US & Canada),isaiah.owens@example.com,1961-03-07T14:11:42.430Z,60,2016-10-11T05:27:06.207Z,5,(761)-733-0836,(705)-406-1057,SSN,242-28-8911,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
male,Mr,Bernard,Garrett,5628,Miller Ave,Iowa Park,Delaware,United States,52669,-80.7664,-77.3848,-9:00,Alaska,bernard.garrett@example.com,1993-12-31T06:55:53.443Z,28,2006-12-15T14:43:38.159Z,15,(182)-942-5754,(738)-115-3919,SSN,434-32-1154,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
female,Ms,Marjorie,Kim,4222,W Dallas St,Atlanta,Kentucky,United States,57026,19.6144,-27.1693,-9:00,Alaska,marjorie.kim@example.com,1977-05-09T19:54:31.717Z,44,2016-07-22T02:25:35.312Z,5,(756)-629-8479,(980)-543-0639,SSN,174-66-3905,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
female,Ms,Julie,Perkins,4213,Daisy Dr,Pembroke Pines,Illinois,United States,98334,47.2712,-6.9296,-2:00,Mid-Atlantic,julie.perkins@example.com,1962-06-17T01:34:51.244Z,59,2009-05-21T06:55:31.856Z,12,(537)-378-4495,(388)-664-0059,SSN,430-60-9663,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
female,Miss,Cathy,Arnold,5056,W Sherman Dr,Augusta,Florida,United States,25349,61.9778,31.8720,-10:00,Hawaii,cathy.arnold@example.com,1956-11-20T08:07:27.351Z,65,2004-02-14T16:43:35.747Z,17,(064)-143-0004,(333)-812-7308,SSN,398-39-5749,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
