gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Sebastian,Diaz,1760,First Street,Grapevine,New Hampshire,United States,19166,-77.9619,176.6205,+3:30,Tehran,sebastian.diaz@example.com,1990-05-14T13:21:43.003Z,31,2018-10-24T19:53:35.520Z,3,(852)-829-8056,(420)-530-3192,SSN,599-52-8594,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
male,Mr,Luke,Reed,8946,W 6th St,North Charleston,West Virginia,United States,36679,40.6261,127.7375,-2:00,Mid-Atlantic,luke.reed@example.com,1956-02-20T03:49:54.152Z,65,2016-01-02T11:38:59.451Z,5,(068)-340-9299,(835)-099-5255,SSN,608-84-7437,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
female,Mrs,Megan,Fowler,4607,E North St,Davenport,Kansas,United States,61340,71.4333,136.6533,-8:00,Pacific Time (US & Canada),megan.fowler@example.com,1954-07-15T08:26:13.608Z,67,2004-05-22T20:15:02.737Z,17,(660)-058-9907,(996)-533-3583,SSN,613-65-7029,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,US
female,Mrs,Alma,Ferguson,5579,Edwards Rd,Greensboro,New York,United States,33781,47.5745,0.7231,-8:00,Pacific Time (US & Canada),alma.ferguson@example.com,1991-08-22T09:50:00.324Z,30,2012-12-27T01:06:52.437Z,9,(938)-840-8431,(473)-508-6530,SSN,528-23-5585,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
female,Ms,Laurie,Reynolds,273,Washington Ave,Salem,Washington,United States,35136,-47.1646,22.1080,-7:00,Mountain Time (US & Canada),laurie.reynolds@example.com,1952-11-14T06:48:08.063Z,69,2011-08-27T13:53:49.049Z,10,(177)-815-7537,(513)-500-1373,SSN,229-88-2096,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
male,Mr,Micheal,Hoffman,8748,Daisy Dr,Salt Lake City,Iowa,United States,83812,77.5686,72.2877,+4:30,Kabul,micheal.hoffman@example.com,1954-06-09T07:14:56.079Z,67,2011-05-12T10:59:05.304Z,10,(864)-066-9991,(655)-547-3809,SSN,430-29-7681,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
male,Mr,Russell,Morrison,3448,Karen Dr,Miami,Georgia,United States,42568,-78.5621,-106.7000,-7:00,Mountain Time (US & Canada),russell.morrison@example.com,1978-11-23T14:31:31.087Z,43,2014-12-25T22:54:23.411Z,7,(120)-383-3823,(634)-070-3347,SSN,160-68-8591,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
female,Mrs,Debbie,Adams,9837,Hunters Creek Dr,Yakima,Rhode Island,United States,49455,-19.8165,107.0450,-10:00,Hawaii,debbie.adams@example.com,1996-10-30T04:07:49.541Z,25,2005-12-27T02:44:10.501Z,16,(494)-977-4883,(934)-328-0692,SSN,469-98-8826,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
male,Mr,Lawrence,Wright,8739,Mockingbird Ln,Redding,Maryland,United States,88212,-83.9494,110.7475,+4:30,Kabul,lawrence.wright@example.com,1966-07-26T20:37:09.823Z,55,2018-05-24T18:41:15.078Z,3,(155)-658-5766,(241)-840-2443,SSN,808-41-6136,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
female,Ms,Bernice,Neal,8410,Bruce St,Baton Rouge,Ohio,United States,26451,-73.1255,4.7553,-3:30,Newfoundland,bernice.neal@example.com,1994-09-27T20:04:40.527Z,27,2015-04-01T15:12:32.499Z,6,(122)-323-4163,(618)-582-8806,SSN,079-19-6250,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
male,Mr,Charlie,Webb,5682,Fairview St,Utica,Ohio,United States,40603,-48.1389,-48.9140,+5:45,Kathmandu,charlie.webb@example.com,1994-05-02T18:51:42.117Z,27,2017-08-26T21:00:34.053Z,4,(062)-085-8855,(593)-144-4527,SSN,469-18-4048,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
female,Mrs,Dana,Marshall,5740,Saddle Dr,Albuquerque,Maryland,United States,83931,6.9635,-10.2442,+5:45,Kathmandu,dana.marshall@example.com,1948-03-10T11:19:02.049Z,73,2009-12-29T18:34:40.740Z,12,(745)-506-6669,(739)-969-2425,SSN,310-23-6555,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
