gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Dave,Carroll,3342,Timber Wolf Trail,Frederick,Minnesota,United States,33476,55.8236,-100.8120,-3:30,Newfoundland,dave.carroll@example.com,1954-02-02T04:18:10.573Z,67,2010-05-23T17:18:55.243Z,11,(049)-173-0086,(304)-338-9426,SSN,130-95-4096,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
female,Ms,Genesis,Wade,5950,E Sandy Lake Rd,Independence,Wyoming,United States,32310,-61.1748,-9.3955,-7:00,Mountain Time (US & Canada),genesis.wade@example.com,1961-02-10T12:47:49.717Z,60,2014-07-29T12:04:17.060Z,7,(349)-500-7925,(449)-599-4470,SSN,521-78-0819,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
female,Miss,Rosa,Carlson,891,Marsh Ln,Ventura,Texas,United States,74178,-15.8900,-178.4955,-8:00,Pacific Time (US & Canada),rosa.carlson@example.com,1947-12-06T13:20:28.601Z,74,2009-10-20T05:58:56.449Z,12,(638)-772-4804,(970)-094-2171,SSN,487-25-9274,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
male,Mr,Curtis,West,717,Hillcrest Rd,Lansing,New Hampshire,United States,46437,-67.8610,-1.0295,+3:30,Tehran,curtis.west@example.com,1981-07-17T16:01:38.045Z,40,2016-04-03T17:17:39.816Z,5,(227)-103-6187,(263)-237-7750,SSN,775-84-2208,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
female,Mrs,Lois,Carroll,4720,Groveland Terrace,Buffalo,Massachusetts,United States,72190,29.0092,83.7809,-10:00,Hawaii,lois.carroll@example.com,1978-04-02T22:55:34.002Z,43,2016-07-01T15:43:59.438Z,5,(858)-100-4411,(275)-019-1236,SSN,147-01-8402,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
male,Mr,Rick,Jordan,6426,Hogan St,Costa Mesa,Arizona,United States,53356,5.4550,26.4051,-9:00,Alaska,rick.jordan@example.com,1987-12-04T14:39:00.535Z,34,2015-09-21T21:06:06.881Z,6,(374)-705-1233,(257)-955-9503,SSN,247-09-2787,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Ms,Anna,Chavez,4656,Shady Ln Dr,Jackson,Mississippi,United States,20361,-5.5253,-160.0725,-9:00,Alaska,anna.chavez@example.com,1982-04-13T11:06:33.880Z,39,2005-11-26T10:22:06.062Z,16,(562)-881-8843,(634)-704-6424,SSN,474-93-3717,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
female,Mrs,Alyssa,Cole,1077,Westheimer Rd,Fountain Valley,Mississippi,United States,65723,40.6814,7.9812,-2:00,Mid-Atlantic,alyssa.cole@example.com,1968-08-16T00:48:50.055Z,53,2005-03-24T20:29:03.108Z,16,(022)-511-1302,(739)-030-1309,SSN,875-45-1214,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
male,Mr,Clinton,Burns,4317,W Dallas St,Sunnyvale,Tennessee,United States,25423,-34.9931,72.8903,+5:45,Kathmandu,clinton.burns@example.com,1981-03-10T21:16:49.226Z,40,2008-06-28T15:18:54.920Z,13,(766)-516-6522,(263)-619-0192,SSN,679-15-2942,https://randomuser.me/api/portraits/men/36.jpg,https://randomuser.me/api/portraits/med/men/36.jpg,https://randomuser.me/api/portraits/thumb/men/36.jpg,US
female,Ms,Lisa,Wagner,9403,Forest Ln,Eugene,Tennessee,United States,95450,-82.3305,49.0661,+5:45,Kathmandu,lisa.wagner@example.com,1945-06-24T06:28:59.498Z,76,2008-05-28T11:33:02.563Z,13,(850)-384-5372,(610)-126-5759,SSN,902-05-7511,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
female,Ms,Beth,Wilson,8448,Spring St,Cape Coral,Georgia,United States,60021,73.3214,-36.1813,+5:45,Kathmandu,beth.wilson@example.com,1962-04-22T00:36:54.864Z,59,2008-01-30T11:38:38.606Z,13,(423)-156-7052,(191)-420-0106,SSN,660-95-1942,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
