gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Regina,Morales,2096,E Little York Rd,Springfield,Alaska,United States,41785,-49.1814,60.9366,+4:30,Kabul,regina.morales@example.com,1997-02-21T02:41:33.681Z,24,2004-04-11T03:11:18.536Z,17,(789)-279-6934,(004)-761-6430,SSN,736-32-5186,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
female,Mrs,Theresa,Washington,759,Mcclellan Rd,Stanley,Ohio,United States,76687,-68.8451,-132.9927,+4:30,Kabul,theresa.washington@example.com,1988-01-11T14:49:16.314Z,33,2010-12-07T06:42:46.901Z,11,(119)-117-6750,(864)-779-7280,SSN,586-51-2167,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
male,Mr,Jesus,Hernandez,25,Wheeler Ridge Dr,Garland,Washington,United States,75234,-42.8906,-21.1326,-10:00,Hawaii,jesus.hernandez@example.com,1971-11-21T10:15:40.160Z,50,2018-06-10T21:41:52.584Z,3,(582)-737-0537,(962)-408-4181,SSN,901-14-8795,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
female,Ms,Terri,Lambert,7854,Oak Ridge Ln,Hamsburg,Iowa,United States,63726,47.4090,-103.4999,+4:30,Kabul,terri.lambert@example.com,1952-01-28T11:34:36.355Z,69,2016-01-30T16:59:35.027Z,5,(956)-020-1445,(253)-681-8553,SSN,151-36-4208,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
female,Ms,Marcia,Morrison,9266,W Gray St,Ironville,Kansas,United States,37185,-9.2552,-166.2751,-7:00,Mountain Time (US & Canada),marcia.morrison@example.com,1960-08-09T20:27:11.845Z,61,2013-07-09T17:08:55.152Z,8,(303)-990-2676,(014)-708-9201,SSN,853-57-1787,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
female,Mrs,Elaine,Porter,3448,Mockingbird Hill,Thousand Oaks,New Jersey,United States,29350,16.4732,145.1923,+4:30,Kabul,elaine.porter@example.com,1952-05-17T05:58:02.448Z,69,2015-07-30T08:12:32.286Z,6,(973)-190-9008,(634)-807-3786,SSN,320-74-6392,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg,US
male,Mr,Tim,Burke,2390,W Pecan St,Boston,Tennessee,United States,16783,64.0422,-137.6450,-7:00,Mountain Time (US & Canada),tim.burke@example.com,1993-11-03T12:22:30.486Z,28,2011-09-01T09:27:02.634Z,10,(493)-483-4879,(501)-938-1416,SSN,680-07-9258,https://randomuser.me/api/portraits/men/74.jpg,https://randomuser.me/api/portraits/med/men/74.jpg,https://randomuser.me/api/portraits/thumb/men/74.jpg,US
male,Mr,Mike,Vargas,3940,Preston Rd,Hamsburg,Georgia,United States,68497,-5.8134,-79.3361,-2:00,Mid-Atlantic,mike.vargas@example.com,1987-10-24T13:37:16.632Z,34,2012-10-09T18:14:32.714Z,9,(768)-328-1415,(686)-541-8797,SSN,522-55-6547,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,US
female,Ms,Dianne,Kim,1804,E Little York Rd,Anaheim,Oregon,United States,88863,-22.1472,-128.5939,+5:45,Kathmandu,dianne.kim@example.com,1994-05-10T04:36:56.358Z,27,2009-08-16T08:39:14.103Z,12,(102)-198-4039,(700)-434-1363,SSN,883-35-5309,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
male,Mr,Armando,Sanchez,9905,Brown Terrace,Frisco,Maryland,United States,16474,-3.0398,-107.9682,+3:30,Tehran,armando.sanchez@example.com,1973-11-01T19:48:00.380Z,48,2009-03-05T13:41:00.146Z,12,(582)-879-8304,(720)-843-3443,SSN,261-41-3800,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Miss,Dianne,Montgomery,8858,Spring Hill Rd,Ironville,Mississippi,United States,75642,62.7138,-123.4939,+3:30,Tehran,dianne.montgomery@example.com,1952-05-07T05:01:41.928Z,69,2007-12-30T05:48:41.357Z,14,(807)-686-6797,(113)-861-3579,SSN,762-19-3779,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
