gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Adam,Fox,7887,Lovers Ln,Lexington,West Virginia,United States,32368,-27.8796,65.6751,-9:00,Alaska,adam.fox@example.com,1989-12-02T14:35:55.720Z,32,2015-12-19T19:01:00.667Z,6,(798)-914-5563,(708)-569-1482,SSN,559-07-9120,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
female,Mrs,Meghan,Webb,6649,Locust Rd,Austin,South Carolina,United States,98053,72.4151,15.5685,-7:00,Mountain Time (US & Canada),meghan.webb@example.com,1955-10-02T17:51:01.632Z,66,2018-05-08T11:20:18.415Z,3,(953)-817-2634,(572)-630-4705,SSN,763-87-0045,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
female,Ms,Sylvia,Cox,7235,Avondale Ave,Burkburnett,Maine,United States,29351,10.2730,115.4037,-2:00,Mid-Atlantic,sylvia.cox@example.com,1969-03-22T15:45:50.723Z,52,2007-07-11T22:20:56.221Z,14,(052)-888-9391,(806)-441-7462,SSN,362-42-6867,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Miss,Genesis,Peck,5665,Depaul Dr,Concord,California,United States,66564,0.3239,93.3024,-3:30,Newfoundland,genesis.peck@example.com,1998-09-26T12:30:07.689Z,23,2012-12-15T08:24:10.449Z,9,(259)-192-9476,(627)-001-9624,SSN,944-03-5488,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
male,Mr,Gregory,Baker,3988,Miller Ave,Indianapolis,Colorado,United States,46667,5.1127,78.0726,-10:00,Hawaii,gregory.baker@example.com,1956-12-02T10:11:38.037Z,65,2012-11-17T03:23:56.748Z,9,(562)-231-0693,(477)-057-1031,SSN,052-09-5464,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
male,Mr,Gavin,Sullivan,4269,Crockett St,Centennial,Louisiana,United States,38263,-65.8894,-115.4458,-10:00,Hawaii,gavin.sullivan@example.com,1966-08-16T13:48:47.867Z,55,2013-02-28T00:13:49.448Z,8,(666)-747-6687,(883)-048-1862,SSN,176-10-7526,https://randomuser.me/api/portraits/men/29.jpg,https://randomuser.me/api/portraits/med/men/29.jpg,https://randomuser.me/api/portraits/thumb/men/29.jpg,US
male,Mr,Billy,Fisher,2544,Paddock Way,Murfreesboro,Pennsylvania,United States,53253,-31.0830,14.0345,+4:30,Kabul,billy.fisher@example.com,1991-12-19T08:51:27.496Z,30,2010-06-01T10:39:58.609Z,11,(582)-825-9699,(001)-886-0547,SSN,078-71-3122,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
female,Miss,Violet,Jensen,1144,Forest Ln,San Francisco,Minnesota,United States,82947,42.4504,-106.5510,-7:00,Mountain Time (US & Canada),violet.jensen@example.com,1996-01-22T11:14:18.465Z,25,2002-10-24T10:20:00.862Z,19,(445)-417-3235,(077)-366-7088,SSN,644-50-9080,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
male,Mr,Vincent,Fisher,3347,Fairview St,Colorado Springs,Missouri,United States,23535,-83.2543,-179.3644,-7:00,Mountain Time (US & Canada),vincent.fisher@example.com,1996-07-11T02:21:46.402Z,25,2011-09-05T00:12:38.651Z,10,(956)-542-7740,(791)-541-6694,SSN,893-75-0440,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
female,Mrs,Michele,Evans,9259,Fairview St,Antioch,New York,United States,42622,58.4439,150.5463,-3:30,Newfoundland,michele.evans@example.com,1972-12-02T13:20:56.951Z,49,2014-12-22T09:31:39.963Z,7,(022)-875-7631,(478)-205-1617,SSN,516-51-4094,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
