gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Naomi,Montgomery,1676,Royal Ln,Hialeah,Oklahoma,United States,36284,-80.2712,138.1872,-8:00,Pacific Time (US & Canada),naomi.montgomery@example.com,1991-01-23T07:07:54.717Z,30,2018-12-02T15:51:25.858Z,3,(700)-482-6771,(828)-582-1194,SSN,267-33-6491,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
male,Mr,Shane,Henry,3893,Robinson Rd,Pembroke Pines,Massachusetts,United States,68156,76.8346,-91.5716,+5:45,Kathmandu,shane.henry@example.com,1991-07-02T20:40:21.208Z,30,2013-12-10T02:14:36.143Z,8,(091)-799-0997,(411)-475-8758,SSN,433-41-8129,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
female,Mrs,Brittany,Reynolds,5175,Parker Rd,Oklahoma City,Rhode Island,United States,73479,52.9211,-13.2468,-3:30,Newfoundland,brittany.reynolds@example.com,1950-06-11T14:23:22.967Z,71,2018-04-19T20:30:17.764Z,3,(720)-670-7389,(744)-160-6154,SSN,398-34-3660,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
female,Mrs,Kathryn,West,2910,Oak Ridge Ln,Shreveport,Massachusetts,United States,54531,-72.3742,42.3741,-7:00,Mountain Time (US & Canada),kathryn.west@example.com,1959-08-20T10:15:39.635Z,62,2005-09-22T12:08:14.048Z,16,(939)-612-4777,(676)-346-2562,SSN,482-44-4585,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg,US
female,Miss,Terry,West,4499,E Sandy Lake Rd,Edison,Michigan,United States,78800,88.1890,61.6910,+3:30,Tehran,terry.west@example.com,1975-01-09T16:37:43.743Z,46,2005-08-03T08:25:52.476Z,16,(239)-695-9201,(603)-650-6480,SSN,765-24-4147,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Mrs,Darlene,Matthews,5778,Brown Terrace,Miami Gardens,Pennsylvania,United States,93867,0.0706,-70.0078,+4:30,Kabul,darlene.matthews@example.com,1971-12-29T04:10:06.107Z,50,2002-05-03T05:33:10.360Z,19,(090)-480-1598,(966)-976-2199,SSN,858-11-7662,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
male,Mr,Ricky,Morales,5043,Fairview St,Columbus,Wisconsin,United States,72246,-18.6014,155.7164,-2:00,Mid-Atlantic,ricky.morales@example.com,1961-12-07T03:31:41.861Z,60,2012-04-29T00:26:54.007Z,9,(527)-769-2663,(660)-661-6341,SSN,465-83-3639,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
female,Miss,Tina,Fisher,4741,Saddle Dr,Stanley,Wisconsin,United States,18674,-8.8839,-83.0616,-10:00,Hawaii,tina.fisher@example.com,1945-10-03T12:17:32.356Z,76,2009-07-11T23:29:44.952Z,12,(123)-969-2802,(246)-755-4266,SSN,758-29-2080,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
female,Mrs,Lillie,Mckinney,3028,Preston Rd,Lewiston,Nebraska,United States,76075,54.1791,37.9559,-8:00,Pacific Time (US & Canada),lillie.mckinney@example.com,1950-07-11T17:39:33.428Z,71,2013-08-11T12:04:45.363Z,8,(656)-534-2148,(939)-412-4706,SSN,040-50-5189,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
female,Miss,Dianne,Stanley,58,Hamilton Ave,Simi Valley,New Hampshire,United States,95881,48.7085,40.3933,+3:30,Tehran,dianne.stanley@example.com,1961-12-16T21:35:45.178Z,60,2015-11-02T07:43:25.060Z,6,(143)-804-3120,(155)-928-3922,SSN,412-87-7221,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
