gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Rodney,Larson,7700,Fairview St,Chandler,Nevada,United States,98415,33.3709,97.0850,-7:00,Mountain Time (US & Canada),rodney.larson@example.com,1994-01-01T05:29:25.989Z,28,2008-09-30T17:21:58.841Z,13,(692)-367-3121,(162)-319-2708,SSN,834-68-1476,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
female,Miss,Lena,Hayes,2921,Hunters Creek Dr,Sacramento,New Jersey,United States,30351,-12.3909,146.7967,-7:00,Mountain Time (US & Canada),lena.hayes@example.com,1960-08-01T07:33:22.195Z,61,2016-01-27T17:19:39.497Z,5,(798)-513-6533,(537)-572-4597,SSN,453-01-1852,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
male,Mr,Billy,Stephens,5599,Dane St,San Mateo,Georgia,United States,61721,31.8017,28.2400,-3:30,Newfoundland,billy.stephens@example.com,1986-10-28T11:39:07.565Z,35,2005-02-13T00:34:32.930Z,16,(403)-148-5406,(697)-573-3853,SSN,911-95-4295,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
male,Mr,Larry,Scott,3538,Oak Ridge Ln,Tacoma,Alabama,United States,99220,84.1569,-35.2659,-2:00,Mid-Atlantic,larry.scott@example.com,1958-09-27T16:47:54.429Z,63,2013-05-03T02:33:04.353Z,8,(177)-919-2625,(622)-694-2741,SSN,602-34-8773,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
female,Miss,Kim,Wilson,4886,Eason Rd,Indianapolis,Texas,United States,86230,12.5653,107.3127,-2:00,Mid-Atlantic,kim.wilson@example.com,1983-08-17T16:17:37.573Z,38,2010-02-08T11:57:17.016Z,11,(980)-083-8741,(882)-006-9070,SSN,678-84-0358,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
female,Ms,Deanna,Cox,5301,First Street,Los Lunas,South Dakota,United States,10649,54.2553,-165.5010,-2:00,Mid-Atlantic,deanna.cox@example.com,1965-12-23T08:42:59.048Z,56,2011-07-03T04:20:04.569Z,10,(888)-381-5785,(750)-838-6555,SSN,993-85-5031,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
male,Mr,Cecil,Willis,343,Stevens Creek Blvd,Santa Clara,Washington,United States,97401,12.1839,26.1285,-2:00,Mid-Atlantic,cecil.willis@example.com,1947-10-06T15:32:10.735Z,74,2016-05-25T06:29:34.343Z,5,(937)-587-7109,(180)-582-6442,SSN,932-74-9575,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
male,Mr,Jorge,Shelton,2168,Frances Ct,College Station,Massachusetts,United States,30530,-28.1234,-177.9754,-3:30,Newfoundland,jorge.shelton@example.com,1984-04-04T09:47:33.622Z,37,2009-10-20T01:10:38.052Z,12,(216)-135-8873,(215)-992-7042,SSN,803-89-1582,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Ms,Sophie,Mitchell,2258,Lakeview St,Providence,Maryland,United States,92270,-40.3361,-1.8711,-2:00,Mid-Atlantic,sophie.mitchell@example.com,1980-05-23T17:19:21.071Z,41,2011-04-08T18:27:17.439Z,10,(426)-599-4972,(954)-029-7149,SSN,675-10-4759,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
male,Mr,Logan,Stephens,2557,Lakeshore Rd,Manchester,Rhode Island,United States,82682,50.8971,77.1168,-10:00,Hawaii,logan.stephens@example.com,1966-07-22T07:59:58.061Z,55,2017-04-03T21:32:00.228Z,4,(525)-503-3087,(612)-777-6395,SSN,414-41-6512,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
