gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Bertha,Harper,7123,James St,Lowell,Idaho,United States,43389,-40.3086,-139.7457,+5:45,Kathmandu,bertha.harper@example.com,1957-09-06T16:25:34.482Z,64,2015-01-25T08:22:17.224Z,6,(993)-765-2420,(126)-683-1051,SSN,374-61-3196,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
female,Miss,Aubrey,Olson,3033,Edwards Rd,Saint Paul,Louisiana,United States,59276,9.5057,-108.9174,+5:45,Kathmandu,aubrey.olson@example.com,1945-09-13T19:49:46.221Z,76,2009-04-19T16:52:43.020Z,12,(150)-340-1912,(397)-887-6882,SSN,479-32-6225,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
male,Mr,Douglas,Holmes,7701,Mockingbird Ln,Baton Rouge,Colorado,United States,95178,71.7453,-94.9134,-3:30,Newfoundland,douglas.holmes@example.com,1985-06-05T07:33:16.301Z,36,2006-06-04T10:34:41.144Z,15,(640)-494-4356,(710)-679-4165,SSN,934-64-8035,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
female,Miss,Lucille,Jimenez,6720,Wheeler Ridge Dr,Kansas City,Mississippi,United States,83937,49.3847,-149.7251,-3:30,Newfoundland,lucille.jimenez@example.com,1950-01-19T05:24:43.954Z,71,2016-01-24T00:51:18.377Z,5,(990)-645-8017,(984)-964-7546,SSN,483-26-5127,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
male,Mr,Gilbert,Patterson,5407,Cackson St,North Charleston,Colorado,United States,72824,-37.0145,62.8868,+3:30,Tehran,gilbert.patterson@example.com,1968-04-27T10:30:17.317Z,53,2003-07-13T14:44:10.721Z,18,(131)-036-5479,(197)-747-9408,SSN,695-24-0866,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Ms,Alexa,Brooks,3333,W Gray St,Oakland,Idaho,United States,23407,-85.9869,25.8210,+4:30,Kabul,alexa.brooks@example.com,1992-01-21T02:18:45.787Z,29,2003-10-19T14:27:36.676Z,18,(335)-869-4822,(253)-968-2412,SSN,670-90-0021,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
female,Mrs,Terry,Daniels,636,Eason Rd,Arvada,Vermont,United States,46238,12.4773,14.6446,-3:30,Newfoundland,terry.daniels@example.com,1949-12-15T01:46:10.437Z,72,2019-03-16T05:20:20.700Z,2,(444)-180-9974,(917)-624-5906,SSN,039-90-6952,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
male,Mr,Harry,West,3994,Prospect Rd,Redding,Connecticut,United States,74484,24.5149,40.8014,-7:00,Mountain Time (US & Canada),harry.west@example.com,1960-06-11T08:07:39.972Z,61,2007-09-27T11:13:18.479Z,14,(777)-192-3524,(586)-250-4655,SSN,076-35-6614,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
male,Mr,Francisco,Ryan,7915,Sunset St,Centennial,Nevada,United States,14402,47.7035,104.4665,-3:30,Newfoundland,francisco.ryan@example.com,1976-02-22T12:10:26.189Z,45,2012-12-03T17:26:33.329Z,9,(507)-689-7005,(536)-061-0992,SSN,978-57-3187,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
female,Mrs,Christina,Elliott,8286,Wycliff Ave,Ennis,Montana,United States,78845,62.5972,-29.8267,-8:00,Pacific Time (US & Canada),christina.elliott@example.com,1963-08-28T17:53:59.448Z,58,2010-10-17T16:39:26.508Z,11,(233)-085-2014,(643)-878-6264,SSN,555-93-0212,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
male,Mr,Alfredo,Wade,1313,Bruce St,Port St. Lucie,Nebraska,United States,88598,16.8429,94.8326,-7:00,Mountain Time (US & Canada),alfredo.wade@example.com,1946-07-02T17:40:28.852Z,75,2013-03-13T20:10:30.457Z,8,(378)-685-8200,(334)-594-6316,SSN,589-47-4905,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
female,Miss,Maxine,Jensen,2505,W Dallas St,Fort Worth,West Virginia,United States,16129,-41.8169,-27.4436,-8:00,Pacific Time (US & Canada),maxine.jensen@example.com,1969-04-30T17:54:51.207Z,52,2003-08-03T01:52:20.927Z,18,(852)-274-2344,(155)-909-2042,SSN,033-72-6880,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
