gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Wallace,Carroll,9506,Woodland St,Addison,Mississippi,United States,27864,-73.2667,2.1350,-9:00,Alaska,wallace.carroll@example.com,1970-01-12T12:37:59.368Z,51,2010-09-29T23:42:53.700Z,11,(957)-383-5159,(794)-051-0643,SSN,210-71-5793,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
male,Mr,Marcus,Anderson,3313,Sunset St,Midland,North Carolina,United States,77007,-48.2721,59.4574,-7:00,Mountain Time (US & Canada),marcus.anderson@example.com,1968-05-29T21:52:14.998Z,53,2015-08-07T13:19:14.796Z,6,(851)-572-1485,(554)-051-2861,SSN,402-05-4693,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
male,Mr,Roberto,Hale,7856,E North St,Grants Pass,Maine,United States,79910,35.0887,4.4672,+3:30,Tehran,roberto.hale@example.com,1966-10-21T18:54:22.998Z,55,2004-03-16T04:28:59.211Z,17,(840)-004-5929,(234)-858-3129,SSN,208-40-8788,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
female,Ms,Jane,Carroll,4223,Lovers Ln,Richmond,Michigan,United States,81650,53.2492,-27.5060,+3:30,Tehran,jane.carroll@example.com,1950-07-13T17:43:21.882Z,71,2006-12-01T12:13:17.924Z,15,(075)-467-1657,(945)-256-2788,SSN,536-14-8735,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
male,Mr,Roberto,Rodriquez,1168,Smokey Ln,Sterling Heights,Hawaii,United States,35142,-55.2226,-173.1364,-8:00,Pacific Time (US & Canada),roberto.rodriquez@example.com,1958-09-20T20:56:32.666Z,63,2005-02-17T08:26:01.894Z,16,(215)-607-2088,(767)-179-4549,SSN,562-42-6096,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Ms,Susan,Brooks,9892,Lone Wolf Trail,Warren,New Mexico,United States,27181,-39.7150,170.0890,+3:30,Tehran,susan.brooks@example.com,1974-08-29T16:24:12.618Z,47,2002-08-09T11:01:16.683Z,19,(897)-375-9831,(897)-219-0021,SSN,869-04-0462,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
female,Ms,Louise,Miller,3585,Northaven Rd,Waterbury,Virginia,United States,94953,16.7392,-1.3517,-7:00,Mountain Time (US & Canada),louise.miller@example.com,1993-12-23T23:33:22.264Z,28,2006-08-10T10:49:37.933Z,15,(872)-703-7369,(904)-782-3580,SSN,240-64-6273,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Mrs,Dawn,Castro,8132,W Dallas St,Reno,Wyoming,United States,22007,-54.6316,-23.3582,-8:00,Pacific Time (US & Canada),dawn.castro@example.com,1986-08-11T19:07:40.569Z,35,2004-01-09T00:02:28.264Z,17,(195)-221-7274,(477)-676-4262,SSN,621-80-0736,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
male,Mr,Ben,Perkins,7909,Spring St,Everett,Utah,United States,82430,-25.6511,-36.7546,-2:00,Mid-Atlantic,ben.perkins@example.com,1994-03-29T03:34:40.110Z,27,2002-08-23T18:46:07.254Z,19,(848)-529-3551,(515)-301-8804,SSN,846-43-7328,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Ms,Deanna,Hoffman,6946,W Sherman Dr,Richardson,Missouri,United States,66664,51.9869,-123.3755,+4:30,Kabul,deanna.hoffman@example.com,1955-12-05T13:31:22.085Z,66,2002-08-28T01:54:20.860Z,19,(205)-705-6265,(908)-732-8708,SSN,567-97-9630,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
