gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Shelly,Andrews,2882,Pecan Acres Ln,Torrance,South Dakota,United States,33789,-29.7963,155.6883,-2:00,Mid-Atlantic,shelly.andrews@example.com,1994-06-01T19:31:12.807Z,27,2015-11-30T05:34:46.028Z,6,(644)-739-0155,(742)-839-6826,SSN,923-66-9392,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
female,Miss,Melissa,Gonzalez,3232,Robinson Rd,San Antonio,Delaware,United States,65205,-63.0415,33.7336,-9:00,Alaska,melissa.gonzalez@example.com,1965-12-10T08:54:45.441Z,56,2015-03-22T21:51:40.106Z,6,(129)-582-5145,(578)-524-8937,SSN,416-55-8388,https://randomuser.me/api/portraits/women/66.jpg,https://randomuser.me/api/portraits/med/women/66.jpg,https://randomuser.me/api/portraits/thumb/women/66.jpg,US
male,Mr,Connor,Barrett,5067,E Sandy Lake Rd,Antioch,Vermont,United States,16316,24.0756,129.4212,-3:30,Newfoundland,connor.barrett@example.com,1951-08-07T02:20:47.666Z,70,2019-01-08T08:56:17.275Z,2,(830)-043-7980,(161)-608-6687,SSN,994-14-7665,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Miss,Sharlene,Steward,6353,Country Club Rd,Mesquite,Maine,United States,58778,26.4357,35.9946,+4:30,Kabul,sharlene.steward@example.com,1975-03-22T12:53:43.862Z,46,2015-12-11T06:19:13.616Z,6,(813)-829-6949,(965)-227-2547,SSN,892-48-4270,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
male,Mr,Charlie,Rice,5296,Pockrus Page Rd,Rio Rancho,Kentucky,United States,51874,-54.9868,-112.9578,+4:30,Kabul,charlie.rice@example.com,1991-08-27T07:21:12.714Z,30,2005-12-15T23:25:45.750Z,16,(870)-382-2540,(085)-957-3524,SSN,293-97-4082,https://randomuser.me/api/portraits/men/69.jpg,https://randomuser.me/api/portraits/med/men/69.jpg,https://randomuser.me/api/portraits/thumb/men/69.jpg,US
female,Miss,Harper,Holt,1168,Prospect Rd,Manchester,Iowa,United States,93582,-52.3586,-171.2603,+5:45,Kathmandu,harper.holt@example.com,1993-03-14T04:02:54.674Z,28,2010-03-05T19:37:47.256Z,11,(347)-236-3192,(606)-633-3033,SSN,425-10-1757,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
female,Mrs,Camila,Carroll,9412,Marsh Ln,Fullerton,Nevada,United States,30850,17.2841,94.4250,-9:00,Alaska,camila.carroll@example.com,1950-01-05T23:39:13.876Z,71,2013-02-14T07:07:31.184Z,8,(555)-219-3195,(420)-395-2850,SSN,132-76-3081,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
female,Miss,Brianna,Powell,9050,Plum St,Hialeah,Washington,United States,89134,80.3939,-34.7669,-2:00,Mid-Atlantic,brianna.powell@example.com,1993-09-29T22:31:23.885Z,28,2010-10-09T02:08:41.255Z,11,(575)-487-3614,(964)-577-2060,SSN,920-21-4095,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
male,Mr,Elmer,Bailey,491,Frances Ct,El Paso,Wyoming,United States,13682,-81.2500,59.6699,-8:00,Pacific Time (US & Canada),elmer.bailey@example.com,1988-05-11T20:23:44.299Z,33,2002-08-17T14:36:50.871Z,19,(099)-012-9810,(943)-012-1754,SSN,345-12-4939,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
female,Miss,Olivia,Fernandez,2504,Northaven Rd,Desoto,Washington,United States,33398,3.8198,139.9734,+3:30,Tehran,olivia.fernandez@example.com,1951-06-08T10:33:47.297Z,70,2018-05-20T07:08:05.000Z,3,(785)-874-5283,(052)-256-7862,SSN,931-98-7507,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
