gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Zack,Gordon,4645,Stevens Creek Blvd,Bakersfield,Vermont,United States,35875,75.1583,-0.3087,-7:00,Mountain Time (US & Canada),zack.gordon@example.com,1980-03-05T12:22:37.439Z,41,2002-08-24T08:54:30.558Z,19,(607)-600-6964,(765)-253-0971,SSN,312-94-8688,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Ms,Pearl,Williams,7730,Saddle Dr,Scottsdale,Rhode Island,United States,42008,-45.9846,-122.0440,+4:30,Kabul,pearl.williams@example.com,1973-11-25T16:49:20.140Z,48,2013-10-24T19:25:28.943Z,8,(506)-772-7768,(935)-815-1537,SSN,701-52-8723,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,US
male,Mr,Ernest,George,3080,Mcgowen St,Costa Mesa,Tennessee,United States,98735,32.1012,-130.8149,-10:00,Hawaii,ernest.george@example.com,1976-02-29T14:19:00.064Z,45,2008-05-25T18:40:41.133Z,13,(091)-686-8455,(033)-116-1479,SSN,683-44-4315,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
female,Mrs,Kristina,Shelton,4631,Wheeler Ridge Dr,Santa Clarita,West Virginia,United States,93673,-71.0675,30.1269,-8:00,Pacific Time (US & Canada),kristina.shelton@example.com,1971-05-22T08:07:18.735Z,50,2015-12-10T19:32:29.885Z,6,(584)-203-4689,(638)-421-0524,SSN,763-45-8655,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
male,Mr,Tommy,Bryant,8003,Royal Ln,South Valley,Indiana,United States,78018,40.0712,-107.3018,+4:30,Kabul,tommy.bryant@example.com,1956-06-12T18:04:37.190Z,65,2019-07-11T03:22:56.508Z,2,(530)-148-8141,(530)-993-0951,SSN,350-45-2658,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Miss,Alexis,Brooks,8442,Poplar Dr,Fairfield,Vermont,United States,14603,-16.8070,-9.5540,-2:00,Mid-Atlantic,alexis.brooks@example.com,1956-08-22T09:49:45.509Z,65,2019-02-21T04:17:55.257Z,2,(149)-764-6820,(856)-688-4962,SSN,272-89-3244,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
male,Mr,Herbert,Daniels,415,Bollinger Rd,Westminster,Massachusetts,United States,25256,-64.3780,-13.2774,-2:00,Mid-Atlantic,herbert.daniels@example.com,1985-09-26T19:22:08.664Z,36,2005-12-22T05:20:09.962Z,16,(521)-409-2401,(855)-332-4429,SSN,089-99-8751,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
male,Mr,Connor,Moreno,2814,Elgin St,Bellevue,Rhode Island,United States,68471,71.9280,-12.3043,-2:00,Mid-Atlantic,connor.moreno@example.com,1960-05-07T21:09:30.563Z,61,2013-07-01T07:32:47.574Z,8,(957)-682-9637,(589)-209-5144,SSN,083-53-0439,https://randomuser.me/api/portraits/men/29.jpg,https://randomuser.me/api/portraits/med/men/29.jpg,https://randomuser.me/api/portraits/thumb/men/29.jpg,US
male,Mr,Charles,King,4136,Stevens Creek Blvd,Syracuse,West Virginia,United States,76682,69.8571,23.6184,+4:30,Kabul,charles.king@example.com,1994-02-28T19:45:47.793Z,27,2013-10-04T08:49:53.556Z,8,(183)-750-5838,(970)-844-3136,SSN,304-15-2420,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
male,Mr,Isaac,Ramirez,7844,Nowlin Rd,Thousand Oaks,Idaho,United States,14579,14.1582,67.1148,+3:30,Tehran,isaac.ramirez@example.com,1979-05-04T03:31:14.935Z,42,2007-11-10T23:02:57.858Z,14,(194)-175-7637,(872)-148-8357,SSN,133-92-5359,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
female,Ms,Bertha,Byrd,6861,Marsh Ln,Elgin,California,United States,16802,-24.8142,-150.2610,-3:30,Newfoundland,bertha.byrd@example.com,1947-02-22T08:53:35.004Z,74,2013-12-07T16:17:11.025Z,8,(767)-257-2128,(489)-748-8704,SSN,616-47-7159,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
male,Mr,Walter,Duncan,5065,Hillcrest Rd,Nashville,Kentucky,United States,10555,38.7812,-45.7525,+4:30,Kabul,walter.duncan@example.com,1983-10-06T11:39:11.060Z,38,2004-12-26T10:40:04.131Z,17,(402)-380-2410,(359)-814-2109,SSN,791-06-9990,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
female,Mrs,Alicia,Nguyen,6973,Walnut Hill Ln,Cape Fear,Minnesota,United States,50336,81.3353,-49.0384,+3:30,Tehran,alicia.nguyen@example.com,1972-01-29T01:11:05.043Z,49,2005-02-27T06:05:55.162Z,16,(604)-937-6829,(015)-459-4867,SSN,695-73-2488,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
male,Mr,Ernest,Armstrong,3774,Camden Ave,Miami Gardens,Pennsylvania,United States,92800,-44.7344,-105.2197,-8:00,Pacific Time (US & Canada),ernest.armstrong@example.com,1948-07-26T07:56:49.753Z,73,2018-07-15T12:46:26.715Z,3,(937)-146-0186,(758)-659-0831,SSN,179-72-8457,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
