gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Sergio,Morris,256,Preston Rd,Pueblo,Georgia,United States,24335,12.3498,79.4672,-7:00,Mountain Time (US & Canada),sergio.morris@example.com,1965-08-17T12:54:07.871Z,56,2014-05-05T16:28:29.706Z,7,(556)-282-9367,(325)-933-6816,SSN,828-06-8838,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
male,Mr,Allan,Hunt,149,Bollinger Rd,Rio Rancho,South Carolina,United States,38066,-70.4394,23.5586,-8:00,Pacific Time (US & Canada),allan.hunt@example.com,1963-07-26T15:25:04.611Z,58,2005-01-25T09:46:37.761Z,16,(588)-923-4844,(612)-431-4304,SSN,282-83-1328,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
male,Mr,Henry,Fox,579,Frances Ct,Saginaw,South Dakota,United States,59549,9.9958,165.7853,-7:00,Mountain Time (US & Canada),henry.fox@example.com,1986-03-14T23:40:12.794Z,35,2002-08-23T11:53:59.795Z,19,(219)-724-1876,(227)-200-2141,SSN,862-78-1751,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
female,Ms,Nina,Simpson,3893,Woodland St,Alexandria,Utah,United States,40381,-75.3762,140.7065,-8:00,Pacific Time (US & Canada),nina.simpson@example.com,1982-12-08T10:26:36.711Z,39,2006-04-17T06:47:14.874Z,15,(036)-341-2457,(410)-228-6608,SSN,965-62-3118,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
male,Mr,Virgil,Beck,8768,Spring St,Coral Springs,Arkansas,United States,99619,-21.5511,-79.7044,-2:00,Mid-Atlantic,virgil.beck@example.com,1949-02-21T05:58:37.142Z,72,2013-04-20T14:11:57.582Z,8,(398)-782-4732,(058)-152-7495,SSN,970-27-1457,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
male,Mr,Clarence,Gray,6983,Marsh Ln,Norfolk,Rhode Island,United States,31102,21.5669,96.5121,-7:00,Mountain Time (US & Canada),clarence.gray@example.com,1989-12-26T19:56:27.712Z,32,2007-09-29T23:48:42.843Z,14,(825)-718-5716,(993)-598-1939,SSN,700-53-4165,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
male,Mr,Ben,Garcia,7007,Hamilton Ave,Elgin,Vermont,United States,94311,-56.5829,73.1475,-9:00,Alaska,ben.garcia@example.com,1995-08-18T12:53:23.841Z,26,2002-10-17T08:52:20.875Z,19,(090)-240-2670,(453)-040-9482,SSN,421-83-8480,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
female,Miss,Louella,Davidson,543,Washington Ave,Jacksonville,Iowa,United States,88150,-64.2064,142.6202,-7:00,Mountain Time (US & Canada),louella.davidson@example.com,1974-04-17T13:28:59.484Z,47,2009-03-05T09:52:37.875Z,12,(262)-128-5496,(999)-965-7904,SSN,255-53-3650,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
male,Mr,Randall,Thompson,5683,W Belt Line Rd,Denver,Alabama,United States,52093,13.3033,-9.8778,+3:30,Tehran,randall.thompson@example.com,1959-02-20T11:26:09.872Z,62,2016-03-01T20:24:12.485Z,5,(552)-472-0308,(722)-635-3468,SSN,944-31-4314,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
female,Mrs,Isabella,Jones,779,Fincher Rd,Eugene,Washington,United States,22658,76.9513,-131.6642,-8:00,Pacific Time (US & Canada),isabella.jones@example.com,1967-10-22T14:29:03.479Z,54,2019-03-26T20:56:20.804Z,2,(693)-198-6373,(926)-750-7287,SSN,887-51-0614,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Mrs,Christy,Payne,6791,Depaul Dr,Medford,Massachusetts,United States,23893,15.8554,-52.7509,+3:30,Tehran,christy.payne@example.com,1956-08-30T21:40:03.657Z,65,2007-05-06T15:31:03.726Z,14,(632)-035-4274,(946)-872-0722,SSN,023-52-3391,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Donald,Johnson,6921,Taylor St,New York,Ohio,United States,69295,50.2650,4.2329,-2:00,Mid-Atlantic,donald.johnson@example.com,1946-07-31T16:04:55.032Z,75,2006-12-28T16:23:00.908Z,15,(012)-633-3446,(151)-014-6798,SSN,423-72-6362,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg,US
male,Mr,Clayton,Alexander,7060,Nowlin Rd,Wilmington,Arkansas,United States,50227,19.1187,-10.8542,-9:00,Alaska,clayton.alexander@example.com,1950-03-29T08:26:03.866Z,71,2011-01-16T05:39:53.026Z,10,(526)-599-4534,(972)-369-1051,SSN,073-96-9957,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
