gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Tanya,Hawkins,3495,Central St,Joliet,Vermont,United States,32193,1.5386,-117.9824,+4:30,Kabul,tanya.hawkins@example.com,1962-03-20T00:16:38.428Z,59,2012-06-15T10:24:54.726Z,9,(507)-559-7965,(322)-674-9376,SSN,036-16-9213,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
male,Mr,Gregory,Holland,6765,W Pecan St,Coral Springs,New Jersey,United States,38377,75.5187,43.8916,-8:00,Pacific Time (US & Canada),gregory.holland@example.com,1948-04-04T23:54:59.814Z,73,2010-01-12T10:42:52.529Z,11,(976)-673-8595,(767)-476-8051,SSN,097-14-2975,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
male,Mr,Craig,West,3762,Sunset St,Greensboro,Iowa,United States,20707,1.2141,-150.5767,-3:30,Newfoundland,craig.west@example.com,1985-02-14T10:37:56.479Z,36,2014-07-07T09:13:48.208Z,7,(768)-770-0117,(609)-397-6850,SSN,834-49-3927,https://randomuser.me/api/portraits/men/60.jpg,https://randomuser.me/api/portraits/med/men/60.jpg,https://randomuser.me/api/portraits/thumb/men/60.jpg,US
male,Mr,Judd,Simpson,3231,Crockett St,Cedar Hill,Nebraska,United States,97679,25.7694,-17.2760,-3:30,Newfoundland,judd.simpson@example.com,1994-07-21T10:04:24.085Z,27,2019-02-13T09:05:40.710Z,2,(486)-070-4381,(461)-168-2438,SSN,020-60-8597,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
female,Ms,Ida,Mccoy,367,Elgin St,Hayward,New Mexico,United States,48953,-17.5812,120.4374,-7:00,Mountain Time (US & Canada),ida.mccoy@example.com,1965-06-25T22:32:09.093Z,56,2014-03-29T21:59:39.954Z,7,(908)-701-5469,(826)-719-5120,SSN,723-28-2745,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
female,Mrs,Rosemary,Carr,2690,Woodland St,Huntington Beach,New Hampshire,United States,54986,-80.0857,139.1146,-10:00,Hawaii,rosemary.carr@example.com,1967-12-23T10:50:48.724Z,54,2007-07-21T03:14:31.442Z,14,(519)-190-1554,(210)-699-3735,SSN,928-42-6846,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Craig,Gibson,5664,Parker Rd,Palmdale,Alabama,United States,25086,-45.4633,-24.3869,-8:00,Pacific Time (US & Canada),craig.gibson@example.com,1992-08-07T22:30:18.305Z,29,2006-02-13T18:12:52.305Z,15,(595)-552-4865,(606)-117-9267,SSN,528-05-0344,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
female,Ms,Alexis,Mitchelle,421,Avondale Ave,Ventura,New York,United States,65287,-0.0270,41.7399,-7:00,Mountain Time (US & Canada),alexis.mitchelle@example.com,1953-01-01T03:37:58.563Z,69,2003-01-22T08:08:39.069Z,18,(979)-879-9418,(526)-075-5282,SSN,902-50-4983,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Ms,Becky,Lynch,1527,Edwards Rd,San Francisco,North Dakota,United States,78902,78.4076,172.2662,-3:30,Newfoundland,becky.lynch@example.com,1955-11-23T06:42:56.427Z,66,2005-06-01T06:38:37.480Z,16,(058)-214-0638,(724)-413-1149,SSN,060-82-4370,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
female,Mrs,Valerie,Palmer,5288,Frances Ct,Fontana,North Carolina,United States,26046,-11.1877,67.4521,-10:00,Hawaii,valerie.palmer@example.com,1944-11-29T23:28:13.164Z,77,2012-06-19T10:30:44.659Z,9,(192)-011-8644,(159)-169-1256,SSN,527-41-0762,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
