gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Flenn,Lynch,5256,Washington Ave,Sterling Heights,Arizona,United States,40612,52.6985,2.6580,-9:00,Alaska,flenn.lynch@example.com,1975-08-27T12:37:40.736Z,46,2010-10-07T20:56:40.243Z,11,(312)-257-4479,(099)-319-8715,SSN,526-63-9700,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
male,Mr,Greg,Sanders,9491,Northaven Rd,Westminster,Maine,United States,77767,37.4664,99.8782,+3:30,Tehran,greg.sanders@example.com,1967-03-07T19:50:14.260Z,54,2003-11-30T09:16:28.964Z,18,(225)-076-9022,(331)-690-0732,SSN,676-89-3047,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
female,Ms,Georgia,Beck,5113,Mockingbird Ln,Pembroke Pines,Rhode Island,United States,89930,4.1490,12.5266,-9:00,Alaska,georgia.beck@example.com,1975-09-23T21:59:26.864Z,46,2013-01-01T19:11:47.295Z,8,(767)-833-1838,(157)-242-0224,SSN,620-05-2387,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
female,Mrs,Camila,Kim,3005,Hillcrest Rd,Beaumont,New Hampshire,United States,76544,-72.5799,-32.8682,-10:00,Hawaii,camila.kim@example.com,1961-03-20T18:29:00.366Z,60,2002-03-23T16:27:35.139Z,19,(720)-249-4002,(649)-048-4690,SSN,590-00-2464,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
male,Mr,Jack,Snyder,3553,W Gray St,Pearland,Washington,United States,84416,56.2071,-122.9625,-2:00,Mid-Atlantic,jack.snyder@example.com,1960-12-30T10:13:26.811Z,61,2019-02-15T11:22:20.231Z,2,(292)-705-5158,(875)-424-1332,SSN,359-79-1264,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
female,Ms,Becky,Foster,4575,Wheeler Ridge Dr,Alexandria,New Hampshire,United States,10149,-0.5634,-103.7305,-2:00,Mid-Atlantic,becky.foster@example.com,1982-06-19T01:33:03.435Z,39,2002-04-07T04:39:20.328Z,19,(963)-053-2854,(985)-715-7397,SSN,288-86-1496,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
male,Mr,Julian,Carter,1853,Crockett St,Long Beach,Washington,United States,68278,52.2060,41.0777,+5:45,Kathmandu,julian.carter@example.com,1966-10-28T05:28:21.402Z,55,2008-07-14T01:33:57.784Z,13,(201)-800-5522,(618)-526-2387,SSN,211-74-9397,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
male,Mr,Christopher,Lawson,3354,Mcclellan Rd,Roseville,Texas,United States,80035,-53.1749,76.5920,-3:30,Newfoundland,christopher.lawson@example.com,1990-05-08T03:53:29.657Z,31,2008-12-03T16:21:09.153Z,13,(843)-982-2071,(363)-961-4642,SSN,802-65-2429,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
female,Miss,Amy,Lawrence,8598,Parker Rd,Chandler,Virginia,United States,42675,-58.3521,-76.5274,-9:00,Alaska,amy.lawrence@example.com,1972-05-24T01:42:49.915Z,49,2015-02-14T01:14:29.865Z,6,(912)-322-7703,(667)-638-5067,SSN,009-23-0248,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
female,Miss,Martha,Johnson,7315,Camden Ave,Pearland,Utah,United States,81428,-76.1410,163.3028,-3:30,Newfoundland,martha.johnson@example.com,1976-07-10T21:30:03.450Z,45,2005-05-08T07:18:54.597Z,16,(506)-399-1761,(475)-717-2565,SSN,301-92-8446,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg,US
