gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Terri,Hicks,9638,Photinia Ave,Tallahassee,Oregon,United States,67337,80.4278,36.6658,-10:00,Hawaii,terri.hicks@example.com,1956-08-29T21:08:03.249Z,65,2017-06-29T15:10:44.632Z,4,(653)-875-8973,(791)-173-8096,SSN,942-25-1691,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
male,Mr,Clifton,Hayes,9995,Smokey Ln,The Colony,Minnesota,United States,13928,-84.1733,145.5711,-8:00,Pacific Time (US & Canada),clifton.hayes@example.com,1956-06-12T10:58:19.700Z,65,2011-01-21T20:47:21.844Z,10,(607)-329-9577,(526)-267-1365,SSN,699-33-2802,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
female,Ms,Elizabeth,Howard,5350,Mockingbird Ln,St. Louis,Arizona,United States,52244,72.2517,-51.5575,-10:00,Hawaii,elizabeth.howard@example.com,1970-03-19T21:44:42.626Z,51,2002-03-27T09:36:55.967Z,19,(750)-609-3593,(649)-606-3328,SSN,177-12-7860,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
male,Mr,Ricardo,Dean,8844,E Pecan St,Temecula,Iowa,United States,36711,41.3000,-47.5890,+3:30,Tehran,ricardo.dean@example.com,1996-05-20T21:26:44.308Z,25,2004-06-23T03:33:38.758Z,17,(083)-905-1702,(889)-505-3468,SSN,770-05-5780,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Miss,Tina,Berry,9950,Lovers Ln,Bellevue,Rhode Island,United States,35283,31.3276,-13.1896,+5:45,Kathmandu,tina.berry@example.com,1949-05-26T21:04:58.157Z,72,2004-04-15T19:14:56.873Z,17,(593)-301-7629,(862)-793-8618,SSN,715-91-4356,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Miss,Erica,Campbell,6298,Fairview St,Lousville,New Mexico,United States,92973,-14.8166,104.8468,-2:00,Mid-Atlantic,erica.campbell@example.com,1972-04-09T11:43:04.303Z,49,2009-10-15T02:23:28.985Z,12,(835)-321-7515,(450)-495-9491,SSN,226-22-7897,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
male,Mr,Thomas,Flores,5228,Dogwood Ave,Rochester,Utah,United States,67644,63.7062,-43.3903,+5:45,Kathmandu,thomas.flores@example.com,1985-06-13T04:41:06.802Z,36,2008-11-06T08:22:49.613Z,13,(376)-407-2355,(216)-485-5987,SSN,552-87-5520,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
male,Mr,Vernon,Williams,8583,Eason Rd,Miami,North Carolina,United States,36556,-41.9347,149.4168,+3:30,Tehran,vernon.williams@example.com,1991-02-03T12:52:38.389Z,30,2014-11-12T22:02:15.604Z,7,(426)-337-3926,(745)-762-2559,SSN,342-08-0245,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
female,Miss,Kelly,Woods,6297,Crockett St,New Orleans,Tennessee,United States,14098,-61.2593,14.5014,+4:30,Kabul,kelly.woods@example.com,1964-07-24T00:13:05.697Z,57,2008-11-14T12:28:42.070Z,13,(601)-749-8786,(339)-181-4454,SSN,649-80-8611,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
female,Miss,Carolyn,Stevens,6630,Blossom Hill Rd,Surprise,Kansas,United States,36312,-78.6365,67.6416,+4:30,Kabul,carolyn.stevens@example.com,1944-11-10T05:12:45.084Z,77,2008-06-21T02:22:01.019Z,13,(263)-460-1982,(040)-202-6132,SSN,701-60-3120,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
male,Mr,Greg,Jordan,6312,W Sherman Dr,Wilmington,Colorado,United States,52064,-50.4428,38.2771,-3:30,Newfoundland,greg.jordan@example.com,1958-05-08T15:03:32.423Z,63,2018-05-05T03:51:25.527Z,3,(001)-459-4587,(732)-291-4911,SSN,451-01-4903,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Ms,Lucy,Pierce,2290,Cherry St,Lubbock,North Carolina,United States,38536,-71.6036,16.1527,+5:45,Kathmandu,lucy.pierce@example.com,1969-04-14T04:35:05.004Z,52,2016-09-28T16:30:14.270Z,5,(943)-397-9337,(457)-921-5957,SSN,650-23-2245,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
female,Mrs,Violet,May,5198,Lakeview St,Ennis,California,United States,79153,-37.8231,-60.5537,-9:00,Alaska,violet.may@example.com,1972-06-06T00:27:13.735Z,49,2017-10-12T10:05:42.181Z,4,(927)-823-2970,(616)-351-0743,SSN,248-41-1873,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
female,Miss,Bella,Watts,4027,Valley View Ln,Garland,Idaho,United States,94654,28.2422,-73.7748,-2:00,Mid-Atlantic,bella.watts@example.com,1950-04-22T18:47:34.882Z,71,2018-01-19T10:47:39.160Z,3,(016)-106-8421,(975)-572-7044,SSN,807-65-7225,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
