gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Karl,Wells,504,E Little York Rd,San Antonio,Colorado,United States,38499,56.5314,10.6959,-2:00,Mid-Atlantic,karl.wells@example.com,1951-02-26T04:44:19.835Z,70,2006-12-17T20:16:13.239Z,15,(140)-046-0237,(324)-588-2250,SSN,255-36-6290,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
male,Mr,Jack,Robertson,7214,Preston Rd,Springfield,Alaska,United States,29176,47.9724,93.0712,+4:30,Kabul,jack.robertson@example.com,1993-07-31T09:53:24.863Z,28,2011-12-26T16:24:43.000Z,10,(804)-794-0305,(947)-133-4487,SSN,737-38-8033,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Ms,Megan,Harvey,4512,Green Rd,Naperville,Pennsylvania,United States,92010,55.2918,-162.7228,-10:00,Hawaii,megan.harvey@example.com,1973-08-13T18:01:59.057Z,48,2015-12-06T08:31:58.616Z,6,(021)-169-7027,(414)-363-6568,SSN,611-25-4805,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
male,Mr,Isaac,Stanley,3912,Marsh Ln,Sacramento,North Carolina,United States,62998,-3.0759,145.2634,-7:00,Mountain Time (US & Canada),isaac.stanley@example.com,1987-09-23T10:00:57.662Z,34,2015-12-20T08:14:43.544Z,6,(990)-864-1130,(737)-554-7789,SSN,371-81-9225,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
male,Mr,Wesley,Lowe,6372,Wycliff Ave,Knoxville,Delaware,United States,31317,-18.8329,-77.8473,-7:00,Mountain Time (US & Canada),wesley.lowe@example.com,1991-05-16T21:26:07.231Z,30,2018-03-11T04:51:21.125Z,3,(033)-866-6632,(084)-073-5834,SSN,763-57-1557,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
male,Mr,Gilbert,Little,8864,Lakeview St,Allen,Michigan,United States,86005,59.7713,59.3823,-10:00,Hawaii,gilbert.little@example.com,1966-12-05T00:05:30.742Z,55,2013-07-03T04:29:54.702Z,8,(198)-427-4013,(082)-547-4737,SSN,977-71-1456,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Mrs,Danielle,Hart,9750,Parker Rd,West Jordan,California,United States,52159,-7.7869,-173.8786,-8:00,Pacific Time (US & Canada),danielle.hart@example.com,1963-06-04T03:55:32.816Z,58,2011-07-23T19:20:00.906Z,10,(306)-036-1884,(648)-983-1462,SSN,101-66-4723,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
female,Miss,Clara,Murphy,5520,Cackson St,Laredo,Delaware,United States,15517,79.7786,-88.1780,-10:00,Hawaii,clara.murphy@example.com,1993-09-11T22:18:41.617Z,28,2009-10-31T08:20:34.004Z,12,(791)-716-9580,(504)-596-9126,SSN,750-69-7734,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
female,Ms,Kylie,Pierce,8824,Sunset St,Mcallen,New Hampshire,United States,91892,19.2689,-32.2662,-9:00,Alaska,kylie.pierce@example.com,1972-09-30T13:00:29.706Z,49,2004-10-01T10:45:58.920Z,17,(653)-000-9370,(073)-632-7145,SSN,205-49-3702,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
male,Mr,Randall,Watkins,1040,Dogwood Ave,Baton Rouge,Indiana,United States,53172,64.1075,164.4440,-8:00,Pacific Time (US & Canada),randall.watkins@example.com,1950-05-20T02:09:09.007Z,71,2016-03-31T15:16:28.895Z,5,(333)-283-8823,(608)-587-4620,SSN,242-96-0737,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg,US
male,Mr,Aaron,Hansen,9604,Preston Rd,Las Vegas,Tennessee,United States,16702,66.1812,-93.7018,-2:00,Mid-Atlantic,aaron.hansen@example.com,1967-03-25T16:16:44.733Z,54,2010-05-12T04:16:28.783Z,11,(064)-441-5192,(298)-143-5434,SSN,223-38-8401,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,Johnny,Stevens,563,Wycliff Ave,Carlsbad,Vermont,United States,33672,56.5883,-105.4015,-8:00,Pacific Time (US & Canada),johnny.stevens@example.com,1973-01-02T05:57:10.321Z,48,2016-05-16T01:55:08.282Z,5,(180)-173-4971,(084)-845-7034,SSN,270-03-3831,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
male,Mr,Landon,Romero,2204,Poplar Dr,Hartford,Arkansas,United States,87803,65.3912,-147.6778,-10:00,Hawaii,landon.romero@example.com,1945-10-07T15:28:57.539Z,76,2009-09-16T04:34:20.223Z,12,(460)-481-9997,(829)-705-9102,SSN,895-14-0017,https://randomuser.me/api/portraits/men/11.jpg,https://randomuser.me/api/portraits/med/men/11.jpg,https://randomuser.me/api/portraits/thumb/men/11.jpg,US
female,Mrs,Gabriella,Campbell,7059,Bruce St,Stanley,Delaware,United States,31582,46.1892,-134.0457,-10:00,Hawaii,gabriella.campbell@example.com,1994-06-17T18:00:31.199Z,27,2005-04-22T18:13:09.554Z,16,(390)-466-7138,(982)-253-8300,SSN,310-28-4496,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
female,Ms,Bella,Evans,3012,Country Club Rd,Vallejo,New Jersey,United States,99384,-78.4941,-112.3978,-2:00,Mid-Atlantic,bella.evans@example.com,1962-09-25T22:06:05.512Z,59,2003-05-25T18:43:31.854Z,18,(033)-518-6030,(939)-881-9689,SSN,360-12-3020,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg,US
male,Mr,Mario,Jensen,8926,Karen Dr,Louisville,Maryland,United States,51307,-9.4402,-58.3464,-2:00,Mid-Atlantic,mario.jensen@example.com,1948-04-21T02:44:24.736Z,73,2012-07-21T04:57:37.328Z,9,(552)-956-4373,(910)-709-0833,SSN,670-16-6549,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
female,Ms,Regina,Carpenter,2426,Taylor St,San Bernardino,Hawaii,United States,44046,-84.1501,103.8884,-3:30,Newfoundland,regina.carpenter@example.com,1974-07-13T22:27:07.932Z,47,2003-10-24T11:13:44.635Z,18,(296)-667-3599,(014)-780-4916,SSN,190-45-4049,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
