gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Robin,Fisher,9350,Robinson Rd,Addison,Idaho,United States,12746,51.3452,-82.8017,-7:00,Mountain Time (US & Canada),robin.fisher@example.com,1952-07-30T19:53:40.106Z,69,2012-05-09T22:10:31.051Z,9,(136)-492-7319,(501)-782-1636,SSN,240-27-1181,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
female,Miss,Wilma,Lewis,8177,Edwards Rd,Phoenix,Maryland,United States,47161,-74.5615,-38.1080,+4:30,Kabul,wilma.lewis@example.com,1946-06-23T03:37:30.085Z,75,2008-05-04T14:40:56.793Z,13,(139)-729-3811,(416)-760-2966,SSN,367-29-1081,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
female,Miss,June,Herrera,6308,White Oak Dr,Clarksville,West Virginia,United States,67388,14.2049,-51.5581,-10:00,Hawaii,june.herrera@example.com,1981-08-02T04:18:49.041Z,40,2018-08-26T07:15:22.739Z,3,(931)-343-5458,(413)-462-8113,SSN,453-44-7976,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
female,Mrs,Lillian,Wade,5282,Prospect Rd,Mobile,Tennessee,United States,45877,-85.9453,92.7501,-2:00,Mid-Atlantic,lillian.wade@example.com,1994-11-14T18:08:51.228Z,27,2018-04-30T05:25:27.884Z,3,(187)-761-2697,(309)-749-8992,SSN,368-33-7675,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
female,Miss,Scarlett,Larson,2869,Elgin St,Elizabeth,Alaska,United States,58381,-66.9459,46.8153,-3:30,Newfoundland,scarlett.larson@example.com,1970-03-28T17:27:14.041Z,51,2002-12-11T05:49:19.716Z,19,(392)-402-7747,(533)-225-9344,SSN,134-21-9890,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg,US
male,Mr,Dwight,Fields,4901,Stevens Creek Blvd,Irvine,Rhode Island,United States,53696,-29.3612,-131.9598,-3:30,Newfoundland,dwight.fields@example.com,1987-07-06T01:38:01.852Z,34,2013-08-01T01:49:20.458Z,8,(485)-548-1966,(576)-062-1896,SSN,280-03-3120,https://randomuser.me/api/portraits/men/29.jpg,https://randomuser.me/api/portraits/med/men/29.jpg,https://randomuser.me/api/portraits/thumb/men/29.jpg,US
male,Mr,Daryl,Holland,1795,Woodland St,Newport News,Kansas,United States,55826,3.8710,-60.4164,-10:00,Hawaii,daryl.holland@example.com,1982-02-28T01:39:06.968Z,39,2002-05-20T21:58:32.389Z,19,(089)-096-4831,(735)-435-1358,SSN,582-34-7753,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
female,Mrs,Hannah,Hoffman,2199,Saddle Dr,Worcester,Colorado,United States,27557,66.3867,70.8312,-8:00,Pacific Time (US & Canada),hannah.hoffman@example.com,1971-06-08T02:07:55.205Z,50,2009-09-29T22:39:21.512Z,12,(377)-920-5611,(063)-810-0623,SSN,668-56-8714,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
female,Mrs,Sarah,Ellis,1233,Bollinger Rd,Reno,Georgia,United States,32290,49.4503,100.1474,-9:00,Alaska,sarah.ellis@example.com,1990-10-07T05:09:17.990Z,31,2003-06-09T15:05:14.241Z,18,(932)-171-9324,(693)-269-2752,SSN,535-14-1624,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
male,Mr,Connor,Wood,4890,Harrison Ct,Forney,West Virginia,United States,82736,83.0339,46.5781,-7:00,Mountain Time (US & Canada),connor.wood@example.com,1991-03-19T06:33:19.248Z,30,2007-04-02T01:58:50.503Z,14,(309)-305-5100,(695)-825-9224,SSN,869-82-5850,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
female,Mrs,Rhonda,Nguyen,2249,College St,Washington,New Jersey,United States,88574,-33.5694,3.3043,-2:00,Mid-Atlantic,rhonda.nguyen@example.com,1976-03-14T23:57:11.622Z,45,2006-01-06T23:39:09.537Z,15,(911)-794-2792,(856)-317-6474,SSN,976-18-5177,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Christopher,Lee,631,Mockingbird Ln,Bernalillo,Louisiana,United States,51960,-5.1571,158.1931,+3:30,Tehran,christopher.lee@example.com,1980-12-09T18:23:47.281Z,41,2007-02-10T14:35:39.988Z,14,(704)-535-6028,(691)-774-2410,SSN,867-38-5408,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Harvey,Chavez,6558,Photinia Ave,Wichita,Iowa,United States,66821,15.2784,-68.6073,+5:45,Kathmandu,harvey.chavez@example.com,1990-04-26T01:05:15.286Z,31,2016-05-04T05:58:49.343Z,5,(690)-257-1031,(337)-607-6732,SSN,974-71-7309,https://randomuser.me/api/portraits/men/81.jpg,https://randomuser.me/api/portraits/med/men/81.jpg,https://randomuser.me/api/portraits/thumb/men/81.jpg,US
male,Mr,Erik,Cox,9857,James St,Naperville,New York,United States,42387,22.4957,127.5776,+5:45,Kathmandu,erik.cox@example.com,1955-08-17T10:37:17.698Z,66,2017-04-12T01:08:52.794Z,4,(337)-275-2111,(664)-894-8719,SSN,176-14-5498,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
female,Miss,Nicole,Harper,6716,Brown Terrace,Elk Grove,Colorado,United States,13438,-0.8859,-25.2728,-10:00,Hawaii,nicole.harper@example.com,1981-03-16T00:05:27.601Z,40,2005-06-12T01:37:00.400Z,16,(770)-215-9117,(079)-988-8463,SSN,625-59-7328,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Leo,Price,2384,Homestead Rd,Miramar,West Virginia,United States,45897,-38.2917,-151.9584,-2:00,Mid-Atlantic,leo.price@example.com,1976-06-18T11:25:36.260Z,45,2008-04-16T02:32:37.268Z,13,(623)-144-9091,(246)-503-1450,SSN,413-08-4401,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
