gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Derek,Dean,2023,Nowlin Rd,Davenport,Illinois,United States,79777,83.6803,121.3600,-7:00,Mountain Time (US & Canada),derek.dean@example.com,1997-01-16T21:48:24.462Z,24,2011-08-11T19:26:44.791Z,10,(883)-228-3737,(687)-486-4941,SSN,370-99-3186,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
female,Miss,Allison,Hicks,8105,Spring St,West Palm Beach,New Hampshire,United States,33287,-19.7854,83.2213,-2:00,Mid-Atlantic,allison.hicks@example.com,1990-12-15T00:52:57.133Z,31,2006-02-08T05:52:37.945Z,15,(827)-523-2930,(142)-198-2082,SSN,790-93-2669,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
female,Miss,Lydia,Cooper,8189,Forest Ln,Great Falls,Oklahoma,United States,35076,11.8445,-136.2001,-2:00,Mid-Atlantic,lydia.cooper@example.com,1946-03-07T21:35:44.941Z,75,2017-07-12T17:55:43.532Z,4,(587)-939-2170,(016)-311-2957,SSN,761-48-8016,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
female,Miss,Melissa,Castro,3690,Lovers Ln,Washington,Connecticut,United States,40439,49.6764,151.7318,+3:30,Tehran,melissa.castro@example.com,1958-05-21T00:00:52.780Z,63,2005-01-29T18:33:48.027Z,16,(185)-544-1842,(172)-522-5200,SSN,740-08-6402,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
male,Mr,Darrell,Freeman,8135,First Street,Seagoville,Florida,United States,31930,-38.1240,-112.8128,-2:00,Mid-Atlantic,darrell.freeman@example.com,1957-08-31T22:50:15.660Z,64,2014-09-16T13:26:53.494Z,7,(019)-735-9026,(565)-416-0751,SSN,522-01-7411,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
male,Mr,Ernest,Richardson,189,Woodland St,Miami Gardens,Arkansas,United States,96454,-53.3825,77.3064,-3:30,Newfoundland,ernest.richardson@example.com,1988-12-12T22:17:59.053Z,33,2008-03-31T10:53:24.148Z,13,(639)-134-9398,(897)-439-0531,SSN,654-18-1469,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Ms,Kim,Clark,8739,Bollinger Rd,Cleveland,Wisconsin,United States,39415,-14.3170,127.6783,-9:00,Alaska,kim.clark@example.com,1969-08-27T04:59:38.638Z,52,2019-02-11T01:41:18.316Z,2,(154)-662-6463,(894)-498-0528,SSN,032-60-3424,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
male,Mr,Nathaniel,Bowman,4299,Adams St,Tulsa,Rhode Island,United States,36898,70.7938,107.4449,+4:30,Kabul,nathaniel.bowman@example.com,1964-02-27T11:17:31.560Z,57,2009-09-15T21:25:31.094Z,12,(521)-475-0674,(348)-623-2936,SSN,355-61-0464,https://randomuser.me/api/portraits/men/21.jpg,https://randomuser.me/api/portraits/med/men/21.jpg,https://randomuser.me/api/portraits/thumb/men/21.jpg,US
female,Mrs,Allison,Evans,881,Dane St,Colorado Springs,New York,United States,15052,-4.2055,-49.5807,+3:30,Tehran,allison.evans@example.com,1965-05-05T10:42:32.663Z,56,2017-08-08T13:46:46.540Z,4,(031)-112-2541,(374)-966-7020,SSN,516-58-6713,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
female,Mrs,Bernice,Harvey,9503,Ranchview Dr,New York,Nebraska,United States,79720,-30.9998,176.9752,-7:00,Mountain Time (US & Canada),bernice.harvey@example.com,1987-06-22T04:06:50.910Z,34,2015-03-07T01:46:12.908Z,6,(618)-279-8450,(470)-628-8115,SSN,013-26-3762,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
