gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,John,Chambers,8490,Rolling Green Rd,Sioux Falls,North Carolina,United States,81557,-89.1578,21.2857,-3:30,Newfoundland,john.chambers@example.com,1963-08-13T20:52:33.471Z,58,2007-10-13T09:16:17.390Z,14,(546)-529-3269,(675)-278-0583,SSN,605-18-1851,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
female,Ms,Katrina,Welch,7077,James St,Palm Bay,Arkansas,United States,58807,-42.2028,138.8674,-2:00,Mid-Atlantic,katrina.welch@example.com,1974-05-16T16:39:40.280Z,47,2013-04-06T03:47:44.881Z,8,(889)-164-2056,(130)-818-8257,SSN,998-59-5520,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
male,Mr,Derek,Garcia,3399,Dogwood Ave,Garland,Nevada,United States,28901,-32.8250,171.1158,-7:00,Mountain Time (US & Canada),derek.garcia@example.com,1997-05-21T18:02:55.853Z,24,2009-02-21T04:47:39.356Z,12,(346)-034-0039,(456)-367-0759,SSN,122-73-4452,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
female,Mrs,Elsie,Warren,4804,Paddock Way,Louisville,New Jersey,United States,43633,-40.3222,-80.3359,+4:30,Kabul,elsie.warren@example.com,1962-12-02T12:06:39.850Z,59,2011-06-08T07:49:34.194Z,10,(686)-506-6008,(177)-184-8947,SSN,023-85-2674,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
male,Mr,Charles,Morales,2910,Cackson St,Billings,Delaware,United States,36979,-0.5644,-120.4130,-10:00,Hawaii,charles.morales@example.com,1974-07-25T05:05:17.336Z,47,2019-03-17T04:43:24.716Z,2,(575)-876-7708,(738)-721-0873,SSN,667-32-7755,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
male,Mr,Tyler,Fletcher,6383,Crockett St,Lexington,Vermont,United States,41103,37.2669,-99.5798,-9:00,Alaska,tyler.fletcher@example.com,1946-01-27T19:31:16.736Z,75,2003-10-22T19:34:42.900Z,18,(827)-213-4502,(766)-073-6289,SSN,831-04-0927,https://randomuser.me/api/portraits/men/60.jpg,https://randomuser.me/api/portraits/med/men/60.jpg,https://randomuser.me/api/portraits/thumb/men/60.jpg,US
male,Mr,Lonnie,Ramirez,8391,Hogan St,Grants Pass,Arkansas,United States,84481,84.9593,10.1738,+4:30,Kabul,lonnie.ramirez@example.com,1946-10-02T03:50:11.547Z,75,2016-11-05T04:26:13.155Z,5,(844)-323-3819,(406)-055-2302,SSN,767-98-1995,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
male,Mr,Adrian,Rodriguez,8698,Crockett St,Birmingham,Illinois,United States,58092,30.4545,35.3606,+5:45,Kathmandu,adrian.rodriguez@example.com,1992-07-23T19:51:47.397Z,29,2002-12-21T23:37:52.689Z,19,(978)-548-1874,(537)-180-3332,SSN,081-42-6214,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
male,Mr,Jar,Hicks,2125,College St,Shelby,Illinois,United States,20693,-19.7711,101.9904,-8:00,Pacific Time (US & Canada),jar.hicks@example.com,1957-11-12T06:31:30.239Z,64,2011-12-03T07:25:17.189Z,10,(036)-314-5825,(098)-850-2987,SSN,110-15-5124,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Ms,Yvonne,Cook,4010,Hunters Creek Dr,Fontana,Maine,United States,33787,-0.0906,139.5207,+3:30,Tehran,yvonne.cook@example.com,1994-12-02T10:25:06.632Z,27,2019-06-07T03:18:40.729Z,2,(572)-955-7788,(088)-909-4136,SSN,667-33-2960,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg,US
male,Mr,Dean,Fields,9901,James St,Long Beach,Louisiana,United States,25447,84.1233,11.5229,+3:30,Tehran,dean.fields@example.com,1979-04-20T01:07:15.865Z,42,2006-08-23T00:17:33.828Z,15,(143)-857-5256,(647)-984-0678,SSN,629-41-5421,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
female,Miss,Amanda,Gomez,4229,Lovers Ln,Pueblo,New Hampshire,United States,35485,-66.3564,119.4336,-2:00,Mid-Atlantic,amanda.gomez@example.com,1945-05-18T16:38:17.642Z,76,2014-06-26T04:38:46.305Z,7,(078)-946-8047,(823)-670-3370,SSN,142-93-4886,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
female,Ms,Diane,Harvey,2835,Adams St,Newark,South Carolina,United States,27526,-82.6822,3.6075,-9:00,Alaska,diane.harvey@example.com,1956-05-03T17:00:43.060Z,65,2002-10-29T09:50:43.305Z,19,(020)-968-5599,(483)-972-3613,SSN,200-57-0356,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg,US
