gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jimmie,Murray,8846,Valwood Pkwy,Santa Clarita,Colorado,United States,22204,9.2993,-179.0301,-8:00,Pacific Time (US & Canada),jimmie.murray@example.com,1965-09-03T12:40:03.745Z,56,2019-07-20T22:17:28.831Z,2,(819)-041-1296,(069)-530-4512,SSN,768-68-9667,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
female,Miss,Cherly,Miles,6311,Hamilton Ave,St. Petersburg,Vermont,United States,63543,76.8973,53.2938,+5:45,Kathmandu,cherly.miles@example.com,1993-03-26T05:12:41.197Z,28,2014-02-20T12:38:36.405Z,7,(243)-432-8355,(019)-297-8289,SSN,521-66-5688,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
male,Mr,Jayden,Hall,2096,Ranchview Dr,Indianapolis,Kansas,United States,53904,77.0041,100.7770,-7:00,Mountain Time (US & Canada),jayden.hall@example.com,1957-06-25T12:27:06.844Z,64,2003-02-24T05:16:07.194Z,18,(222)-508-5135,(568)-644-7219,SSN,341-89-6538,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
female,Ms,Julia,Castillo,581,Mockingbird Ln,Tyler,South Dakota,United States,44034,-30.6355,61.4501,+3:30,Tehran,julia.castillo@example.com,1955-07-14T16:48:54.057Z,66,2008-08-11T11:50:14.227Z,13,(712)-840-0389,(847)-702-5335,SSN,104-27-1288,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
male,Mr,Tristan,Banks,2522,First Street,Chattanooga,New Mexico,United States,83606,55.4092,-14.6067,+4:30,Kabul,tristan.banks@example.com,1973-06-03T18:20:35.799Z,48,2009-11-18T02:54:16.136Z,12,(264)-437-2958,(697)-133-6604,SSN,070-89-6544,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
female,Miss,Irene,Montgomery,2746,Daisy Dr,Des Moines,Kansas,United States,62435,-64.2805,-4.3392,-3:30,Newfoundland,irene.montgomery@example.com,1960-07-04T10:36:36.903Z,61,2019-08-12T22:11:16.013Z,2,(340)-974-7431,(354)-850-1728,SSN,503-42-7646,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
female,Mrs,Marjorie,Ortiz,4819,W Dallas St,Rochester,Minnesota,United States,94906,23.8727,107.1007,-7:00,Mountain Time (US & Canada),marjorie.ortiz@example.com,1980-06-21T04:06:34.532Z,41,2010-07-05T08:57:32.736Z,11,(320)-103-2130,(524)-226-4084,SSN,887-56-6628,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
female,Ms,Elsie,Hicks,9636,Dogwood Ave,West Jordan,Maine,United States,23854,53.5350,-108.4149,-9:00,Alaska,elsie.hicks@example.com,1951-10-24T15:01:53.792Z,70,2018-04-19T01:01:07.677Z,3,(135)-175-2419,(787)-317-4954,SSN,579-53-4188,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
female,Miss,Terry,Harris,1823,Miller Ave,Naperville,Louisiana,United States,20288,-20.1242,173.7716,+5:45,Kathmandu,terry.harris@example.com,1952-08-02T21:18:55.811Z,69,2007-07-03T05:37:58.434Z,14,(219)-670-0060,(661)-143-2477,SSN,588-81-2324,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
female,Miss,Jamie,Fuller,6929,Stevens Creek Blvd,Chattanooga,New Hampshire,United States,36472,1.7791,-179.1791,-2:00,Mid-Atlantic,jamie.fuller@example.com,1950-03-31T10:56:09.230Z,71,2009-09-25T22:56:33.042Z,12,(503)-060-4775,(803)-200-4734,SSN,154-94-5594,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
male,Mr,Same,Payne,4516,Taylor St,Temecula,Missouri,United States,54188,-83.0028,59.8360,-2:00,Mid-Atlantic,same.payne@example.com,1955-02-14T17:04:57.178Z,66,2006-09-21T04:37:30.388Z,15,(021)-513-5981,(422)-028-2666,SSN,292-86-7180,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
