gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Lucy,Fleming,7883,Hunters Creek Dr,Santa Ana,Nevada,United States,98150,-28.7451,165.0256,-10:00,Hawaii,lucy.fleming@example.com,1949-05-11T23:49:39.843Z,72,2012-05-23T21:30:41.543Z,9,(007)-047-8056,(331)-624-2825,SSN,135-03-4116,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
male,Mr,Lester,Castro,5383,White Oak Dr,Birmingham,Hawaii,United States,76575,-72.5026,19.0389,-8:00,Pacific Time (US & Canada),lester.castro@example.com,1959-03-15T03:17:48.161Z,62,2003-04-27T18:40:57.938Z,18,(710)-344-6568,(007)-091-3869,SSN,388-09-9827,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
female,Miss,Beth,Green,8922,Hunters Creek Dr,San Francisco,Connecticut,United States,52677,-5.0928,31.0407,+4:30,Kabul,beth.green@example.com,1955-08-25T19:34:55.746Z,66,2013-10-28T15:07:21.349Z,8,(369)-594-4119,(025)-923-3642,SSN,948-54-7102,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg,US
female,Miss,Marjorie,Perkins,7835,Depaul Dr,Topeka,Montana,United States,71845,86.7887,42.8248,-8:00,Pacific Time (US & Canada),marjorie.perkins@example.com,1960-05-26T00:17:08.871Z,61,2006-06-06T18:35:23.968Z,15,(806)-716-1476,(530)-846-6272,SSN,139-79-5100,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
male,Mr,Raul,Horton,954,Mcclellan Rd,Newport News,Mississippi,United States,99610,-2.8214,-85.7113,-10:00,Hawaii,raul.horton@example.com,1949-07-12T15:33:48.396Z,72,2013-02-19T01:26:10.138Z,8,(861)-665-9189,(394)-037-6602,SSN,886-67-6166,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
male,Mr,Kelly,Hill,9762,E Pecan St,Cleveland,Oregon,United States,74249,37.3429,73.5397,+4:30,Kabul,kelly.hill@example.com,1949-06-15T14:21:42.118Z,72,2011-02-27T04:01:02.337Z,10,(945)-969-3556,(493)-542-9993,SSN,422-12-9986,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Miss,Vicki,Lynch,1097,Valley View Ln,Downey,Alaska,United States,14967,84.3526,54.7890,-2:00,Mid-Atlantic,vicki.lynch@example.com,1954-02-01T13:27:27.260Z,67,2018-09-10T01:23:54.291Z,3,(449)-921-7792,(287)-811-1088,SSN,625-66-6650,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
male,Mr,Alvin,Clark,4100,Miller Ave,West Valley City,Washington,United States,93819,-45.5264,-111.8302,+4:30,Kabul,alvin.clark@example.com,1961-02-20T01:41:35.937Z,60,2015-02-19T07:50:53.406Z,6,(089)-503-8757,(685)-538-8237,SSN,812-99-0116,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg,US
male,Mr,Jared,Reynolds,174,Mockingbird Ln,Seymour,Tennessee,United States,84393,83.7676,150.9595,+4:30,Kabul,jared.reynolds@example.com,1952-11-25T10:50:54.809Z,69,2004-10-27T15:02:00.443Z,17,(750)-945-0209,(599)-634-3425,SSN,287-73-3249,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
male,Mr,Mike,Alexander,3794,Shady Ln Dr,Tyler,Colorado,United States,99577,55.9282,14.3295,-8:00,Pacific Time (US & Canada),mike.alexander@example.com,1997-02-06T03:48:06.598Z,24,2008-05-26T14:53:34.891Z,13,(157)-601-3918,(390)-314-8884,SSN,377-87-7885,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
female,Ms,Yolanda,Ray,1439,Valley View Ln,Seagoville,Alabama,United States,82994,-75.1525,-56.2854,-7:00,Mountain Time (US & Canada),yolanda.ray@example.com,1980-06-28T14:45:39.546Z,41,2016-09-29T02:52:19.370Z,5,(903)-540-3603,(738)-608-0033,SSN,624-53-3967,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
