gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Valerie,Rogers,5614,Harrison Ct,Carlsbad,Oklahoma,United States,63466,75.4627,-65.1229,-2:00,Mid-Atlantic,valerie.rogers@example.com,1945-03-18T16:28:50.124Z,76,2013-06-14T12:26:14.760Z,8,(232)-630-5160,(427)-943-5784,SSN,753-00-4286,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
male,Mr,Bruce,Murray,4825,Blossom Hill Rd,Denton,Vermont,United States,43997,65.4054,131.9481,-2:00,Mid-Atlantic,bruce.murray@example.com,1983-07-21T15:00:46.296Z,38,2013-12-26T05:44:51.925Z,8,(275)-560-9889,(530)-446-6058,SSN,641-78-2465,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
female,Ms,Kristina,Anderson,1397,Railroad St,Columbia,Maryland,United States,59701,5.7977,43.5853,-8:00,Pacific Time (US & Canada),kristina.anderson@example.com,1991-05-18T03:29:10.459Z,30,2011-03-23T06:55:31.534Z,10,(717)-379-6883,(587)-326-9983,SSN,055-64-3730,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Ms,Denise,Watson,6155,Hamilton Ave,Minneapolis,Wisconsin,United States,48156,-69.0297,-1.1909,-2:00,Mid-Atlantic,denise.watson@example.com,1958-09-12T21:48:31.751Z,63,2017-10-10T05:58:58.563Z,4,(239)-798-2812,(632)-957-0931,SSN,226-90-3809,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
male,Mr,Jerry,Campbell,4631,Ash Dr,Vernon,Arkansas,United States,28429,-26.4957,-83.4037,-7:00,Mountain Time (US & Canada),jerry.campbell@example.com,1990-01-31T11:50:23.869Z,31,2011-01-29T13:54:37.961Z,10,(567)-763-2280,(096)-525-8479,SSN,638-40-1670,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
female,Ms,Vickie,Clark,6647,Northaven Rd,Thornton,Illinois,United States,14779,20.7947,-59.0805,+3:30,Tehran,vickie.clark@example.com,1944-09-19T03:40:04.876Z,77,2007-09-27T13:53:27.327Z,14,(430)-677-0578,(526)-934-0593,SSN,921-64-9352,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
male,Mr,Jeremy,Foster,508,College St,Tampa,Colorado,United States,44640,57.1214,-50.2042,+3:30,Tehran,jeremy.foster@example.com,1987-03-23T05:15:08.619Z,34,2019-02-08T10:37:15.448Z,2,(923)-897-2108,(267)-690-2705,SSN,633-72-4542,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
female,Miss,Lillian,Torres,2897,Elgin St,Greensboro,Mississippi,United States,73952,61.1560,-9.5418,+4:30,Kabul,lillian.torres@example.com,1984-03-30T17:08:08.942Z,37,2002-10-04T16:01:15.317Z,19,(466)-905-9947,(594)-773-4731,SSN,925-39-4207,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Mrs,June,Barnett,5429,W Dallas St,Edison,Pennsylvania,United States,31621,89.8420,-93.1513,-9:00,Alaska,june.barnett@example.com,1987-12-19T08:52:03.983Z,34,2019-01-31T21:51:02.214Z,2,(185)-067-2249,(973)-494-2567,SSN,248-44-4601,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
male,Mr,Nathan,Roberts,5272,Fairview St,The Colony,Wisconsin,United States,17869,-35.3822,-150.0887,-9:00,Alaska,nathan.roberts@example.com,1952-02-11T17:42:23.330Z,69,2013-09-28T08:18:16.975Z,8,(168)-660-9714,(806)-285-1653,SSN,667-93-5919,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
male,Mr,Theodore,Rogers,3434,Mockingbird Hill,Birmingham,Arkansas,United States,42913,-44.0714,-179.5553,-8:00,Pacific Time (US & Canada),theodore.rogers@example.com,1993-09-30T04:35:57.591Z,28,2008-11-07T06:07:32.104Z,13,(326)-490-8285,(089)-524-0852,SSN,686-81-4887,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
male,Mr,Calvin,Martin,2095,E North St,Long Beach,Montana,United States,93799,-22.6084,-36.5964,-9:00,Alaska,calvin.martin@example.com,1955-02-11T13:18:16.717Z,66,2018-10-26T07:28:00.084Z,3,(510)-292-7606,(019)-978-6397,SSN,563-28-2586,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
female,Ms,Lena,Reid,7055,Green Rd,Greensboro,Texas,United States,75009,0.0022,151.4693,+3:30,Tehran,lena.reid@example.com,1960-01-04T08:32:54.662Z,61,2008-06-20T07:18:45.753Z,13,(152)-099-8429,(360)-120-5729,SSN,300-40-5890,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
female,Ms,Caroline,Hunter,6446,Railroad St,Elko,Minnesota,United States,99121,60.7453,94.2705,-8:00,Pacific Time (US & Canada),caroline.hunter@example.com,1997-07-06T05:36:48.951Z,24,2011-04-20T06:09:21.907Z,10,(894)-980-0841,(055)-800-3703,SSN,739-12-9158,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
