gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Ted,Bowman,8865,Cherry St,Rockford,South Dakota,United States,95683,-47.5415,32.7244,+4:30,Kabul,ted.bowman@example.com,1988-01-03T20:25:10.895Z,33,2017-11-25T23:09:40.618Z,4,(315)-991-2114,(847)-086-5187,SSN,340-45-6762,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
female,Mrs,Sheila,Richardson,5468,Saddle Dr,Burkburnett,Missouri,United States,77746,37.5686,-52.7350,+4:30,Kabul,sheila.richardson@example.com,1959-09-19T14:47:58.811Z,62,2018-01-23T03:05:18.968Z,3,(160)-142-4991,(715)-260-6782,SSN,105-99-3284,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg,US
male,Mr,Isaac,Peters,9948,Hogan St,Louisville,Utah,United States,68889,-45.5956,41.5974,+4:30,Kabul,isaac.peters@example.com,1964-04-20T01:28:25.342Z,57,2018-02-22T14:01:50.782Z,3,(238)-161-5638,(135)-741-6174,SSN,020-39-3536,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
female,Ms,Katie,Henderson,4247,White Oak Dr,South Bend,Virginia,United States,11687,-36.6866,119.7469,-2:00,Mid-Atlantic,katie.henderson@example.com,1986-12-27T03:41:14.999Z,35,2006-02-17T21:50:22.453Z,15,(850)-513-7510,(712)-153-6345,SSN,558-21-1626,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
female,Ms,Allison,Rice,5580,Wheeler Ridge Dr,Plano,Oklahoma,United States,23224,-88.7103,-79.9102,-10:00,Hawaii,allison.rice@example.com,1945-10-26T18:54:40.738Z,76,2005-09-16T17:01:05.484Z,16,(202)-701-5234,(909)-630-4477,SSN,575-14-9005,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
female,Mrs,Gloria,Bradley,8736,Samaritan Dr,Greeley,Kansas,United States,97202,63.0178,-95.4191,+3:30,Tehran,gloria.bradley@example.com,1950-11-02T09:24:27.059Z,71,2006-08-28T23:45:23.009Z,15,(409)-207-4102,(736)-872-4642,SSN,819-22-0223,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
male,Mr,Jeremiah,Miles,7630,Depaul Dr,San Jose,Vermont,United States,64099,75.1077,3.6227,+3:30,Tehran,jeremiah.miles@example.com,1977-09-02T06:07:12.866Z,44,2013-07-16T01:21:37.020Z,8,(214)-312-7151,(326)-999-8754,SSN,901-35-5616,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
male,Mr,Marvin,Williamson,1273,White Oak Dr,Provo,Florida,United States,99121,16.9412,-75.7735,-7:00,Mountain Time (US & Canada),marvin.williamson@example.com,1983-11-30T16:23:25.446Z,38,2003-11-01T18:13:38.627Z,18,(856)-524-7552,(763)-114-5134,SSN,242-61-8556,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Mrs,Bonnie,Allen,797,Lakeshore Rd,Anna,South Dakota,United States,30329,3.3775,114.2239,-8:00,Pacific Time (US & Canada),bonnie.allen@example.com,1945-07-02T17:48:25.754Z,76,2010-01-04T14:48:29.805Z,11,(337)-510-6541,(887)-761-0062,SSN,671-71-7194,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
female,Miss,Stephanie,Jones,2609,W Pecan St,Addison,Delaware,United States,50997,-75.3141,-51.5403,-10:00,Hawaii,stephanie.jones@example.com,1998-02-28T12:08:44.853Z,23,2017-09-24T19:57:39.120Z,4,(237)-809-7330,(475)-284-5588,SSN,856-16-2686,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
