gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Yolanda,Vargas,6600,White Oak Dr,Frisco,Montana,United States,34295,16.6416,25.3655,+4:30,Kabul,yolanda.vargas@example.com,1960-03-12T09:55:27.896Z,61,2010-08-10T00:34:24.022Z,11,(043)-117-0776,(659)-459-0298,SSN,103-81-4014,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Jacob,Little,7479,Bollinger Rd,Boulder,Maryland,United States,54302,46.7926,87.2436,-7:00,Mountain Time (US & Canada),jacob.little@example.com,1980-01-16T23:01:31.365Z,41,2014-05-19T02:35:44.553Z,7,(987)-615-4883,(748)-653-8679,SSN,223-63-9203,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
male,Mr,Allen,Sullivan,8968,Sunset St,Gilbert,Oregon,United States,59150,-53.3820,-82.8479,+5:45,Kathmandu,allen.sullivan@example.com,1976-08-10T08:27:55.174Z,45,2012-03-01T23:03:19.950Z,9,(184)-856-4160,(701)-971-6413,SSN,121-33-2914,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
female,Miss,Lillie,Robertson,6627,Mcgowen St,Daly City,Massachusetts,United States,75344,6.3600,3.4257,+3:30,Tehran,lillie.robertson@example.com,1954-09-09T04:30:42.907Z,67,2017-01-17T21:29:17.577Z,4,(452)-918-5025,(959)-519-7169,SSN,987-55-4848,https://randomuser.me/api/portraits/women/29.jpg,https://randomuser.me/api/portraits/med/women/29.jpg,https://randomuser.me/api/portraits/thumb/women/29.jpg,US
female,Mrs,Allison,Long,8039,W 6th St,Henderson,New Hampshire,United States,42706,58.1935,22.4380,+3:30,Tehran,allison.long@example.com,1949-08-18T12:16:02.142Z,72,2003-09-23T18:15:47.951Z,18,(006)-165-5608,(425)-483-8046,SSN,598-37-4095,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
male,Mr,Lawrence,Rose,7222,Timber Wolf Trail,Murfreesboro,Wisconsin,United States,52593,14.4283,130.4084,+5:45,Kathmandu,lawrence.rose@example.com,1947-01-18T20:30:44.916Z,74,2013-08-08T04:13:54.590Z,8,(521)-749-9002,(332)-005-8122,SSN,744-45-1934,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
male,Mr,Larry,Montgomery,9534,E Little York Rd,Henderson,Arizona,United States,49702,5.9665,-110.0177,-9:00,Alaska,larry.montgomery@example.com,1966-12-29T12:23:56.608Z,55,2007-12-03T09:47:48.647Z,14,(037)-345-1240,(784)-813-6074,SSN,093-87-8031,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Ms,Taylor,Young,6875,Blossom Hill Rd,Rockford,Maine,United States,15969,-65.1522,49.9636,-2:00,Mid-Atlantic,taylor.young@example.com,1991-07-09T11:42:31.473Z,30,2007-08-22T17:29:21.221Z,14,(932)-567-4810,(058)-659-8098,SSN,215-52-5789,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Jack,Cunningham,5527,Bruce St,Hayward,Washington,United States,89936,53.2693,-22.2699,+5:45,Kathmandu,jack.cunningham@example.com,1982-03-27T19:43:57.474Z,39,2003-08-15T11:38:46.390Z,18,(461)-350-1438,(352)-929-4384,SSN,561-51-8233,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
male,Mr,Russell,Barrett,9922,Bollinger Rd,Steilacoom,North Carolina,United States,86333,-5.7513,69.7721,+5:45,Kathmandu,russell.barrett@example.com,1953-08-06T11:21:12.034Z,68,2005-03-08T15:52:08.240Z,16,(537)-332-3675,(490)-621-6685,SSN,864-36-7581,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
female,Ms,Lori,Elliott,6019,Paddock Way,Billings,Illinois,United States,63668,80.2061,-37.6929,-10:00,Hawaii,lori.elliott@example.com,1987-03-02T12:08:42.204Z,34,2018-07-28T22:06:28.625Z,3,(718)-444-0083,(483)-093-5079,SSN,745-22-2219,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
male,Mr,Eddie,Wagner,4179,Oak Ridge Ln,Tallahassee,Pennsylvania,United States,46489,74.6201,-124.2203,-7:00,Mountain Time (US & Canada),eddie.wagner@example.com,1955-09-21T00:12:14.828Z,66,2011-06-14T03:29:01.490Z,10,(714)-948-2764,(851)-068-8789,SSN,923-39-2146,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Mrs,Andrea,Vargas,732,Preston Rd,Riverside,Delaware,United States,11620,17.8015,-55.6018,-3:30,Newfoundland,andrea.vargas@example.com,1992-02-14T05:58:50.684Z,29,2018-06-16T02:43:13.828Z,3,(446)-271-5984,(363)-902-2186,SSN,736-79-7491,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
male,Mr,Roberto,Patterson,129,Daisy Dr,Sunnyvale,Tennessee,United States,31539,33.7578,-33.7807,+4:30,Kabul,roberto.patterson@example.com,1946-11-03T14:41:28.068Z,75,2006-03-28T18:18:05.835Z,15,(718)-248-8596,(087)-098-0179,SSN,119-12-5624,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
female,Ms,Kristina,Boyd,8231,Ranchview Dr,Garland,Alaska,United States,20240,77.2247,139.7453,-7:00,Mountain Time (US & Canada),kristina.boyd@example.com,1971-10-05T21:03:38.145Z,50,2018-11-26T01:35:07.204Z,3,(007)-883-9475,(084)-490-7984,SSN,536-64-8732,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
female,Miss,Rebecca,Martinez,4287,Hillcrest Rd,Lubbock,Missouri,United States,22338,-39.9912,-6.1817,-7:00,Mountain Time (US & Canada),rebecca.martinez@example.com,1951-03-12T20:14:21.527Z,70,2018-12-14T12:59:14.744Z,3,(093)-769-2339,(085)-211-0746,SSN,736-81-0481,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
male,Mr,Warren,Patterson,9721,James St,Cupertino,Alabama,United States,16128,74.5031,-100.4550,-7:00,Mountain Time (US & Canada),warren.patterson@example.com,1988-06-12T07:32:00.226Z,33,2011-12-15T19:31:38.892Z,10,(502)-735-6331,(018)-842-4194,SSN,888-41-8915,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Miss,April,Knight,806,Groveland Terrace,Chesapeake,Wisconsin,United States,24276,76.7467,111.2196,-2:00,Mid-Atlantic,april.knight@example.com,1950-05-10T04:03:06.685Z,71,2011-09-03T02:11:35.501Z,10,(919)-036-4539,(742)-343-3942,SSN,998-95-2811,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
male,Mr,Anthony,Fisher,7202,James St,Vernon,Alaska,United States,72411,-35.6378,-6.5169,-10:00,Hawaii,anthony.fisher@example.com,1981-01-23T18:57:53.064Z,40,2006-06-05T14:52:55.654Z,15,(626)-811-0483,(528)-965-8920,SSN,350-52-6317,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
male,Mr,Aaron,Vargas,9472,W Dallas St,Surrey,Kansas,United States,87395,-15.6838,56.7892,-3:30,Newfoundland,aaron.vargas@example.com,1946-01-15T05:36:04.174Z,75,2010-07-14T09:04:54.784Z,11,(743)-253-0112,(939)-043-1743,SSN,993-60-7033,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
