gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Brandie,Barnett,1785,Lakeview St,St. Petersburg,Michigan,United States,13148,-68.6377,-43.2383,-7:00,Mountain Time (US & Canada),brandie.barnett@example.com,1971-01-19T23:31:15.087Z,50,2014-12-13T14:20:29.284Z,7,(247)-636-3631,(360)-076-6394,SSN,669-38-0177,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Ms,Zoe,Gonzales,458,W Belt Line Rd,Wilmington,Utah,United States,28325,56.8685,-21.1867,+4:30,Kabul,zoe.gonzales@example.com,1966-12-11T03:47:32.215Z,55,2011-04-16T14:44:32.745Z,10,(005)-183-3065,(180)-369-7805,SSN,101-70-2413,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
male,Mr,Ross,Morris,8849,Country Club Rd,Cedar Hill,Missouri,United States,76991,-54.3600,-115.7504,-8:00,Pacific Time (US & Canada),ross.morris@example.com,1945-01-04T20:33:42.736Z,76,2014-12-07T23:17:04.480Z,7,(386)-361-6891,(152)-974-1752,SSN,957-40-7490,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
male,Mr,Brent,Hayes,8846,Spring St,South Valley,Montana,United States,11898,-85.7270,-152.3634,-9:00,Alaska,brent.hayes@example.com,1986-11-16T02:48:01.470Z,35,2018-06-18T18:20:48.272Z,3,(233)-252-9421,(864)-081-1762,SSN,203-27-6033,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,Johnny,Kennedy,6367,Plum St,Ontario,Maryland,United States,13188,41.7759,113.9722,+4:30,Kabul,johnny.kennedy@example.com,1990-03-24T12:28:55.417Z,31,2016-09-29T00:00:11.863Z,5,(369)-814-9195,(848)-700-7817,SSN,940-42-0792,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
male,Mr,Gilbert,Nguyen,5280,Mockingbird Hill,Rochmond,Mississippi,United States,92495,-75.9859,31.0184,-9:00,Alaska,gilbert.nguyen@example.com,1950-11-12T11:04:11.913Z,71,2015-03-12T00:11:42.366Z,6,(517)-645-5726,(372)-043-6484,SSN,624-42-4290,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
female,Miss,Erika,Holland,4153,W Belt Line Rd,College Station,Wisconsin,United States,12231,15.9039,-139.3494,-3:30,Newfoundland,erika.holland@example.com,1972-06-28T12:03:03.065Z,49,2009-09-13T18:16:51.892Z,12,(709)-471-2944,(771)-323-6038,SSN,061-78-8697,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
male,Mr,Neil,Howell,5444,E Sandy Lake Rd,Visalia,Colorado,United States,94579,87.1259,-59.5988,-9:00,Alaska,neil.howell@example.com,1970-02-28T20:41:16.255Z,51,2011-05-08T01:32:20.529Z,10,(581)-672-6404,(001)-296-6225,SSN,169-41-9998,https://randomuser.me/api/portraits/men/31.jpg,https://randomuser.me/api/portraits/med/men/31.jpg,https://randomuser.me/api/portraits/thumb/men/31.jpg,US
male,Mr,Landon,Warren,2337,Saddle Dr,Norwalk,Indiana,United States,95930,83.0795,-114.1139,+4:30,Kabul,landon.warren@example.com,1973-01-18T10:28:49.262Z,48,2005-05-04T14:07:41.543Z,16,(537)-373-5446,(640)-139-6277,SSN,659-46-9712,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
female,Mrs,Kylie,Freeman,9140,Hillcrest Rd,Beaumont,Idaho,United States,45906,-67.6797,-122.1615,-10:00,Hawaii,kylie.freeman@example.com,1978-09-18T14:21:31.029Z,43,2004-08-28T12:24:35.064Z,17,(243)-384-2353,(057)-586-5966,SSN,683-42-3058,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
female,Mrs,Clara,Nelson,6500,Dane St,Miami,New Hampshire,United States,76182,-56.7114,101.9090,-3:30,Newfoundland,clara.nelson@example.com,1998-07-04T07:15:41.230Z,23,2017-11-08T10:15:29.975Z,4,(475)-971-5801,(989)-059-8520,SSN,691-98-5138,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
female,Mrs,Terri,Hanson,7945,Frances Ct,El Cajon,North Dakota,United States,74354,81.7808,-132.4411,-3:30,Newfoundland,terri.hanson@example.com,1992-02-02T00:27:53.238Z,29,2010-05-29T07:40:32.719Z,11,(519)-137-1200,(697)-510-3835,SSN,322-48-1224,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
