gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Kay,Wood,8841,First Street,Aurora,West Virginia,United States,23254,88.3086,-53.3098,+4:30,Kabul,kay.wood@example.com,1982-08-09T21:02:41.359Z,39,2009-06-29T04:39:08.118Z,12,(291)-023-6872,(014)-833-6854,SSN,278-86-0854,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
male,Mr,Jason,Cruz,3530,Homestead Rd,Tulsa,Minnesota,United States,32106,-1.5239,157.3750,-7:00,Mountain Time (US & Canada),jason.cruz@example.com,1957-03-21T00:34:20.100Z,64,2008-07-06T04:58:09.354Z,13,(425)-480-5341,(674)-207-6457,SSN,683-13-7577,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
female,Mrs,Chloe,Torres,5924,Shady Ln Dr,Hamsburg,Nevada,United States,52491,-11.7200,-81.0423,-9:00,Alaska,chloe.torres@example.com,1990-04-28T19:49:17.591Z,31,2018-12-25T21:41:57.344Z,3,(083)-438-5075,(360)-557-2885,SSN,917-59-1846,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg,US
female,Ms,Kristen,Bradley,5674,Locust Rd,Santa Maria,Minnesota,United States,80558,-48.3002,41.3522,+3:30,Tehran,kristen.bradley@example.com,1967-04-11T03:25:46.134Z,54,2015-06-15T06:08:54.469Z,6,(524)-414-6125,(524)-872-6880,SSN,763-51-5352,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
male,Mr,Liam,Grant,7459,Robinson Rd,San Diego,Oklahoma,United States,92183,-77.5263,155.3473,-7:00,Mountain Time (US & Canada),liam.grant@example.com,1964-09-05T07:51:43.737Z,57,2017-12-16T20:41:46.091Z,4,(097)-968-0257,(190)-415-0301,SSN,646-68-3298,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
male,Mr,Arron,Burns,2210,Country Club Rd,Waxahachie,South Dakota,United States,78303,-75.3244,89.2711,+3:30,Tehran,arron.burns@example.com,1953-09-22T15:38:09.177Z,68,2003-06-14T19:46:32.400Z,18,(094)-305-9658,(971)-442-4188,SSN,359-37-3655,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
female,Ms,Abigail,Duncan,6312,College St,Shiloh,Ohio,United States,33944,7.5738,112.1049,+3:30,Tehran,abigail.duncan@example.com,1997-12-02T05:26:49.383Z,24,2015-01-16T11:33:05.870Z,6,(715)-236-3687,(510)-890-3223,SSN,013-69-1328,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
male,Mr,Joel,Medina,4382,Spring Hill Rd,Irvine,Rhode Island,United States,55647,-50.2339,-134.0149,-9:00,Alaska,joel.medina@example.com,1973-02-10T09:11:47.118Z,48,2011-12-15T09:43:04.082Z,10,(418)-757-5379,(013)-442-5970,SSN,098-47-6874,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
female,Miss,Sophie,Perkins,1509,Ash Dr,Erie,Michigan,United States,99252,84.7097,-12.2413,+4:30,Kabul,sophie.perkins@example.com,1956-06-18T01:12:07.367Z,65,2012-11-02T22:51:29.252Z,9,(029)-888-4435,(322)-956-0660,SSN,468-29-1802,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
male,Mr,Hector,Romero,524,Plum St,Huntsville,Michigan,United States,37996,73.1684,-94.2322,-2:00,Mid-Atlantic,hector.romero@example.com,1971-07-31T16:37:01.827Z,50,2012-08-05T04:04:04.754Z,9,(521)-489-4152,(672)-570-6353,SSN,195-39-2314,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
female,Ms,Charlene,Miles,4550,Woodland St,New Orleans,Michigan,United States,49404,29.3434,170.4999,-10:00,Hawaii,charlene.miles@example.com,1982-11-09T15:09:36.629Z,39,2011-11-17T23:35:48.531Z,10,(442)-985-5312,(949)-862-5329,SSN,883-45-2177,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
male,Mr,Dennis,Holland,6753,Cackson St,Indianapolis,New Jersey,United States,62760,-40.7140,-55.3365,+4:30,Kabul,dennis.holland@example.com,1947-07-21T09:35:28.554Z,74,2003-01-07T06:50:54.707Z,18,(118)-040-6326,(321)-390-1925,SSN,511-99-8557,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Mrs,Kathy,Turner,8390,Edwards Rd,York,New Mexico,United States,60012,66.8674,50.9248,-10:00,Hawaii,kathy.turner@example.com,1963-08-24T14:13:05.845Z,58,2002-07-05T09:00:50.689Z,19,(418)-581-4791,(809)-467-0489,SSN,648-60-5653,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
female,Miss,Sonia,Moreno,7783,Bollinger Rd,Santa Ana,Wyoming,United States,37123,38.1851,-71.8441,-2:00,Mid-Atlantic,sonia.moreno@example.com,1953-03-17T03:32:27.849Z,68,2006-10-22T13:27:54.885Z,15,(350)-776-0035,(302)-001-8341,SSN,783-64-2540,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
male,Mr,Arthur,Curtis,6396,Ash Dr,Detroit,Tennessee,United States,96897,-87.8796,175.8187,-2:00,Mid-Atlantic,arthur.curtis@example.com,1997-03-19T21:13:23.798Z,24,2017-12-16T00:55:44.940Z,4,(926)-968-2841,(583)-450-0229,SSN,781-27-5663,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
female,Ms,Tracy,Holland,5886,Plum St,Boulder,Oklahoma,United States,83029,85.0449,-104.7140,-7:00,Mountain Time (US & Canada),tracy.holland@example.com,1986-07-10T01:45:54.577Z,35,2005-12-29T22:14:23.456Z,16,(134)-894-9971,(939)-663-1554,SSN,473-65-0510,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
male,Mr,Terry,Silva,8544,College St,Elk Grove,Maryland,United States,53501,36.3015,-19.6790,-9:00,Alaska,terry.silva@example.com,1998-05-24T10:25:00.096Z,23,2014-10-15T09:43:57.049Z,7,(419)-648-0760,(868)-080-2175,SSN,510-36-2890,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
male,Mr,Bruce,Webb,5659,Woodland St,Elizabeth,Virginia,United States,76846,3.0506,-88.8368,+3:30,Tehran,bruce.webb@example.com,1982-07-24T23:50:07.456Z,39,2007-11-16T12:44:06.513Z,14,(896)-788-4526,(179)-058-1053,SSN,047-65-1519,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
male,Mr,Lonnie,Obrien,3083,Westheimer Rd,Fargo,Oregon,United States,70261,-16.5294,-120.5351,+5:45,Kathmandu,lonnie.obrien@example.com,1993-06-24T11:25:14.108Z,28,2002-04-27T19:39:24.902Z,19,(879)-070-4848,(475)-400-6084,SSN,386-97-7275,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
