gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Allen,Campbell,2706,Wheeler Ridge Dr,Lewiston,Colorado,United States,22605,-11.9339,-143.1310,+5:45,Kathmandu,allen.campbell@example.com,1996-10-20T15:26:19.864Z,25,2009-01-28T02:03:18.651Z,12,(841)-293-0529,(136)-997-9847,SSN,492-65-3722,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
male,Mr,Hunter,Mitchell,2236,Camden Ave,Gresham,Wisconsin,United States,29568,-59.1796,88.8842,-3:30,Newfoundland,hunter.mitchell@example.com,1993-11-16T00:48:05.447Z,28,2016-04-14T12:13:46.572Z,5,(970)-660-4288,(850)-828-9091,SSN,355-53-5760,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
female,Miss,Amy,Mitchelle,5010,Lone Wolf Trail,Rochester,South Dakota,United States,69515,72.5723,-141.9537,+3:30,Tehran,amy.mitchelle@example.com,1972-10-06T04:35:07.509Z,49,2005-04-06T02:03:48.751Z,16,(663)-498-4395,(958)-053-7959,SSN,265-82-2610,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
female,Mrs,Natalie,Rhodes,657,Smokey Ln,Lincoln,Wisconsin,United States,98689,49.3482,52.8206,-7:00,Mountain Time (US & Canada),natalie.rhodes@example.com,1978-07-30T06:07:27.780Z,43,2019-04-26T15:02:28.851Z,2,(869)-185-8202,(140)-807-7398,SSN,188-75-9119,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
female,Ms,Melinda,Pena,3028,Brown Terrace,Independence,Arkansas,United States,66625,17.9353,-152.3850,-9:00,Alaska,melinda.pena@example.com,1994-05-20T00:52:41.318Z,27,2006-11-23T17:27:23.166Z,15,(973)-313-0889,(074)-878-2030,SSN,174-88-4206,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
male,Mr,Salvador,Garcia,3928,Spring St,Rochester,Florida,United States,27982,86.1884,35.3969,+4:30,Kabul,salvador.garcia@example.com,1948-01-21T08:44:44.465Z,73,2007-10-07T02:35:57.717Z,14,(930)-093-9420,(963)-482-9044,SSN,940-02-7995,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
male,Mr,Cody,Silva,8020,Hunters Creek Dr,Overland Park,Illinois,United States,34083,45.2011,15.5299,-9:00,Alaska,cody.silva@example.com,1951-02-13T01:20:53.467Z,70,2006-09-28T11:23:21.945Z,15,(942)-485-3446,(575)-485-2506,SSN,728-99-8328,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
male,Mr,Levi,Holmes,9685,E Pecan St,Birmingham,South Dakota,United States,10461,48.1806,-0.6039,+5:45,Kathmandu,levi.holmes@example.com,1947-01-20T02:11:05.957Z,74,2014-04-13T14:09:20.256Z,7,(040)-553-9572,(783)-446-3790,SSN,052-65-4710,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
female,Mrs,Amy,Welch,1663,Depaul Dr,Raleigh,Michigan,United States,31801,80.3275,-63.0105,-8:00,Pacific Time (US & Canada),amy.welch@example.com,1981-04-23T04:14:28.015Z,40,2015-06-03T01:33:26.601Z,6,(101)-418-1807,(018)-047-1847,SSN,831-44-7209,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
male,Mr,Jerry,Grant,2119,First Street,Indianapolis,Vermont,United States,28081,37.7272,-43.8950,+3:30,Tehran,jerry.grant@example.com,1998-03-05T13:43:18.528Z,23,2009-08-24T02:54:02.072Z,12,(260)-175-9757,(770)-907-7258,SSN,161-05-8389,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
female,Miss,Danielle,Holt,106,Valwood Pkwy,Columbus,Michigan,United States,54896,10.9910,-48.2827,-3:30,Newfoundland,danielle.holt@example.com,1980-04-09T09:19:00.318Z,41,2006-12-31T02:05:47.650Z,15,(238)-858-4232,(322)-301-2633,SSN,284-35-6714,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
female,Ms,Carmen,Barnes,896,W Gray St,Flint,Alaska,United States,68218,-15.1130,138.2454,-8:00,Pacific Time (US & Canada),carmen.barnes@example.com,1991-05-31T14:20:58.743Z,30,2005-10-18T08:14:49.775Z,16,(517)-570-6433,(147)-562-9649,SSN,334-33-8609,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
female,Mrs,Rosa,Burke,1214,Parker Rd,Hartford,Oklahoma,United States,54591,57.8318,42.4517,-3:30,Newfoundland,rosa.burke@example.com,1969-03-29T19:35:18.722Z,52,2002-12-18T07:18:59.264Z,19,(251)-243-8920,(793)-765-3148,SSN,880-34-9647,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
female,Miss,Claire,Mendoza,9701,Taylor St,Huntington Beach,South Carolina,United States,75462,64.6609,-108.9263,-8:00,Pacific Time (US & Canada),claire.mendoza@example.com,1949-03-15T12:35:30.271Z,72,2005-07-22T23:06:46.871Z,16,(755)-352-4480,(063)-987-0112,SSN,013-14-2201,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
female,Mrs,Miriam,Peterson,2398,Stevens Creek Blvd,York,New Jersey,United States,77273,-81.9003,-8.0127,+5:45,Kathmandu,miriam.peterson@example.com,1963-01-25T22:52:23.360Z,58,2007-11-23T12:37:24.357Z,14,(876)-117-6433,(804)-990-3824,SSN,957-07-1832,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
