gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Clyde,Holmes,2818,Smokey Ln,Manchester,Rhode Island,United States,57749,-6.0315,104.7345,-10:00,Hawaii,clyde.holmes@example.com,1996-05-06T07:16:38.296Z,25,2003-02-24T15:43:26.965Z,18,(961)-297-8978,(946)-824-7317,SSN,964-22-3022,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
male,Mr,Ronnie,Richardson,5523,White Oak Dr,Palmdale,Ohio,United States,46795,3.2508,-68.4517,+5:45,Kathmandu,ronnie.richardson@example.com,1948-09-25T17:29:14.519Z,73,2008-12-15T20:45:56.226Z,13,(966)-759-4029,(256)-206-7568,SSN,074-72-5459,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
female,Miss,Anna,Douglas,2003,Country Club Rd,Memphis,Virginia,United States,61718,-4.7411,-92.3817,-10:00,Hawaii,anna.douglas@example.com,1953-12-05T22:53:37.034Z,68,2003-12-23T08:11:08.023Z,18,(349)-445-2533,(432)-719-7150,SSN,148-31-3828,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
male,Mr,Dale,Payne,2772,Adams St,Murfreesboro,Minnesota,United States,93116,83.9109,49.8941,-3:30,Newfoundland,dale.payne@example.com,1949-10-31T03:44:27.252Z,72,2018-03-21T17:16:48.321Z,3,(461)-766-7395,(417)-072-8029,SSN,077-71-1618,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
male,Mr,Aaron,Andrews,2782,Plum St,Edison,West Virginia,United States,34655,28.9674,-55.8083,-8:00,Pacific Time (US & Canada),aaron.andrews@example.com,1990-02-20T19:14:50.658Z,31,2003-03-23T05:26:22.402Z,18,(722)-453-4301,(767)-370-8669,SSN,486-87-6550,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
female,Miss,Evelyn,Howard,7106,Homestead Rd,Norwalk,Indiana,United States,11169,25.9107,106.2150,+5:45,Kathmandu,evelyn.howard@example.com,1974-07-29T19:02:13.649Z,47,2005-12-17T09:08:02.409Z,16,(687)-177-2978,(652)-195-0586,SSN,317-77-8662,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
female,Miss,Pauline,Webb,2211,Forest Ln,Arvada,Connecticut,United States,15795,-43.8584,119.0212,-3:30,Newfoundland,pauline.webb@example.com,1988-09-20T20:18:26.809Z,33,2012-05-18T20:47:08.973Z,9,(942)-014-9567,(385)-205-2103,SSN,701-35-1457,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
female,Mrs,April,Boyd,7309,Cherry St,Broken Arrow,North Dakota,United States,26749,-40.3948,150.3021,-7:00,Mountain Time (US & Canada),april.boyd@example.com,1946-08-14T23:39:07.621Z,75,2009-02-05T16:46:25.987Z,12,(267)-812-2309,(160)-303-3575,SSN,768-98-1239,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
male,Mr,Craig,Arnold,2488,Shady Ln Dr,Dumas,South Carolina,United States,89176,58.4040,-37.2097,-8:00,Pacific Time (US & Canada),craig.arnold@example.com,1994-10-23T05:56:52.812Z,27,2019-06-23T03:28:38.533Z,2,(258)-373-0346,(441)-303-8137,SSN,689-06-7714,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg,US
female,Miss,Zoey,Morales,5523,W Pecan St,Salinas,Washington,United States,48677,43.7663,-112.8237,-2:00,Mid-Atlantic,zoey.morales@example.com,1976-05-17T12:02:41.813Z,45,2008-04-01T05:04:46.425Z,13,(271)-674-9862,(030)-268-0940,SSN,955-69-4995,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Miss,Sofia,Morris,7161,Timber Wolf Trail,Frisco,Arkansas,United States,42697,23.1021,-50.6998,-3:30,Newfoundland,sofia.morris@example.com,1975-07-17T17:15:05.780Z,46,2016-09-13T02:26:48.621Z,5,(584)-697-8416,(660)-209-1641,SSN,180-79-0249,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
