gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Gertrude,Stephens,3093,Frances Ct,Fairfield,Connecticut,United States,22423,-27.7949,44.7973,+4:30,Kabul,gertrude.stephens@example.com,1953-06-09T07:28:23.689Z,68,2010-12-20T05:48:01.161Z,11,(551)-899-0714,(411)-415-6658,SSN,709-87-2727,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
male,Mr,Joshua,Simmons,4937,W Belt Line Rd,Cary,Vermont,United States,57266,87.9069,-97.1421,-8:00,Pacific Time (US & Canada),joshua.simmons@example.com,1960-04-09T06:00:04.966Z,61,2007-05-24T00:41:39.356Z,14,(300)-988-7810,(298)-951-3699,SSN,308-43-8645,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
female,Miss,Mabel,Webb,637,Camden Ave,Frisco,Ohio,United States,84518,31.2327,-46.0427,-2:00,Mid-Atlantic,mabel.webb@example.com,1965-05-04T23:41:21.875Z,56,2017-10-02T18:51:04.022Z,4,(375)-321-7222,(761)-954-1327,SSN,469-55-5490,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
female,Ms,Brianna,Larson,2699,First Street,North Las Vegas,Rhode Island,United States,44879,-86.3126,17.9450,+4:30,Kabul,brianna.larson@example.com,1986-07-17T19:41:33.981Z,35,2005-10-27T13:16:05.226Z,16,(969)-494-1453,(807)-208-6229,SSN,966-25-8439,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
male,Mr,Aaron,Allen,4412,Pockrus Page Rd,North Las Vegas,Texas,United States,84776,69.7280,-167.3744,-3:30,Newfoundland,aaron.allen@example.com,1958-05-11T05:46:34.153Z,63,2015-04-24T14:36:28.310Z,6,(514)-266-6872,(033)-707-0123,SSN,398-82-4132,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
male,Mr,Lloyd,Harrison,8798,Lakeshore Rd,Montgomery,Maine,United States,91289,-79.1176,56.3650,-9:00,Alaska,lloyd.harrison@example.com,1996-10-08T00:33:29.960Z,25,2005-04-13T21:24:18.405Z,16,(734)-718-8141,(586)-053-3666,SSN,999-98-4392,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
male,Mr,Andre,Gilbert,6743,Photinia Ave,Salem,Alaska,United States,42611,-54.2672,16.3185,-3:30,Newfoundland,andre.gilbert@example.com,1962-06-27T03:25:19.232Z,59,2018-07-10T22:10:26.661Z,3,(876)-910-1157,(758)-485-3393,SSN,007-74-7011,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
male,Mr,Todd,Terry,5268,Timber Wolf Trail,Cupertino,South Carolina,United States,55221,61.5467,-44.7794,-2:00,Mid-Atlantic,todd.terry@example.com,1992-12-27T22:46:17.437Z,29,2018-04-18T20:03:03.439Z,3,(933)-356-7667,(449)-899-7422,SSN,129-14-5930,https://randomuser.me/api/portraits/men/94.jpg,https://randomuser.me/api/portraits/med/men/94.jpg,https://randomuser.me/api/portraits/thumb/men/94.jpg,US
female,Ms,Harper,Reid,4337,Photinia Ave,Athens,Pennsylvania,United States,62389,20.7833,-169.0216,-10:00,Hawaii,harper.reid@example.com,1962-10-31T05:13:12.315Z,59,2012-05-24T07:40:40.648Z,9,(329)-827-9237,(809)-686-5703,SSN,517-48-2927,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Miss,Scarlett,Rice,9498,Shady Ln Dr,Plano,Maryland,United States,80483,-17.4396,71.6960,-8:00,Pacific Time (US & Canada),scarlett.rice@example.com,1990-06-21T09:16:28.505Z,31,2005-03-23T07:06:26.288Z,16,(147)-449-1662,(304)-291-1247,SSN,220-06-8364,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
