gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Joann,Butler,2163,Shady Ln Dr,Richmond,Hawaii,United States,54777,-18.5917,-20.0079,+4:30,Kabul,joann.butler@example.com,1976-09-26T21:46:17.734Z,45,2017-08-27T17:15:01.247Z,4,(478)-979-0909,(522)-738-6332,SSN,839-96-2323,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
male,Mr,Arron,Weaver,5482,Sunset St,Palm Bay,North Dakota,United States,59407,-53.6654,139.5590,+5:45,Kathmandu,arron.weaver@example.com,1995-02-24T06:04:59.842Z,26,2012-08-06T17:39:55.908Z,9,(679)-222-5059,(034)-121-7130,SSN,237-87-6343,https://randomuser.me/api/portraits/men/31.jpg,https://randomuser.me/api/portraits/med/men/31.jpg,https://randomuser.me/api/portraits/thumb/men/31.jpg,US
male,Mr,Neil,Thompson,8934,Railroad St,Mesa,New York,United States,77131,-64.7019,-155.9179,-7:00,Mountain Time (US & Canada),neil.thompson@example.com,1985-10-12T05:45:10.164Z,36,2012-09-08T13:07:11.699Z,9,(190)-332-5987,(693)-740-2601,SSN,943-47-4109,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
male,Mr,Nathaniel,Caldwell,7665,Preston Rd,Great Falls,Oklahoma,United States,98520,-48.7273,120.6321,-7:00,Mountain Time (US & Canada),nathaniel.caldwell@example.com,1962-10-31T11:41:07.561Z,59,2017-07-06T04:32:35.215Z,4,(525)-394-2566,(788)-597-8269,SSN,784-13-4087,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
male,Mr,Joe,Gilbert,4366,Forest Ln,Bernalillo,Vermont,United States,22639,-46.1200,-150.1346,-3:30,Newfoundland,joe.gilbert@example.com,1995-10-31T18:05:04.654Z,26,2019-01-04T13:07:49.503Z,2,(617)-004-6732,(422)-045-4292,SSN,720-78-6464,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
male,Mr,Guy,Wright,7033,Cherry St,Tampa,Rhode Island,United States,70300,33.8385,86.0007,-3:30,Newfoundland,guy.wright@example.com,1976-03-24T20:25:29.820Z,45,2004-06-13T03:47:47.343Z,17,(071)-751-2069,(023)-219-1836,SSN,013-39-3869,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
male,Mr,Derek,Vargas,5354,First Street,Grants Pass,Nebraska,United States,31400,-52.1093,12.0794,-9:00,Alaska,derek.vargas@example.com,1992-06-07T01:53:35.932Z,29,2018-02-20T16:49:26.541Z,3,(155)-872-3848,(179)-926-8069,SSN,897-14-2176,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
female,Ms,Annette,Dixon,5433,Lakeshore Rd,Norman,South Carolina,United States,69073,-61.6491,42.6106,-3:30,Newfoundland,annette.dixon@example.com,1977-09-19T06:20:47.851Z,44,2009-07-13T15:45:26.165Z,12,(699)-908-0976,(957)-924-0607,SSN,138-04-2965,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
male,Mr,Julio,Larson,3002,Miller Ave,Ironville,Missouri,United States,86326,-67.2957,-66.5721,-9:00,Alaska,julio.larson@example.com,1957-10-21T11:30:56.565Z,64,2013-06-30T12:32:27.340Z,8,(003)-118-5888,(221)-456-5791,SSN,496-38-2270,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
female,Ms,Vickie,Clark,2045,Camden Ave,San Mateo,Georgia,United States,97042,-89.8354,-61.0338,-2:00,Mid-Atlantic,vickie.clark@example.com,1983-07-04T08:06:51.175Z,38,2003-05-13T17:58:42.806Z,18,(762)-011-1229,(077)-849-9155,SSN,355-96-1218,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
