gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Tyrone,Gonzalez,7420,Pockrus Page Rd,Roanoke,Kansas,United States,59004,-52.7161,-157.7200,+4:30,Kabul,tyrone.gonzalez@example.com,1948-05-29T13:01:51.386Z,73,2005-10-12T00:53:00.922Z,16,(534)-394-2320,(646)-723-8796,SSN,375-92-4504,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
female,Mrs,Deann,Lopez,759,Miller Ave,Nampa,Virginia,United States,79324,-73.4593,-87.4968,+5:45,Kathmandu,deann.lopez@example.com,1988-10-17T16:03:56.186Z,33,2002-05-12T12:42:31.113Z,19,(997)-041-3857,(217)-795-3134,SSN,798-64-1086,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
male,Mr,Bobby,Robinson,9266,Oak Ridge Ln,Saginaw,North Dakota,United States,32106,42.4209,107.3150,-10:00,Hawaii,bobby.robinson@example.com,1965-11-04T05:06:50.922Z,56,2010-01-25T12:05:03.750Z,11,(044)-640-8181,(472)-432-4067,SSN,090-79-1116,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Miss,Mildred,Barrett,6658,Thornridge Cir,Chattanooga,Kentucky,United States,10512,51.6512,-0.9236,+3:30,Tehran,mildred.barrett@example.com,1954-12-27T17:41:19.268Z,67,2009-07-31T14:14:13.912Z,12,(094)-582-4114,(279)-634-5834,SSN,107-68-4866,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
female,Mrs,Eileen,Kennedy,6729,Robinson Rd,Chicago,Michigan,United States,28566,-5.6768,-36.7249,-3:30,Newfoundland,eileen.kennedy@example.com,1991-06-24T00:26:19.742Z,30,2008-12-24T22:21:17.793Z,13,(722)-324-1227,(114)-836-9505,SSN,065-44-2231,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
female,Miss,Natalie,Cook,3937,Spring St,York,North Carolina,United States,99736,69.5068,-99.1151,+4:30,Kabul,natalie.cook@example.com,1952-12-17T13:56:51.954Z,69,2005-03-21T06:35:27.672Z,16,(032)-024-5613,(756)-059-9725,SSN,582-33-8858,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,US
female,Ms,Norma,Kelley,7923,Spring Hill Rd,Denver,Kansas,United States,16543,80.7616,-26.5858,+3:30,Tehran,norma.kelley@example.com,1983-10-04T04:21:16.081Z,38,2010-04-05T15:41:49.667Z,11,(356)-329-4129,(693)-944-8968,SSN,314-59-8155,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
male,Mr,Aaron,Butler,6140,Lovers Ln,Torrance,Maryland,United States,65203,-52.5164,-70.0574,-3:30,Newfoundland,aaron.butler@example.com,1976-01-30T00:12:13.602Z,45,2011-09-21T01:48:56.876Z,10,(624)-930-9622,(601)-557-2352,SSN,876-72-0233,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
female,Miss,Layla,Payne,8520,Wycliff Ave,Medford,California,United States,89607,88.8985,-129.6254,+4:30,Kabul,layla.payne@example.com,1977-03-20T07:26:40.743Z,44,2013-09-14T18:45:42.993Z,8,(019)-692-7977,(361)-944-0845,SSN,146-75-7556,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg,US
female,Miss,Hailey,Ferguson,5560,Elgin St,St. Louis,Arkansas,United States,80746,86.1554,-1.7300,-2:00,Mid-Atlantic,hailey.ferguson@example.com,1991-05-20T20:27:06.613Z,30,2016-01-21T00:58:58.190Z,5,(062)-870-8997,(723)-051-9115,SSN,452-18-7991,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
male,Mr,Roger,Russell,1590,Ranchview Dr,Naperville,Massachusetts,United States,26660,10.6420,16.9882,+4:30,Kabul,roger.russell@example.com,1957-10-10T12:04:08.331Z,64,2019-07-04T00:12:11.986Z,2,(561)-166-6140,(586)-144-5436,SSN,263-81-7505,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
