gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Ivan,Andrews,36,Washington Ave,Boulder,Kentucky,United States,25316,50.2070,-153.0556,-9:00,Alaska,ivan.andrews@example.com,1975-08-01T07:05:42.783Z,46,2014-02-06T11:44:03.769Z,7,(275)-065-6508,(426)-326-8830,SSN,828-91-9266,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
female,Mrs,Delores,Howell,4988,Blossom Hill Rd,Minneapolis,Pennsylvania,United States,19751,81.9883,-151.2890,-2:00,Mid-Atlantic,delores.howell@example.com,1960-01-03T13:52:21.334Z,61,2004-08-09T10:34:38.278Z,17,(242)-402-4503,(340)-756-5495,SSN,560-43-1926,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
male,Mr,Christopher,Mason,3410,Plum St,Yakima,Alabama,United States,96120,-65.4602,154.8033,+5:45,Kathmandu,christopher.mason@example.com,1949-06-10T22:31:14.867Z,72,2007-03-03T10:39:29.212Z,14,(688)-217-7781,(110)-445-3444,SSN,194-88-2707,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
male,Mr,Bernard,Silva,5684,Pockrus Page Rd,Steilacoom,Kansas,United States,64573,77.2135,110.9451,-9:00,Alaska,bernard.silva@example.com,1971-05-30T00:10:48.686Z,50,2009-04-04T04:47:33.100Z,12,(888)-365-8795,(571)-095-4520,SSN,929-14-2428,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
female,Ms,Teresa,Patterson,9598,Taylor St,Caldwell,Colorado,United States,51894,1.1928,113.4890,-9:00,Alaska,teresa.patterson@example.com,1950-08-22T18:47:00.113Z,71,2011-03-31T11:29:24.295Z,10,(506)-295-1169,(799)-151-4912,SSN,269-48-0797,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
male,Mr,Derek,Jordan,7885,Ranchview Dr,Saint Paul,New York,United States,15903,-3.1931,-165.6729,+4:30,Kabul,derek.jordan@example.com,1993-11-14T19:33:48.120Z,28,2010-08-19T09:04:24.142Z,11,(298)-483-4114,(774)-881-0236,SSN,614-75-4489,https://randomuser.me/api/portraits/men/60.jpg,https://randomuser.me/api/portraits/med/men/60.jpg,https://randomuser.me/api/portraits/thumb/men/60.jpg,US
female,Ms,Josephine,Terry,6135,Forest Ln,Savannah,Louisiana,United States,94106,15.8198,-26.4207,-7:00,Mountain Time (US & Canada),josephine.terry@example.com,1982-05-25T13:53:10.547Z,39,2007-06-05T04:30:37.272Z,14,(600)-363-5738,(915)-122-3603,SSN,597-39-0775,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
female,Miss,Sophie,Owens,5939,Woodland St,Lincoln,Massachusetts,United States,17208,41.0819,-52.3323,-3:30,Newfoundland,sophie.owens@example.com,1968-06-11T09:57:57.101Z,53,2018-04-16T00:33:25.490Z,3,(599)-771-3577,(060)-928-0927,SSN,511-58-7758,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
female,Miss,Lisa,Soto,5406,Cackson St,Huntington Beach,South Carolina,United States,58245,60.3506,131.7046,-2:00,Mid-Atlantic,lisa.soto@example.com,1988-11-24T11:23:56.472Z,33,2019-01-22T23:19:40.120Z,2,(484)-155-7504,(597)-692-6256,SSN,376-02-1434,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
male,Mr,Tom,Moreno,943,Ash Dr,Salem,North Carolina,United States,26614,34.9922,-166.3853,-7:00,Mountain Time (US & Canada),tom.moreno@example.com,1971-01-30T13:31:38.188Z,50,2008-11-12T12:20:50.966Z,13,(495)-737-0197,(336)-286-1906,SSN,263-36-3017,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
female,Miss,Tammy,Turner,9771,Miller Ave,Nashville,Maine,United States,31264,-66.4134,-34.7100,-3:30,Newfoundland,tammy.turner@example.com,1958-01-07T02:43:52.944Z,63,2016-09-14T00:00:07.717Z,5,(689)-957-0312,(697)-708-5348,SSN,860-30-3096,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
male,Mr,Claude,Arnold,3511,Northaven Rd,Escondido,Missouri,United States,64593,-38.1664,-47.2174,-10:00,Hawaii,claude.arnold@example.com,1962-03-27T12:56:56.659Z,59,2003-10-20T01:12:58.682Z,18,(994)-409-4367,(880)-758-1262,SSN,112-70-8449,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
