gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Eddie,Barrett,7047,Locust Rd,Columbus,Missouri,United States,95910,10.2742,170.0664,-9:00,Alaska,eddie.barrett@example.com,1994-04-05T07:50:44.417Z,27,2002-12-09T10:25:10.305Z,19,(157)-049-2904,(806)-972-9824,SSN,305-77-4763,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
female,Ms,Madison,Hansen,6515,Pecan Acres Ln,Columbus,Delaware,United States,84685,-35.8924,-35.8069,-7:00,Mountain Time (US & Canada),madison.hansen@example.com,1989-07-29T21:22:29.089Z,32,2014-09-26T15:11:36.159Z,7,(057)-114-7139,(672)-767-2283,SSN,349-73-8778,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
male,Mr,Frank,Knight,7109,Valwood Pkwy,Rialto,Iowa,United States,26123,-82.5947,78.0079,+5:45,Kathmandu,frank.knight@example.com,1994-07-13T05:35:33.276Z,27,2006-02-19T09:25:48.278Z,15,(561)-257-1806,(676)-496-1197,SSN,071-31-8556,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
female,Ms,Audrey,Johnston,3737,W Pecan St,Virginia Beach,Nebraska,United States,96050,72.3283,35.8878,-2:00,Mid-Atlantic,audrey.johnston@example.com,1991-10-16T13:26:08.942Z,30,2005-01-01T21:27:50.601Z,16,(953)-033-2700,(487)-754-2237,SSN,291-58-5638,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Miss,Heidi,Riley,6424,Plum St,Moscow,Texas,United States,69727,86.7464,79.0811,-3:30,Newfoundland,heidi.riley@example.com,1994-04-07T16:05:29.436Z,27,2008-03-09T21:40:03.060Z,13,(042)-765-8854,(803)-832-3651,SSN,080-74-1860,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
male,Mr,Matthew,Cole,2128,Samaritan Dr,Fullerton,California,United States,99507,15.7812,103.1261,+4:30,Kabul,matthew.cole@example.com,1978-03-26T08:00:10.218Z,43,2017-12-05T06:21:15.219Z,4,(026)-887-3745,(815)-241-5472,SSN,363-07-5709,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Ms,Tanya,Jenkins,300,Stevens Creek Blvd,Frederick,Iowa,United States,22914,15.8074,124.9709,+5:45,Kathmandu,tanya.jenkins@example.com,1971-01-16T20:34:36.050Z,50,2017-05-25T19:00:52.416Z,4,(957)-695-3470,(597)-993-7617,SSN,647-44-1749,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
female,Ms,Carole,Marshall,7713,Oak Ridge Ln,Frederick,North Carolina,United States,87633,-79.0493,-169.4572,-3:30,Newfoundland,carole.marshall@example.com,1957-07-24T06:20:27.858Z,64,2002-12-01T08:24:24.000Z,19,(568)-587-5376,(768)-124-2594,SSN,842-19-8886,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
female,Miss,Dana,Scott,21,Fairview St,El Cajon,South Dakota,United States,27503,27.6204,69.1208,-2:00,Mid-Atlantic,dana.scott@example.com,1996-10-12T08:41:54.086Z,25,2009-05-14T21:42:43.565Z,12,(509)-007-2361,(767)-970-5121,SSN,393-05-7564,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
female,Mrs,Clara,Sullivan,8018,Groveland Terrace,San Mateo,California,United States,13754,44.6093,-16.5377,+3:30,Tehran,clara.sullivan@example.com,1987-03-07T23:24:08.728Z,34,2007-11-01T01:15:08.658Z,14,(872)-951-1566,(190)-785-3116,SSN,883-33-1251,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg,US
