gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Connie,Simmmons,6298,Dogwood Ave,Montgomery,Maryland,United States,68442,36.8993,131.9181,-10:00,Hawaii,connie.simmmons@example.com,1974-03-22T21:54:56.078Z,47,2009-02-07T05:39:34.602Z,12,(483)-872-8007,(141)-651-2917,SSN,982-94-4908,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
male,Mr,Oscar,Henry,8883,Samaritan Dr,Coral Springs,Nebraska,United States,30442,19.4858,132.5483,+5:45,Kathmandu,oscar.henry@example.com,1982-07-13T02:03:40.205Z,39,2018-02-19T22:59:52.753Z,3,(677)-726-2136,(467)-778-9179,SSN,554-23-6413,https://randomuser.me/api/portraits/men/31.jpg,https://randomuser.me/api/portraits/med/men/31.jpg,https://randomuser.me/api/portraits/thumb/men/31.jpg,US
female,Miss,Marian,Murray,6069,W Gray St,The Colony,Vermont,United States,46503,-66.2908,76.8323,-3:30,Newfoundland,marian.murray@example.com,1961-10-17T12:33:54.167Z,60,2018-08-06T23:28:25.047Z,3,(653)-779-7654,(587)-872-7176,SSN,342-89-7554,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
female,Miss,Teresa,Pena,8464,Lakeshore Rd,Grand Rapids,Delaware,United States,78370,36.0357,147.1964,-7:00,Mountain Time (US & Canada),teresa.pena@example.com,1966-11-22T05:54:13.322Z,55,2009-03-23T16:05:18.991Z,12,(464)-095-5753,(982)-783-4597,SSN,407-21-7773,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
male,Mr,Mark,Henderson,2301,Hunters Creek Dr,Grand Rapids,Washington,United States,36930,26.4728,-163.3756,-7:00,Mountain Time (US & Canada),mark.henderson@example.com,1976-05-18T10:09:24.537Z,45,2017-07-09T11:55:44.603Z,4,(983)-892-7838,(395)-636-9102,SSN,666-06-1694,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
male,Mr,Luke,Cunningham,6677,Smokey Ln,Minneapolis,Nevada,United States,98146,-32.9571,156.6509,-10:00,Hawaii,luke.cunningham@example.com,1983-02-12T13:21:36.976Z,38,2010-10-21T00:40:20.882Z,11,(841)-461-3428,(244)-159-4374,SSN,817-08-8376,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
female,Mrs,Toni,Wade,1853,E Sandy Lake Rd,Sunnyvale,Idaho,United States,25019,73.4417,149.6718,-9:00,Alaska,toni.wade@example.com,1961-01-13T08:16:27.280Z,60,2012-03-25T18:07:52.074Z,9,(924)-443-5812,(725)-720-7097,SSN,236-14-0966,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Miss,Harper,Lewis,8278,Bruce St,Memphis,New Hampshire,United States,58618,28.9874,118.4144,-10:00,Hawaii,harper.lewis@example.com,1967-04-15T03:59:41.065Z,54,2018-06-27T06:53:51.644Z,3,(382)-502-7268,(194)-629-1975,SSN,076-26-4313,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
female,Ms,Lisa,Collins,3002,Hogan St,Edgewood,Wisconsin,United States,81282,34.4291,87.4177,-3:30,Newfoundland,lisa.collins@example.com,1959-06-21T08:28:23.371Z,62,2011-02-02T07:57:58.803Z,10,(178)-524-0400,(041)-505-7914,SSN,350-70-2877,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
female,Miss,Annie,Ortiz,1004,Dogwood Ave,Independence,Mississippi,United States,91298,-19.6330,32.5091,-2:00,Mid-Atlantic,annie.ortiz@example.com,1957-08-09T05:30:09.330Z,64,2012-09-11T16:39:10.863Z,9,(191)-602-8865,(921)-070-8223,SSN,567-27-7219,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
