gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Ben,Cook,30,Locust Rd,Oklahoma City,New Jersey,United States,86472,-6.9533,-155.5508,-2:00,Mid-Atlantic,ben.cook@example.com,1985-05-17T09:27:32.915Z,36,2004-03-18T11:16:37.751Z,17,(731)-019-7161,(215)-276-6178,SSN,121-78-1279,https://randomuser.me/api/portraits/men/31.jpg,https://randomuser.me/api/portraits/med/men/31.jpg,https://randomuser.me/api/portraits/thumb/men/31.jpg,US
female,Miss,Glenda,Brown,5862,Prospect Rd,Tyler,Oregon,United States,64385,-56.0122,-35.7461,-2:00,Mid-Atlantic,glenda.brown@example.com,1973-12-29T08:51:27.294Z,48,2010-09-12T15:41:33.526Z,11,(763)-659-2924,(722)-052-2110,SSN,260-49-5540,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
female,Mrs,Dianne,Foster,8641,Country Club Rd,High Point,Massachusetts,United States,56233,-56.8697,-85.6401,+5:45,Kathmandu,dianne.foster@example.com,1957-05-25T18:20:04.722Z,64,2006-08-03T09:43:33.438Z,15,(664)-876-7208,(973)-763-2757,SSN,736-58-8071,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
male,Mr,Tomothy,Bell,6227,College St,Murrieta,Illinois,United States,99930,-2.8535,-148.2282,+5:45,Kathmandu,tomothy.bell@example.com,1945-02-23T23:32:52.237Z,76,2006-08-25T16:31:59.462Z,15,(246)-701-8660,(611)-992-4969,SSN,819-74-3242,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
female,Miss,Beatrice,Chavez,2826,W Sherman Dr,Addison,California,United States,88177,-60.4297,168.5077,+5:45,Kathmandu,beatrice.chavez@example.com,1983-10-14T21:21:43.672Z,38,2008-11-10T22:16:37.371Z,13,(839)-041-7575,(754)-968-6639,SSN,730-33-8777,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
male,Mr,Joshua,Lopez,6918,Thornridge Cir,Tulsa,Pennsylvania,United States,97101,-27.8248,-85.0349,-8:00,Pacific Time (US & Canada),joshua.lopez@example.com,1993-03-30T04:22:28.044Z,28,2011-05-16T16:35:38.928Z,10,(962)-247-7106,(964)-065-2289,SSN,794-89-5796,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
female,Mrs,Yolanda,Franklin,174,Camden Ave,Minneapolis,Nevada,United States,23013,-73.5819,-93.8199,+5:45,Kathmandu,yolanda.franklin@example.com,1990-12-29T22:49:41.331Z,31,2013-09-17T19:31:56.631Z,8,(450)-670-7211,(845)-445-3389,SSN,052-52-7669,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
female,Mrs,Hannah,Jones,1622,Saddle Dr,El Paso,Nevada,United States,18918,-40.7610,148.9639,-8:00,Pacific Time (US & Canada),hannah.jones@example.com,1955-12-19T09:42:58.016Z,66,2012-03-27T12:53:02.883Z,9,(323)-834-2473,(194)-110-4973,SSN,106-05-6470,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg,US
male,Mr,Larry,Brewer,2653,Mcgowen St,Santa Clarita,Kansas,United States,81594,-64.5393,-53.1731,-3:30,Newfoundland,larry.brewer@example.com,1979-01-10T21:05:59.810Z,42,2004-06-07T07:17:43.763Z,17,(179)-798-2771,(490)-678-5454,SSN,856-41-4302,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
female,Miss,Amy,Stephens,4532,Royal Ln,Pasadena,Wyoming,United States,55262,-55.5590,-36.0417,+5:45,Kathmandu,amy.stephens@example.com,1964-10-07T04:35:49.230Z,57,2018-02-08T21:44:29.188Z,3,(628)-211-3216,(057)-809-1818,SSN,346-88-7542,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Leon,Lewis,4469,Samaritan Dr,Fort Wayne,Texas,United States,92676,32.8050,107.2781,-3:30,Newfoundland,leon.lewis@example.com,1954-06-04T09:58:05.043Z,67,2007-09-24T06:41:11.218Z,14,(431)-376-9903,(093)-919-1931,SSN,927-34-1999,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Mrs,Bella,Caldwell,7041,Westheimer Rd,Tampa,Idaho,United States,37906,-60.4527,36.7864,-8:00,Pacific Time (US & Canada),bella.caldwell@example.com,1991-10-11T16:58:34.016Z,30,2005-10-04T16:36:02.588Z,16,(540)-995-8585,(473)-644-5436,SSN,625-60-7097,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
female,Mrs,Sarah,Jones,8627,Sunset St,Atlanta,Connecticut,United States,58392,-58.5108,13.5989,-7:00,Mountain Time (US & Canada),sarah.jones@example.com,1992-07-10T20:20:06.713Z,29,2012-08-29T21:39:30.917Z,9,(664)-192-7450,(132)-742-4991,SSN,969-86-7676,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,US
