gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Arlene,Mckinney,9520,Valwood Pkwy,West Valley City,Oregon,United States,18012,59.0719,3.1149,-7:00,Mountain Time (US & Canada),arlene.mckinney@example.com,1947-06-07T14:57:56.462Z,74,2011-08-04T22:49:12.983Z,10,(699)-705-9725,(904)-471-6958,SSN,939-05-2729,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Hunter,Crawford,1659,Avondale Ave,Cape Coral,Arizona,United States,84041,36.0759,-76.6749,-7:00,Mountain Time (US & Canada),hunter.crawford@example.com,1954-09-15T14:31:57.725Z,67,2011-05-26T14:37:52.089Z,10,(753)-290-5596,(517)-884-3719,SSN,396-90-7076,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
female,Ms,Arianna,Ortiz,9588,Wheeler Ridge Dr,Pasadena,Massachusetts,United States,66659,75.3007,-66.3081,-3:30,Newfoundland,arianna.ortiz@example.com,1973-06-01T11:29:53.298Z,48,2008-06-25T22:06:02.606Z,13,(264)-508-9690,(245)-207-1463,SSN,868-40-6132,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
female,Mrs,Alice,Steward,8857,Dogwood Ave,Dallas,North Dakota,United States,93876,12.7623,177.1035,+3:30,Tehran,alice.steward@example.com,1984-02-21T22:19:04.523Z,37,2005-11-22T08:34:07.321Z,16,(808)-984-9295,(732)-757-8140,SSN,872-70-6320,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
male,Mr,Duane,Lawrence,1056,E Pecan St,Red Oak,Illinois,United States,79769,18.8510,67.6990,-10:00,Hawaii,duane.lawrence@example.com,1946-12-26T20:34:38.407Z,75,2015-03-29T06:35:50.770Z,6,(723)-307-0898,(777)-009-1797,SSN,838-63-6155,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
male,Mr,Terrence,Steeves ,830,Edwards Rd,Pomona,Michigan,United States,33627,-67.0535,-179.7754,-8:00,Pacific Time (US & Canada),terrence.steeves@example.com,1977-11-08T07:09:45.144Z,44,2010-10-23T04:47:17.113Z,11,(456)-991-7625,(730)-787-1341,SSN,990-83-3947,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg,US
male,Mr,Chris,Romero,273,Crockett St,Torrance,Texas,United States,30088,-30.4569,165.1817,-8:00,Pacific Time (US & Canada),chris.romero@example.com,1963-10-16T07:07:38.747Z,58,2009-08-12T10:45:45.713Z,12,(136)-091-5094,(572)-662-2924,SSN,262-78-7733,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
female,Mrs,Lillie,Weaver,2983,White Oak Dr,San Francisco,New Hampshire,United States,75315,5.8103,-76.4364,+3:30,Tehran,lillie.weaver@example.com,1945-05-18T07:58:19.686Z,76,2008-08-27T10:18:08.114Z,13,(158)-835-9965,(815)-027-3172,SSN,692-02-6132,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg,US
female,Miss,Sheila,Curtis,8676,White Oak Dr,Chesapeake,Wyoming,United States,70967,-27.4817,164.9373,-3:30,Newfoundland,sheila.curtis@example.com,1980-07-13T04:47:29.892Z,41,2004-12-04T09:37:43.417Z,17,(319)-550-9154,(553)-100-4940,SSN,571-43-5083,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Philip,Duncan,5030,Smokey Ln,Carlsbad,Louisiana,United States,92953,-52.7475,-96.1365,-9:00,Alaska,philip.duncan@example.com,1975-04-02T01:53:43.074Z,46,2015-06-14T23:33:34.471Z,6,(674)-611-2747,(933)-618-7062,SSN,022-66-5945,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
