gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Bill,Watts,3276,Central St,Cary,Tennessee,United States,72840,-50.9650,44.6897,-2:00,Mid-Atlantic,bill.watts@example.com,1986-02-08T10:06:31.186Z,35,2019-07-27T11:34:34.473Z,2,(703)-956-0946,(208)-645-1339,SSN,510-76-6899,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
female,Mrs,Glenda,Matthews,2067,Marsh Ln,San Jose,Colorado,United States,10362,8.6021,125.4121,-8:00,Pacific Time (US & Canada),glenda.matthews@example.com,1981-09-09T09:25:34.348Z,40,2015-08-02T10:48:41.913Z,6,(962)-621-9213,(480)-239-1906,SSN,935-16-6005,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Jeffery,Hall,1406,Mcclellan Rd,Bridgeport,North Carolina,United States,49194,43.6152,-148.1201,+5:45,Kathmandu,jeffery.hall@example.com,1965-06-22T22:51:43.619Z,56,2008-04-03T00:28:28.294Z,13,(933)-575-8297,(591)-666-4225,SSN,103-90-7030,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
male,Mr,Tommy,Holt,4842,Bruce St,Louisville,South Carolina,United States,32222,-77.5126,-80.4309,-10:00,Hawaii,tommy.holt@example.com,1960-08-27T18:37:19.014Z,61,2010-12-13T08:13:16.288Z,11,(582)-412-1086,(990)-505-0552,SSN,627-45-9662,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
male,Mr,Ricardo,Gregory,9738,Smokey Ln,Providence,Nebraska,United States,81261,49.8627,-93.8900,-10:00,Hawaii,ricardo.gregory@example.com,1988-04-15T02:22:03.145Z,33,2005-08-12T22:48:29.023Z,16,(189)-400-2829,(275)-721-0652,SSN,234-63-9842,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
female,Mrs,Alyssa,Davidson,5580,Eason Rd,Daly City,New York,United States,18746,76.2312,-118.5671,+3:30,Tehran,alyssa.davidson@example.com,1984-03-31T13:02:56.508Z,37,2006-11-15T16:09:02.927Z,15,(541)-857-9784,(784)-971-5409,SSN,067-64-4182,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Wayne,Spencer,599,Oak Ridge Ln,Farmers Branch,Hawaii,United States,10876,-73.2335,177.9378,+4:30,Kabul,wayne.spencer@example.com,1991-12-17T16:51:48.978Z,30,2017-11-25T11:29:07.812Z,4,(216)-359-5729,(920)-778-3361,SSN,915-75-7116,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
male,Mr,Joe,Moreno,4458,Groveland Terrace,Pittsburgh,Utah,United States,10316,1.8432,-69.9698,-10:00,Hawaii,joe.moreno@example.com,1957-10-28T23:05:19.403Z,64,2012-07-15T04:16:56.090Z,9,(854)-419-3736,(559)-730-2545,SSN,858-14-8151,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
male,Mr,Lance,Myers,6137,Green Rd,Baton Rouge,Montana,United States,27665,5.4661,117.8965,+3:30,Tehran,lance.myers@example.com,1994-08-13T01:34:14.245Z,27,2019-07-09T02:02:54.658Z,2,(645)-156-5243,(773)-527-2211,SSN,290-96-0423,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
female,Miss,Anne,Little,2991,W Campbell Ave,Sterling Heights,Nebraska,United States,28970,-40.4941,54.5303,-7:00,Mountain Time (US & Canada),anne.little@example.com,1979-08-31T02:02:04.128Z,42,2006-01-25T22:14:23.350Z,15,(334)-750-3247,(086)-336-0672,SSN,181-96-8626,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
