gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Crystal,Turner,8555,Fincher Rd,San Antonio,Ohio,United States,75663,33.9144,-102.4056,-9:00,Alaska,crystal.turner@example.com,1991-05-20T15:50:50.214Z,30,2015-01-17T09:08:52.971Z,6,(629)-522-1755,(087)-741-0280,SSN,921-62-8931,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
male,Mr,Micheal,Kuhn,8508,Mcgowen St,West Valley City,Hawaii,United States,67962,-19.3490,135.6675,+5:45,Kathmandu,micheal.kuhn@example.com,1996-05-08T16:34:11.094Z,25,2002-04-08T14:32:36.701Z,19,(504)-467-3679,(774)-430-1889,SSN,912-04-8105,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
male,Mr,Ross,Steward,3382,Ash Dr,Fort Wayne,Hawaii,United States,99736,35.0989,122.6304,-7:00,Mountain Time (US & Canada),ross.steward@example.com,1973-08-06T15:28:55.673Z,48,2019-01-21T03:25:02.015Z,2,(963)-503-8307,(230)-477-2463,SSN,655-51-1313,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
female,Mrs,Alicia,Holt,2775,Lakeview St,Raleigh,Idaho,United States,43818,-75.7013,23.9017,+4:30,Kabul,alicia.holt@example.com,1990-08-05T04:23:07.303Z,31,2018-04-16T03:58:23.260Z,3,(593)-743-3220,(989)-015-6198,SSN,298-54-6298,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Todd,Kennedy,8306,Bruce St,Lansing,Arkansas,United States,86706,61.0482,133.6295,-3:30,Newfoundland,todd.kennedy@example.com,1997-04-01T16:18:33.979Z,24,2019-01-09T21:45:53.921Z,2,(113)-595-1159,(422)-199-5555,SSN,068-61-7321,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
male,Mr,Alfredo,Richardson,733,Woodland St,Clearwater,Delaware,United States,78175,66.9347,118.6587,+5:45,Kathmandu,alfredo.richardson@example.com,1985-09-19T04:01:30.852Z,36,2019-03-16T01:44:41.618Z,2,(635)-818-6043,(135)-120-6159,SSN,415-87-3181,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
female,Mrs,Glenda,Jennings,5212,Valley View Ln,Concord,Colorado,United States,91788,65.4246,162.2631,-7:00,Mountain Time (US & Canada),glenda.jennings@example.com,1949-12-31T17:53:31.868Z,72,2013-11-19T19:20:27.970Z,8,(658)-939-4245,(865)-334-7095,SSN,095-07-1882,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
male,Mr,Judd,Austin,4813,Prospect Rd,Clearwater,Mississippi,United States,77556,50.7046,-126.2168,+4:30,Kabul,judd.austin@example.com,1980-02-19T20:41:06.505Z,41,2019-03-13T12:08:02.234Z,2,(013)-188-2466,(112)-980-5804,SSN,854-65-6325,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
male,Mr,Eduardo,Williams,527,Depaul Dr,Lubbock,Texas,United States,29102,-0.2684,-68.4253,+5:45,Kathmandu,eduardo.williams@example.com,1974-04-23T08:24:11.602Z,47,2007-04-30T06:09:25.450Z,14,(054)-523-4797,(887)-319-5814,SSN,220-21-1947,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
female,Ms,Loretta,Davis,1415,E Pecan St,Fort Collins,Kansas,United States,42236,-66.8671,-179.4274,-9:00,Alaska,loretta.davis@example.com,1945-02-08T03:40:37.068Z,76,2012-12-26T10:29:58.714Z,9,(122)-894-1259,(124)-313-7109,SSN,312-00-3256,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
male,Mr,Brian,Riley,5972,W Gray St,Rio Rancho,Nebraska,United States,51762,27.4721,56.4972,-7:00,Mountain Time (US & Canada),brian.riley@example.com,1949-10-29T20:51:26.177Z,72,2006-10-01T03:27:25.959Z,15,(256)-315-5480,(814)-996-7883,SSN,811-11-9962,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
female,Mrs,Juanita,Moore,8132,Mcgowen St,Tempe,Wisconsin,United States,65274,11.8855,-177.1192,-9:00,Alaska,juanita.moore@example.com,1991-06-13T22:38:29.954Z,30,2002-12-04T19:54:22.733Z,19,(665)-552-0593,(535)-512-6310,SSN,107-09-4231,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
male,Mr,Lucas,Morgan,6184,Pockrus Page Rd,Lansing,Minnesota,United States,86159,-55.2746,112.2464,+3:30,Tehran,lucas.morgan@example.com,1956-08-26T18:28:18.201Z,65,2003-11-19T09:19:59.488Z,18,(471)-330-8008,(251)-494-7919,SSN,119-64-0484,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
