gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Terra,Robinson,4272,Washington Ave,York,New Hampshire,United States,49203,0.3523,170.2428,-3:30,Newfoundland,terra.robinson@example.com,1958-10-28T17:42:45.449Z,63,2002-10-04T21:09:58.936Z,19,(040)-855-8279,(299)-856-3476,SSN,816-84-8066,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
male,Mr,Kelly,Jones,5802,Edwards Rd,Plano,Colorado,United States,34653,73.9795,77.3210,+5:45,Kathmandu,kelly.jones@example.com,1945-10-16T17:33:56.273Z,76,2015-01-31T08:31:11.390Z,6,(642)-252-1316,(302)-052-7566,SSN,835-44-8928,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
male,Mr,Miguel,Russell,5826,Camden Ave,Orlando,Arkansas,United States,63684,-77.0748,62.8610,+4:30,Kabul,miguel.russell@example.com,1961-03-01T12:20:44.826Z,60,2012-09-17T08:09:02.534Z,9,(273)-874-6009,(410)-783-6645,SSN,759-61-6860,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Ms,Chloe,Pierce,1313,Ash Dr,Fullerton,Massachusetts,United States,81385,-23.6579,136.4948,-2:00,Mid-Atlantic,chloe.pierce@example.com,1990-09-09T13:48:16.939Z,31,2004-03-11T12:30:06.329Z,17,(224)-177-5920,(767)-352-1409,SSN,555-66-4184,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
female,Mrs,Debbie,Pena,198,Poplar Dr,Sacramento,Pennsylvania,United States,37572,-65.7780,-131.2359,-3:30,Newfoundland,debbie.pena@example.com,1982-12-24T01:44:04.916Z,39,2005-05-13T21:37:08.341Z,16,(414)-387-3882,(581)-073-4976,SSN,598-08-7198,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
female,Ms,Amber,Reid,4573,Parker Rd,Santa Clarita,Michigan,United States,53122,67.1781,-170.3548,+5:45,Kathmandu,amber.reid@example.com,1997-11-19T00:54:27.164Z,24,2010-05-14T13:13:11.441Z,11,(449)-860-1088,(018)-173-7577,SSN,947-08-5862,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
male,Mr,Willie,Lane,7454,Mockingbird Ln,Clearwater,Louisiana,United States,30170,-45.0928,-130.3231,-7:00,Mountain Time (US & Canada),willie.lane@example.com,1964-05-21T09:54:57.022Z,57,2009-02-07T17:25:50.650Z,12,(858)-766-7340,(083)-198-7272,SSN,182-81-6324,https://randomuser.me/api/portraits/men/68.jpg,https://randomuser.me/api/portraits/med/men/68.jpg,https://randomuser.me/api/portraits/thumb/men/68.jpg,US
female,Miss,Yvonne,Nguyen,2115,Rolling Green Rd,Charlotte,Utah,United States,12470,19.1379,-70.1049,+4:30,Kabul,yvonne.nguyen@example.com,1973-05-18T15:38:41.627Z,48,2015-04-12T01:50:12.406Z,6,(689)-799-4989,(194)-630-7438,SSN,908-33-4107,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Ms,Victoria,Davis,3248,Plum St,Richardson,Arizona,United States,25746,-51.6057,16.3105,-8:00,Pacific Time (US & Canada),victoria.davis@example.com,1973-01-28T04:48:31.443Z,48,2015-01-22T14:49:32.379Z,6,(103)-242-9071,(315)-248-9200,SSN,218-75-8017,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
male,Mr,Ramon,Hopkins,3877,Mcclellan Rd,Corona,Arkansas,United States,52820,37.5296,-115.3076,-10:00,Hawaii,ramon.hopkins@example.com,1988-11-26T22:47:13.572Z,33,2003-03-10T10:27:33.549Z,18,(016)-975-3692,(026)-123-0807,SSN,867-18-9562,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
