gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Owen,Mitchell,9075,Fincher Rd,Pasadena,Arizona,United States,46046,16.2969,90.1880,+4:30,Kabul,owen.mitchell@example.com,1967-04-15T20:02:12.739Z,54,2005-04-14T07:29:56.121Z,16,(339)-812-3273,(927)-035-0561,SSN,320-92-4250,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
male,Mr,Julian,White,7082,Mockingbird Hill,Temecula,Alabama,United States,55546,-54.1402,76.4725,-7:00,Mountain Time (US & Canada),julian.white@example.com,1954-04-12T17:54:47.895Z,67,2006-10-21T05:32:05.978Z,15,(658)-336-5866,(470)-340-8417,SSN,971-59-6763,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
male,Mr,Judd,Stanley,4407,Camden Ave,Miami Gardens,Kentucky,United States,28171,-68.2812,-23.4241,+4:30,Kabul,judd.stanley@example.com,1959-07-14T16:05:47.294Z,62,2008-07-26T20:58:39.270Z,13,(625)-330-5025,(266)-778-8006,SSN,645-91-9758,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
female,Ms,Leah,Wade,1974,Forest Ln,North Charleston,Ohio,United States,64343,14.8978,134.0613,-2:00,Mid-Atlantic,leah.wade@example.com,1966-03-14T00:46:31.479Z,55,2003-08-28T18:14:05.965Z,18,(801)-580-7387,(968)-507-1799,SSN,553-31-1703,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
female,Mrs,Jamie,Sutton,4882,Edwards Rd,Escondido,New York,United States,88265,34.5529,-21.5891,-9:00,Alaska,jamie.sutton@example.com,1977-09-08T22:43:23.471Z,44,2004-10-28T05:13:48.251Z,17,(723)-701-9057,(814)-440-3525,SSN,699-65-3750,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
female,Ms,Marie,Stevens,2317,Mcclellan Rd,Alexandria,Indiana,United States,92466,75.9843,37.9339,-7:00,Mountain Time (US & Canada),marie.stevens@example.com,1985-06-07T19:43:08.530Z,36,2007-09-11T16:06:53.097Z,14,(013)-186-8139,(559)-612-2407,SSN,464-85-6342,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
female,Miss,Suzanne,Henry,3537,Homestead Rd,Yonkers,Alabama,United States,51485,51.4000,-105.1956,-10:00,Hawaii,suzanne.henry@example.com,1990-08-22T06:33:26.803Z,31,2003-03-18T20:24:35.563Z,18,(425)-330-2744,(251)-612-1188,SSN,397-93-2421,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
male,Mr,Leo,Jackson,4545,N Stelling Rd,Kent,Connecticut,United States,64507,17.9281,-166.2560,+3:30,Tehran,leo.jackson@example.com,1987-07-23T09:38:32.910Z,34,2005-03-14T23:54:41.873Z,16,(971)-546-7994,(274)-745-4926,SSN,987-73-9300,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
male,Mr,Brian,Hale,6922,Hickory Creek Dr,Orange,Georgia,United States,21194,39.3284,-76.0414,-2:00,Mid-Atlantic,brian.hale@example.com,1988-05-03T18:50:47.563Z,33,2015-11-15T09:22:59.520Z,6,(246)-461-3533,(142)-466-5497,SSN,425-92-6222,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg,US
male,Mr,Micheal,Herrera,2436,Hogan St,Tulsa,Connecticut,United States,82512,32.3331,157.1314,-2:00,Mid-Atlantic,micheal.herrera@example.com,1957-06-22T18:59:06.099Z,64,2015-09-06T23:13:01.114Z,6,(104)-411-4718,(551)-294-8716,SSN,511-10-3307,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
female,Miss,Victoria,Dunn,8817,Daisy Dr,Montgomery,Indiana,United States,32241,-32.4371,88.1578,-9:00,Alaska,victoria.dunn@example.com,1958-06-08T19:20:06.921Z,63,2005-05-24T10:32:01.940Z,16,(584)-046-0272,(157)-740-0549,SSN,062-74-8931,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
male,Mr,Virgil,Myers,372,Spring St,Boise,Texas,United States,81439,82.4760,87.3999,+5:45,Kathmandu,virgil.myers@example.com,1962-05-04T02:28:46.621Z,59,2019-08-19T01:30:10.012Z,2,(341)-438-3218,(018)-614-6258,SSN,582-92-2491,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
female,Miss,Jill,Burns,9433,W Dallas St,Cape Coral,Alaska,United States,53941,-23.5130,165.4454,-2:00,Mid-Atlantic,jill.burns@example.com,1984-06-19T22:18:32.091Z,37,2017-05-16T03:15:58.047Z,4,(592)-947-7099,(481)-242-0473,SSN,336-59-6855,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
male,Mr,Terrance,Nguyen,296,White Oak Dr,Eureka,Pennsylvania,United States,53867,-55.0446,28.4568,-3:30,Newfoundland,terrance.nguyen@example.com,1952-10-21T15:33:05.741Z,69,2016-10-02T12:21:56.764Z,5,(433)-568-5403,(789)-998-9260,SSN,081-68-7782,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
