gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Joe,Castro,8830,W Sherman Dr,Anaheim,Nebraska,United States,28827,69.2925,81.4669,+5:45,Kathmandu,joe.castro@example.com,1966-11-20T13:22:42.892Z,55,2011-07-14T00:06:18.394Z,10,(018)-412-0811,(351)-387-9830,SSN,865-74-4387,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
female,Miss,Joann,Chambers,3436,Sunset St,Vernon,Oregon,United States,62848,56.5660,67.9566,-10:00,Hawaii,joann.chambers@example.com,1982-02-06T19:07:59.404Z,39,2017-12-10T03:50:09.836Z,4,(244)-037-6937,(702)-978-6504,SSN,656-35-4806,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Miss,Brooklyn,Fields,9610,Mcgowen St,Seagoville,South Carolina,United States,38133,-86.2230,-57.5723,-3:30,Newfoundland,brooklyn.fields@example.com,1983-09-28T07:40:40.741Z,38,2011-03-27T08:19:49.688Z,10,(966)-766-6018,(022)-535-6939,SSN,624-39-2362,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
female,Miss,Rosa,George,2267,Shady Ln Dr,Oklahoma City,Kentucky,United States,96616,11.3197,115.9998,-2:00,Mid-Atlantic,rosa.george@example.com,1949-09-08T08:42:43.395Z,72,2016-05-12T17:59:01.808Z,5,(216)-763-4353,(011)-645-0429,SSN,894-63-8143,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
male,Mr,Gilbert,Holmes,3013,N Stelling Rd,San Diego,Utah,United States,83929,-36.1606,74.1879,-3:30,Newfoundland,gilbert.holmes@example.com,1988-12-14T23:48:33.394Z,33,2003-03-06T17:30:15.499Z,18,(022)-538-3630,(428)-213-2126,SSN,173-32-3858,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
male,Mr,Isaac,Cook,4818,Mockingbird Hill,Elgin,South Carolina,United States,79504,2.1283,-4.7850,-3:30,Newfoundland,isaac.cook@example.com,1970-02-13T14:32:10.032Z,51,2006-04-02T04:33:45.993Z,15,(360)-126-7049,(175)-430-3906,SSN,501-69-2047,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
female,Miss,Mary,Ramos,5261,Dane St,Providence,Connecticut,United States,16764,39.8781,53.4160,-8:00,Pacific Time (US & Canada),mary.ramos@example.com,1957-04-01T08:55:10.950Z,64,2002-11-14T18:00:30.845Z,19,(365)-982-4231,(074)-474-3552,SSN,458-45-0296,https://randomuser.me/api/portraits/women/66.jpg,https://randomuser.me/api/portraits/med/women/66.jpg,https://randomuser.me/api/portraits/thumb/women/66.jpg,US
female,Miss,Rosemary,Sims,7415,Poplar Dr,Toledo,North Carolina,United States,71105,87.6803,89.8063,-2:00,Mid-Atlantic,rosemary.sims@example.com,1953-01-10T10:16:51.395Z,68,2017-11-16T01:16:44.212Z,4,(060)-670-7395,(861)-492-3871,SSN,558-44-2578,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Miss,Charlene,Warren,2985,Miller Ave,Columbus,California,United States,38408,21.2683,99.6010,-10:00,Hawaii,charlene.warren@example.com,1948-10-09T16:06:47.088Z,73,2011-12-11T00:36:18.788Z,10,(235)-592-5103,(258)-031-2375,SSN,698-53-3142,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
female,Mrs,Victoria,Cruz,5284,Mockingbird Ln,Washington,Missouri,United States,54743,7.4370,140.5201,-8:00,Pacific Time (US & Canada),victoria.cruz@example.com,1979-04-26T16:06:17.721Z,42,2010-06-27T23:24:25.692Z,11,(362)-821-6045,(744)-830-1222,SSN,479-67-2529,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
female,Mrs,Victoria,Terry,6353,Royal Ln,Red Bluff,Oklahoma,United States,31849,-37.0276,147.1307,-10:00,Hawaii,victoria.terry@example.com,1954-02-17T22:38:07.159Z,67,2012-10-25T05:49:19.602Z,9,(452)-902-8757,(281)-967-5917,SSN,656-00-8035,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
male,Mr,Eddie,Rodriquez,3732,Bruce St,Addison,Missouri,United States,52952,-11.2113,-136.6248,+3:30,Tehran,eddie.rodriquez@example.com,1951-12-02T20:41:57.812Z,70,2013-12-13T15:45:24.273Z,8,(498)-989-4107,(600)-116-4511,SSN,008-84-5277,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
male,Mr,Clifton,Anderson,8094,Dane St,Burkburnett,North Carolina,United States,69890,-33.2925,-90.8285,-7:00,Mountain Time (US & Canada),clifton.anderson@example.com,1992-04-05T05:42:41.226Z,29,2005-02-06T08:55:13.340Z,16,(136)-884-7964,(097)-202-4733,SSN,851-95-1709,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
