gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Hilda,Medina,1996,Samaritan Dr,Altoona,Wisconsin,United States,90287,-2.0588,165.0839,-3:30,Newfoundland,hilda.medina@example.com,1970-07-04T16:13:04.402Z,51,2018-02-12T00:12:54.337Z,3,(053)-220-9472,(814)-531-2871,SSN,720-66-0964,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
male,Mr,Wayne,Gordon,9366,W Campbell Ave,Woodbridge,Ohio,United States,93243,-34.4341,-43.9525,-10:00,Hawaii,wayne.gordon@example.com,1993-03-01T09:43:04.496Z,28,2016-07-30T00:51:39.550Z,5,(479)-832-9850,(346)-641-7551,SSN,676-80-4111,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
male,Mr,Jonathan,Ward,7996,College St,Memphis,Texas,United States,20478,86.0369,-65.1953,+4:30,Kabul,jonathan.ward@example.com,1979-01-27T11:19:19.297Z,42,2010-02-11T23:36:52.067Z,11,(021)-851-8857,(357)-386-1126,SSN,556-21-5139,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
male,Mr,Eugene,Owens,4027,Country Club Rd,Portland,Maryland,United States,94688,-81.1889,-85.8515,+4:30,Kabul,eugene.owens@example.com,1966-06-13T16:36:14.397Z,55,2006-07-12T09:22:07.671Z,15,(314)-755-6344,(016)-604-8076,SSN,810-66-0122,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Christian,Daniels,2713,Hillcrest Rd,Newark,Alaska,United States,53352,37.6127,-59.3354,-9:00,Alaska,christian.daniels@example.com,1957-12-03T17:25:38.035Z,64,2008-09-14T13:05:25.976Z,13,(096)-334-8836,(975)-087-6034,SSN,480-13-5003,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
male,Mr,Marcus,Kim,2187,Lovers Ln,Irving,Nebraska,United States,90015,-67.5506,70.8353,+4:30,Kabul,marcus.kim@example.com,1959-02-23T04:12:39.964Z,62,2008-08-08T11:19:34.948Z,13,(709)-548-5998,(592)-482-2836,SSN,076-88-4604,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
female,Mrs,Kathy,Brooks,5373,Preston Rd,Boulder,New Mexico,United States,16496,57.1536,-55.8740,-7:00,Mountain Time (US & Canada),kathy.brooks@example.com,1945-02-14T08:57:55.198Z,76,2006-06-24T06:27:50.505Z,15,(255)-556-4641,(799)-982-8009,SSN,098-46-6385,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Ms,Gloria,Patterson,8497,W Campbell Ave,Yakima,Washington,United States,83376,34.9863,-153.3744,-10:00,Hawaii,gloria.patterson@example.com,1963-06-30T05:06:30.975Z,58,2016-11-16T19:11:49.556Z,5,(592)-994-7913,(233)-263-7928,SSN,887-96-6388,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg,US
female,Miss,Nina,Rivera,5574,W Belt Line Rd,Aubrey,Minnesota,United States,40346,22.6770,-42.6216,-7:00,Mountain Time (US & Canada),nina.rivera@example.com,1985-04-13T05:11:25.796Z,36,2016-07-06T03:46:39.008Z,5,(238)-466-2545,(836)-511-3063,SSN,507-04-8005,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
male,Mr,Shane,Hill,17,Cackson St,Grand Rapids,Michigan,United States,48620,-27.0106,117.4718,-10:00,Hawaii,shane.hill@example.com,1969-09-13T17:06:50.520Z,52,2002-05-26T05:00:00.043Z,19,(921)-520-9208,(883)-157-9957,SSN,329-58-9321,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
female,Ms,Cherly,Rodriguez,2851,Photinia Ave,Lowell,Maine,United States,10087,-61.5910,-146.5120,-9:00,Alaska,cherly.rodriguez@example.com,1951-08-04T01:37:16.924Z,70,2010-09-20T20:18:54.780Z,11,(318)-033-3697,(318)-590-5899,SSN,532-53-5394,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
male,Mr,Judd,Hoffman,7087,Harrison Ct,Santa Clarita,New Hampshire,United States,43103,-14.2432,-147.0286,+3:30,Tehran,judd.hoffman@example.com,1994-09-23T01:50:40.926Z,27,2007-09-24T06:44:15.645Z,14,(659)-056-9107,(500)-526-8415,SSN,708-50-6905,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
