gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jimmie,Torres,4120,First Street,Burbank,Maine,United States,41281,1.9320,135.2580,-10:00,Hawaii,jimmie.torres@example.com,1945-09-23T03:01:33.370Z,76,2010-08-29T12:48:30.104Z,11,(838)-315-7500,(632)-021-0826,SSN,543-56-2655,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
male,Mr,Nicholas,Oliver,2500,W Belt Line Rd,Odessa,West Virginia,United States,65047,36.0264,-83.2266,+4:30,Kabul,nicholas.oliver@example.com,1985-02-26T13:01:31.404Z,36,2012-03-24T00:05:07.073Z,9,(814)-633-8606,(317)-443-2980,SSN,969-79-4891,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
male,Mr,Tomothy,Gilbert,3093,E Center St,Hartford,Kentucky,United States,70714,5.9741,-23.0741,-10:00,Hawaii,tomothy.gilbert@example.com,1947-04-16T21:12:47.305Z,74,2005-05-27T02:03:19.036Z,16,(582)-547-2982,(289)-760-1108,SSN,220-76-2079,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
female,Miss,Louise,Jackson,6567,E Pecan St,Fremont,Ohio,United States,17913,-35.0629,-154.3002,-8:00,Pacific Time (US & Canada),louise.jackson@example.com,1951-07-10T08:44:40.266Z,70,2016-11-26T01:51:37.986Z,5,(140)-087-1741,(096)-939-4245,SSN,108-70-4677,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
male,Mr,Guy,Frazier,278,N Stelling Rd,Helena,New Mexico,United States,39679,61.3770,159.7460,-7:00,Mountain Time (US & Canada),guy.frazier@example.com,1968-03-11T20:31:03.604Z,53,2004-08-15T08:49:45.697Z,17,(250)-376-4664,(169)-294-4447,SSN,592-84-4953,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
male,Mr,Steven,Prescott,9196,Washington Ave,Berkeley,Maryland,United States,42923,68.4906,-87.5920,+3:30,Tehran,steven.prescott@example.com,1980-08-21T11:51:54.319Z,41,2019-03-04T18:54:46.434Z,2,(402)-667-4533,(307)-165-4609,SSN,879-49-8993,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
female,Miss,Leona,Lowe,9335,Fincher Rd,El Monte,Delaware,United States,91485,-84.9978,13.5100,+5:45,Kathmandu,leona.lowe@example.com,1959-11-29T07:09:37.283Z,62,2006-09-06T11:57:51.250Z,15,(145)-862-4550,(608)-664-9702,SSN,886-61-3836,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
male,Mr,Daniel,Oliver,679,Marsh Ln,Irving,Louisiana,United States,75999,-87.5689,-5.8627,+5:45,Kathmandu,daniel.oliver@example.com,1984-09-23T04:42:07.957Z,37,2006-07-30T09:17:50.073Z,15,(498)-814-8106,(415)-109-3288,SSN,331-18-5466,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
female,Miss,Myrtle,Nguyen,1572,Miller Ave,Los Angeles,Vermont,United States,46447,55.1727,170.0933,+3:30,Tehran,myrtle.nguyen@example.com,1980-10-11T16:38:35.579Z,41,2006-09-08T20:38:05.495Z,15,(770)-461-9123,(431)-350-2074,SSN,056-19-0344,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
male,Mr,Wade,Ford,6422,Woodland St,Springfield,Michigan,United States,15749,-24.9663,-136.4276,-8:00,Pacific Time (US & Canada),wade.ford@example.com,1947-09-19T00:19:39.951Z,74,2008-10-31T20:00:49.075Z,13,(438)-426-3857,(067)-711-1655,SSN,564-82-1087,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
male,Mr,Tony,Sanders,4105,Camden Ave,Desoto,Kansas,United States,69132,1.3568,34.4172,+3:30,Tehran,tony.sanders@example.com,1989-10-30T06:07:10.585Z,32,2007-11-07T12:12:17.417Z,14,(240)-608-0481,(163)-995-4757,SSN,101-58-7373,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
male,Mr,Lloyd,Hanson,4745,Shady Ln Dr,Long Beach,Maryland,United States,32939,-49.3269,-102.8120,-9:00,Alaska,lloyd.hanson@example.com,1971-05-28T17:20:12.296Z,50,2008-08-22T02:29:45.153Z,13,(334)-710-6561,(646)-890-9563,SSN,262-38-2009,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
