gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Diane,Mcdonalid,3857,Paddock Way,Atlanta,Indiana,United States,64069,89.9263,87.5325,+5:45,Kathmandu,diane.mcdonalid@example.com,1965-12-10T02:04:19.535Z,56,2008-06-26T15:20:34.599Z,13,(532)-917-1333,(512)-555-3455,SSN,048-72-0529,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Ms,Crystal,Frazier,3712,Avondale Ave,Lexington,Connecticut,United States,60547,19.3570,54.2663,+3:30,Tehran,crystal.frazier@example.com,1959-11-20T17:19:23.827Z,62,2017-03-15T23:00:52.359Z,4,(906)-400-1947,(314)-521-0605,SSN,284-37-4302,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Miss,Caroline,Fernandez,3501,Harrison Ct,Clearwater,Michigan,United States,71621,-68.8004,-106.9122,-9:00,Alaska,caroline.fernandez@example.com,1991-07-12T12:29:18.176Z,30,2010-09-20T07:00:30.308Z,11,(721)-030-5224,(241)-453-8460,SSN,604-47-0114,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
female,Ms,Vickie,Prescott,3855,Country Club Rd,Irvine,Connecticut,United States,83314,-55.7994,-32.7925,+4:30,Kabul,vickie.prescott@example.com,1949-04-13T19:01:42.894Z,72,2013-03-27T11:20:36.286Z,8,(977)-302-7218,(783)-274-6685,SSN,092-54-2405,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg,US
male,Mr,Brayden,Webb,6538,Lone Wolf Trail,Fargo,California,United States,51611,14.6781,-166.5916,+3:30,Tehran,brayden.webb@example.com,1965-07-11T00:47:33.566Z,56,2009-03-25T05:43:04.688Z,12,(180)-915-7519,(904)-541-7155,SSN,873-51-5589,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Mrs,Arlene,Armstrong,9125,Photinia Ave,Santa Maria,Idaho,United States,69863,-68.8896,159.4959,-7:00,Mountain Time (US & Canada),arlene.armstrong@example.com,1988-09-14T07:15:55.953Z,33,2019-04-11T03:35:01.214Z,2,(690)-009-3327,(768)-740-2970,SSN,121-71-4856,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
female,Ms,Amy,Hale,5808,Taylor St,Fremont,Pennsylvania,United States,33573,-52.0412,-7.0052,-3:30,Newfoundland,amy.hale@example.com,1962-07-20T08:48:02.246Z,59,2018-10-07T00:24:25.214Z,3,(539)-241-4113,(508)-994-6895,SSN,231-37-6867,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
male,Mr,Landon,Ruiz,5992,Thornridge Cir,Tampa,Virginia,United States,27706,-8.4928,2.6038,-3:30,Newfoundland,landon.ruiz@example.com,1971-01-02T13:51:52.332Z,50,2013-01-09T10:57:18.923Z,8,(962)-068-4959,(202)-617-1846,SSN,719-94-5223,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Mrs,Lynn,Cook,8451,E Center St,Chesapeake,New Hampshire,United States,86462,-8.2797,12.8309,-2:00,Mid-Atlantic,lynn.cook@example.com,1971-01-20T01:04:29.716Z,50,2010-03-28T23:02:08.114Z,11,(649)-134-5329,(397)-559-9332,SSN,325-90-2077,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Miss,Elsie,Peterson,1989,Lakeshore Rd,Fremont,Tennessee,United States,93070,-65.7531,-80.0068,+4:30,Kabul,elsie.peterson@example.com,1968-07-30T23:55:33.874Z,53,2003-10-28T15:54:18.039Z,18,(688)-549-6470,(816)-655-5982,SSN,361-79-9617,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
