gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Leroy,Sanders,2010,Edwards Rd,San Diego,Kentucky,United States,27054,-74.9523,-102.8704,+5:45,Kathmandu,leroy.sanders@example.com,1952-07-28T00:47:23.835Z,69,2015-02-19T07:09:58.074Z,6,(029)-427-2696,(243)-256-7714,SSN,670-73-8192,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
male,Mr,Jeffery,George,5778,Taylor St,Fremont,North Carolina,United States,78305,-55.5504,-121.2046,-8:00,Pacific Time (US & Canada),jeffery.george@example.com,1959-10-10T01:34:10.270Z,62,2011-07-17T23:38:16.931Z,10,(848)-257-0838,(810)-920-1054,SSN,257-88-7865,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Ms,Emma,Perkins,480,Hillcrest Rd,Killeen,North Carolina,United States,71846,19.5458,57.1657,-3:30,Newfoundland,emma.perkins@example.com,1966-12-09T01:29:55.717Z,55,2010-12-19T10:51:25.122Z,11,(638)-503-5314,(025)-963-8593,SSN,737-74-6599,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
female,Miss,Dolores,Williams,2668,Dane St,Bueblo,Delaware,United States,90670,-34.4931,-162.7513,-3:30,Newfoundland,dolores.williams@example.com,1990-01-07T07:48:46.743Z,31,2018-08-13T06:06:59.958Z,3,(945)-545-0982,(234)-427-3854,SSN,888-04-8206,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
female,Mrs,Erica,Miles,724,Royal Ln,Elk Grove,Georgia,United States,18238,82.7562,-179.8906,+5:45,Kathmandu,erica.miles@example.com,1994-07-03T17:38:57.367Z,27,2002-06-12T22:13:09.115Z,19,(888)-698-7039,(432)-786-2764,SSN,783-96-9882,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
female,Miss,Joan,Burke,5587,Lakeshore Rd,Lancaster,Georgia,United States,89960,56.5852,-79.8293,-7:00,Mountain Time (US & Canada),joan.burke@example.com,1993-07-13T05:28:10.790Z,28,2004-11-06T00:50:35.090Z,17,(850)-970-5856,(118)-012-2892,SSN,774-17-6486,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
female,Mrs,Peggy,Brewer,2781,Cherry St,Lousville,Delaware,United States,57570,-17.7182,-37.7433,+4:30,Kabul,peggy.brewer@example.com,1966-06-29T13:35:36.506Z,55,2002-10-14T07:05:20.531Z,19,(925)-286-6210,(999)-048-4208,SSN,864-97-6117,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Ms,Chloe,Woods,9496,Karen Dr,Cape Coral,Maine,United States,44455,-73.5234,14.4455,+3:30,Tehran,chloe.woods@example.com,1960-10-23T20:32:30.227Z,61,2004-05-14T12:07:34.704Z,17,(151)-116-8773,(443)-063-5565,SSN,979-99-0426,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
male,Mr,Francisco,Chapman,8498,Bollinger Rd,Ironville,Arkansas,United States,75148,61.9111,-138.3224,-10:00,Hawaii,francisco.chapman@example.com,1981-03-28T14:47:47.488Z,40,2017-01-22T17:15:52.446Z,4,(815)-788-1508,(702)-367-1818,SSN,753-34-6958,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
male,Mr,Theodore,Lowe,8416,Adams St,High Point,Maryland,United States,75466,39.7507,112.5588,-10:00,Hawaii,theodore.lowe@example.com,1988-03-01T18:45:42.487Z,33,2005-06-09T12:38:08.833Z,16,(231)-417-1896,(485)-053-7189,SSN,940-15-9141,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,Darryl,Hansen,8391,James St,Allen,Tennessee,United States,74271,-0.7205,-85.5092,+4:30,Kabul,darryl.hansen@example.com,1971-03-19T04:52:48.167Z,50,2009-10-22T16:02:59.763Z,12,(229)-529-5560,(903)-249-8032,SSN,828-30-5966,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
female,Miss,Kathy,Jackson,1560,N Stelling Rd,Visalia,Kansas,United States,37658,-5.8357,-118.9500,-10:00,Hawaii,kathy.jackson@example.com,1992-08-25T22:31:02.313Z,29,2005-11-26T09:57:24.986Z,16,(606)-244-1889,(636)-351-9623,SSN,645-75-2920,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
