gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jason,Banks,8604,Royal Ln,Moreno Valley,North Dakota,United States,24281,53.5535,75.5937,-9:00,Alaska,jason.banks@example.com,1991-09-08T15:58:38.622Z,30,2010-08-29T03:16:36.319Z,11,(462)-796-7279,(157)-244-8062,SSN,893-82-0666,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,Lance,Bradley,9473,Crockett St,San Jose,Virginia,United States,45281,-6.3308,-165.9583,-3:30,Newfoundland,lance.bradley@example.com,1986-04-01T22:42:33.353Z,35,2002-08-12T17:05:06.886Z,19,(708)-497-1096,(568)-526-4838,SSN,438-82-7254,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
female,Ms,Erika,Reynolds,1568,W 6th St,North Las Vegas,Virginia,United States,67446,7.7086,151.7586,-2:00,Mid-Atlantic,erika.reynolds@example.com,1992-09-06T18:18:26.723Z,29,2005-09-02T06:18:00.483Z,16,(938)-336-5114,(363)-313-6307,SSN,145-65-1367,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
female,Mrs,Lesa,Sutton,2304,Westheimer Rd,Pearland,New York,United States,96379,10.4134,-21.7887,+4:30,Kabul,lesa.sutton@example.com,1974-12-24T20:27:40.129Z,47,2019-05-07T15:15:08.465Z,2,(097)-051-2486,(642)-512-0174,SSN,985-64-1999,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
female,Ms,Charlotte,Sullivan,307,Green Rd,Temecula,Arizona,United States,42276,62.6725,173.1062,-7:00,Mountain Time (US & Canada),charlotte.sullivan@example.com,1969-10-25T12:05:01.680Z,52,2002-08-06T13:56:38.496Z,19,(258)-821-6957,(761)-106-7043,SSN,131-34-7172,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
male,Mr,Donald,Gilbert,15,W Pecan St,Columbus,Hawaii,United States,93634,59.3276,90.9436,-3:30,Newfoundland,donald.gilbert@example.com,1991-05-22T10:30:55.866Z,30,2017-10-13T17:41:00.332Z,4,(218)-025-5057,(895)-557-4297,SSN,104-99-2220,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
male,Mr,Carter,Fletcher,1810,First Street,Pompano Beach,Pennsylvania,United States,23362,84.5502,24.0985,-7:00,Mountain Time (US & Canada),carter.fletcher@example.com,1976-11-06T16:37:50.065Z,45,2014-03-25T15:06:09.485Z,7,(166)-646-7165,(832)-244-1605,SSN,628-11-8508,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
female,Mrs,Andrea,Campbell,8654,Miller Ave,Tulsa,Indiana,United States,97152,50.9748,7.4164,+5:45,Kathmandu,andrea.campbell@example.com,1985-01-23T04:29:58.381Z,36,2008-05-04T04:52:07.182Z,13,(512)-679-1081,(813)-338-5338,SSN,256-48-2378,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
female,Miss,Ida,Brown,6276,Karen Dr,Richardson,West Virginia,United States,52528,20.9664,149.6678,-9:00,Alaska,ida.brown@example.com,1975-01-12T07:24:49.530Z,46,2015-03-30T01:04:39.633Z,6,(249)-433-5878,(839)-091-1169,SSN,943-24-6251,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
male,Mr,Larry,Crawford,2541,W 6th St,Sterling Heights,Alabama,United States,53644,31.7112,-118.9020,+4:30,Kabul,larry.crawford@example.com,1959-06-26T11:56:20.831Z,62,2004-11-27T07:37:55.252Z,17,(674)-494-6150,(082)-164-7271,SSN,936-54-2873,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
female,Miss,Lillie,Bradley,8043,Wycliff Ave,The Colony,Utah,United States,99340,-18.3008,-137.9249,-8:00,Pacific Time (US & Canada),lillie.bradley@example.com,1947-03-31T16:44:58.509Z,74,2005-07-16T09:35:41.592Z,16,(366)-045-3623,(992)-949-4573,SSN,172-61-6689,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Mrs,Diana,Collins,607,Railroad St,Edison,Hawaii,United States,16104,64.1179,86.5367,-9:00,Alaska,diana.collins@example.com,1981-01-31T20:29:07.249Z,40,2005-07-31T05:26:33.536Z,16,(244)-777-8543,(442)-793-9854,SSN,799-97-6216,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
