gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Mildred,Bates,8451,Cackson St,Murfreesboro,North Dakota,United States,94485,57.1715,-160.4496,-8:00,Pacific Time (US & Canada),mildred.bates@example.com,1987-05-04T08:25:01.260Z,34,2004-10-10T16:10:34.109Z,17,(818)-137-2399,(445)-949-6900,SSN,095-05-4708,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
female,Ms,Dora,Nelson,7235,Mcclellan Rd,Edgewood,Washington,United States,43622,7.8062,9.8356,-10:00,Hawaii,dora.nelson@example.com,1974-03-06T23:57:03.762Z,47,2017-12-09T18:38:29.304Z,4,(767)-320-7722,(356)-045-5773,SSN,152-97-7618,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
female,Miss,Monica,George,3927,Dane St,Elko,Mississippi,United States,40897,25.2092,80.2000,+4:30,Kabul,monica.george@example.com,1945-12-09T05:20:28.963Z,76,2016-10-20T23:52:12.127Z,5,(937)-240-8669,(841)-678-4244,SSN,613-82-9908,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
male,Mr,Marshall,Fuller,9135,Mcgowen St,New York,Wyoming,United States,72256,-73.7790,104.7988,-7:00,Mountain Time (US & Canada),marshall.fuller@example.com,1955-08-09T01:52:53.034Z,66,2009-09-30T10:18:50.869Z,12,(127)-014-6280,(238)-483-4107,SSN,176-93-3079,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
male,Mr,Arnold,Johnston,3751,Hickory Creek Dr,Moreno Valley,Hawaii,United States,75310,-78.3341,-72.5023,-9:00,Alaska,arnold.johnston@example.com,1964-09-18T06:22:09.654Z,57,2010-02-05T01:43:59.811Z,11,(420)-911-1155,(265)-343-4039,SSN,209-84-2086,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
female,Mrs,Loretta,Shaw,2859,Royal Ln,Lancaster,Nebraska,United States,82792,-20.0892,7.9564,-3:30,Newfoundland,loretta.shaw@example.com,1981-04-22T21:04:46.614Z,40,2005-09-27T18:41:15.403Z,16,(166)-326-2275,(631)-325-1620,SSN,056-48-9837,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
male,Mr,Craig,Parker,4454,Parker Rd,Huntington Beach,Maine,United States,63436,5.5555,-171.8685,-7:00,Mountain Time (US & Canada),craig.parker@example.com,1955-11-10T11:30:18.277Z,66,2007-02-22T07:35:19.348Z,14,(015)-795-9120,(051)-804-7081,SSN,566-03-0225,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
male,Mr,Jose,Thomas,8099,Valwood Pkwy,Surprise,Virginia,United States,65128,75.1677,-46.2146,-8:00,Pacific Time (US & Canada),jose.thomas@example.com,1964-05-03T18:02:38.534Z,57,2006-10-31T06:39:42.525Z,15,(694)-407-9338,(028)-249-8898,SSN,459-60-3231,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
male,Mr,Isaiah,Romero,9142,Fincher Rd,Burbank,South Carolina,United States,81869,-73.9074,-54.9047,-7:00,Mountain Time (US & Canada),isaiah.romero@example.com,1959-07-23T21:14:37.483Z,62,2008-01-03T08:05:09.488Z,13,(754)-082-2708,(305)-058-4198,SSN,147-11-7006,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
male,Mr,Perry,Jordan,4687,Blossom Hill Rd,Pearland,Idaho,United States,65775,-73.7449,-97.2743,+3:30,Tehran,perry.jordan@example.com,1995-08-02T03:03:16.908Z,26,2002-06-25T07:31:01.843Z,19,(747)-920-9398,(353)-972-8894,SSN,971-61-7756,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
female,Mrs,Nellie,Martin,4740,Brown Terrace,Tulsa,Florida,United States,71506,-44.3327,-103.5147,-2:00,Mid-Atlantic,nellie.martin@example.com,1993-09-25T18:24:18.221Z,28,2013-07-04T04:13:48.392Z,8,(900)-021-0219,(990)-144-3639,SSN,833-30-1340,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
female,Miss,Mia,White,8650,Oak Ridge Ln,Orlando,Colorado,United States,50955,22.6789,-62.5657,-9:00,Alaska,mia.white@example.com,1997-04-25T17:37:47.906Z,24,2004-08-26T03:40:56.187Z,17,(731)-827-4412,(467)-596-8817,SSN,884-99-8696,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
