gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Judy,Rodriguez,9475,Brown Terrace,Eureka,Ohio,United States,90901,-14.0894,29.5267,+3:30,Tehran,judy.rodriguez@example.com,1954-08-20T11:23:43.251Z,67,2012-11-05T04:32:19.827Z,9,(887)-502-6604,(935)-543-1101,SSN,339-59-1689,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
female,Mrs,Robin,Schmidt,1227,Lone Wolf Trail,Tyler,Louisiana,United States,27060,34.7470,-163.8017,-9:00,Alaska,robin.schmidt@example.com,1945-03-21T20:46:14.925Z,76,2010-07-15T09:54:22.953Z,11,(005)-571-6132,(754)-256-9853,SSN,927-89-6785,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
female,Mrs,Lillie,Ellis,3820,Ranchview Dr,The Colony,Washington,United States,79688,5.9452,-41.6562,-7:00,Mountain Time (US & Canada),lillie.ellis@example.com,1971-05-19T18:11:10.021Z,50,2004-08-25T04:44:59.192Z,17,(814)-859-3787,(646)-959-7623,SSN,706-30-5474,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
female,Miss,Constance,Lawson,9543,Lone Wolf Trail,Louisville,Nebraska,United States,73515,-4.9927,-123.3641,-2:00,Mid-Atlantic,constance.lawson@example.com,1985-02-14T04:00:50.714Z,36,2007-09-23T11:15:05.430Z,14,(933)-059-2733,(952)-845-8545,SSN,411-26-2375,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Mrs,Alyssa,Douglas,3644,Paddock Way,Kent,Idaho,United States,81351,-14.6345,-117.6102,-7:00,Mountain Time (US & Canada),alyssa.douglas@example.com,1996-07-04T14:09:54.334Z,25,2007-01-06T20:17:27.621Z,14,(400)-853-7764,(888)-564-5742,SSN,445-79-0299,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
male,Mr,Alberto,Gordon,682,Photinia Ave,Buffalo,Pennsylvania,United States,43577,11.6739,112.6294,-8:00,Pacific Time (US & Canada),alberto.gordon@example.com,1963-09-10T08:30:40.676Z,58,2015-03-21T21:21:57.004Z,6,(894)-707-0215,(083)-091-9362,SSN,004-81-4913,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,US
female,Mrs,Renee,Marshall,2308,Spring Hill Rd,Portland,Illinois,United States,22246,60.5278,117.6693,-3:30,Newfoundland,renee.marshall@example.com,1948-12-03T16:42:49.626Z,73,2018-01-07T02:13:13.373Z,3,(098)-067-9077,(777)-042-5795,SSN,443-43-3706,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg,US
male,Mr,Ron,Daniels,6480,Lakeview St,San Antonio,Nebraska,United States,77299,-63.9115,-155.4557,-10:00,Hawaii,ron.daniels@example.com,1987-09-12T08:40:24.974Z,34,2003-11-18T23:54:44.029Z,18,(972)-169-2913,(746)-862-0775,SSN,580-03-9540,https://randomuser.me/api/portraits/men/81.jpg,https://randomuser.me/api/portraits/med/men/81.jpg,https://randomuser.me/api/portraits/thumb/men/81.jpg,US
female,Ms,Krin,Perez,3794,Wycliff Ave,South Valley,Massachusetts,United States,80469,65.5221,-55.5644,+5:45,Kathmandu,krin.perez@example.com,1967-01-18T06:26:02.957Z,54,2008-04-16T17:41:00.431Z,13,(397)-552-1904,(053)-547-1245,SSN,483-34-9095,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
male,Mr,Christian,Morrison,6856,Ranchview Dr,Garden Grove,New Jersey,United States,82818,-69.5578,149.6792,-10:00,Hawaii,christian.morrison@example.com,1978-02-27T23:13:14.621Z,43,2010-11-25T02:35:54.084Z,11,(207)-581-0029,(443)-969-7212,SSN,576-61-3335,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
