gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Sonia,Chapman,8824,Paddock Way,San Francisco,Nevada,United States,69954,-50.8348,116.3451,-3:30,Newfoundland,sonia.chapman@example.com,1983-12-01T13:27:25.956Z,38,2019-06-13T22:30:59.040Z,2,(140)-270-4424,(267)-512-1743,SSN,860-40-2229,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
male,Mr,Rene,Henry,417,Marsh Ln,Westminster,Florida,United States,73524,-5.5111,-84.4705,-7:00,Mountain Time (US & Canada),rene.henry@example.com,1984-06-25T20:10:14.056Z,37,2005-01-09T10:59:39.219Z,16,(449)-802-4231,(844)-697-0583,SSN,479-01-1396,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
female,Mrs,Claire,Spencer,5295,Rolling Green Rd,Grand Prairie,Minnesota,United States,15210,-7.8715,-55.8265,-10:00,Hawaii,claire.spencer@example.com,1980-01-14T20:57:25.343Z,41,2018-03-23T21:11:58.891Z,3,(984)-974-7754,(852)-077-0426,SSN,200-84-9345,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Mrs,Melanie,Meyer,2391,Timber Wolf Trail,North Las Vegas,Idaho,United States,57568,84.1037,-30.2830,-2:00,Mid-Atlantic,melanie.meyer@example.com,1977-05-16T13:14:49.983Z,44,2003-06-20T00:26:22.529Z,18,(281)-531-7036,(220)-238-5487,SSN,033-48-5259,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Ms,Eleanor,Wright,7813,Frances Ct,Ennis,North Dakota,United States,98380,-7.0516,167.4654,-2:00,Mid-Atlantic,eleanor.wright@example.com,1987-03-22T05:17:22.821Z,34,2006-01-14T03:26:48.208Z,15,(876)-818-7709,(148)-114-5776,SSN,523-78-9834,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Dennis,Flores,6971,Washington Ave,San Diego,Utah,United States,46324,80.0467,44.4735,-10:00,Hawaii,dennis.flores@example.com,1994-09-20T18:09:24.806Z,27,2018-10-26T05:06:42.635Z,3,(362)-290-3557,(903)-829-6590,SSN,390-70-0438,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
female,Ms,Isobel,Douglas,302,Brown Terrace,Plano,Oklahoma,United States,77625,-16.1055,-177.1088,+3:30,Tehran,isobel.douglas@example.com,1962-05-09T11:59:54.315Z,59,2018-03-14T14:29:42.971Z,3,(996)-968-6081,(488)-099-4306,SSN,334-99-8876,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
female,Mrs,Priscilla,Mitchelle,5899,First Street,Paterson,Texas,United States,50255,-1.2261,37.6446,-8:00,Pacific Time (US & Canada),priscilla.mitchelle@example.com,1991-06-23T01:43:30.317Z,30,2014-07-06T19:28:55.324Z,7,(522)-975-9403,(649)-931-0811,SSN,718-61-6001,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
male,Mr,Tyrone,Horton,4507,First Street,West Jordan,New York,United States,75099,48.6955,51.5397,-8:00,Pacific Time (US & Canada),tyrone.horton@example.com,1991-10-29T01:04:32.603Z,30,2015-01-02T21:12:50.764Z,6,(197)-470-2807,(073)-416-3394,SSN,262-55-1845,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
female,Ms,Charlotte,Meyer,2283,Sunset St,Cape Fear,Virginia,United States,12184,43.3569,149.2181,+3:30,Tehran,charlotte.meyer@example.com,1946-08-27T19:40:43.994Z,75,2011-11-20T18:44:08.621Z,10,(042)-048-6732,(848)-913-7743,SSN,279-39-6731,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
