gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Dean,Woods,4297,Oak Ridge Ln,Elko,Hawaii,United States,97350,24.7933,-74.1618,+5:45,Kathmandu,dean.woods@example.com,1974-02-23T01:23:16.069Z,47,2004-11-24T12:31:45.792Z,17,(781)-730-6096,(255)-770-6329,SSN,571-88-5845,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
female,Ms,Doris,Simpson,1126,Hickory Creek Dr,Palm Bay,Louisiana,United States,15920,-4.8847,-60.0734,-2:00,Mid-Atlantic,doris.simpson@example.com,1952-11-29T12:45:35.504Z,69,2005-12-16T19:05:04.586Z,16,(531)-299-3728,(025)-398-1505,SSN,715-35-5211,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
female,Miss,Nora,Larson,6650,Camden Ave,Lansing,Louisiana,United States,33242,-40.3332,121.4860,-7:00,Mountain Time (US & Canada),nora.larson@example.com,1974-08-27T17:11:12.492Z,47,2004-05-13T20:08:48.385Z,17,(048)-526-8117,(578)-582-7665,SSN,315-99-3151,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
female,Mrs,Amelia,Powell,3912,Plum St,Baltimore,New York,United States,16673,63.7004,-177.9017,-10:00,Hawaii,amelia.powell@example.com,1957-08-19T00:05:08.116Z,64,2011-05-03T01:50:22.670Z,10,(788)-080-8480,(979)-320-4684,SSN,547-08-6910,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
male,Mr,Ethan,Frazier,6421,Homestead Rd,Rialto,California,United States,35598,-83.5743,78.4155,+3:30,Tehran,ethan.frazier@example.com,1952-12-14T21:29:21.457Z,69,2018-11-21T12:13:20.932Z,3,(748)-606-5354,(800)-348-5662,SSN,042-34-8729,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
female,Mrs,Clara,Pierce,8085,Locust Rd,Huntington Beach,Florida,United States,64233,13.9610,-58.5964,-9:00,Alaska,clara.pierce@example.com,1950-11-18T10:17:58.344Z,71,2003-10-09T11:21:24.194Z,18,(170)-737-8872,(948)-727-8710,SSN,593-14-0303,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
male,Mr,Chad,Carpenter,5802,Brown Terrace,Grants Pass,Illinois,United States,61568,75.6335,11.5721,+4:30,Kabul,chad.carpenter@example.com,1985-05-10T04:32:03.958Z,36,2005-05-26T06:25:21.152Z,16,(334)-948-0611,(866)-383-0368,SSN,299-08-3600,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg,US
male,Mr,Carter,Jimenez,6426,Plum St,Mckinney,Iowa,United States,20867,-88.4606,-20.9845,+3:30,Tehran,carter.jimenez@example.com,1947-06-07T20:37:34.027Z,74,2008-08-13T04:48:26.911Z,13,(771)-248-8540,(481)-207-3613,SSN,719-46-2482,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
male,Mr,Jeffery,West,6778,Ash Dr,Norman,Oregon,United States,23540,-61.5313,-126.4818,-3:30,Newfoundland,jeffery.west@example.com,1972-10-24T23:00:26.504Z,49,2003-05-30T00:46:19.347Z,18,(498)-719-1137,(873)-164-2418,SSN,455-04-6417,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
female,Ms,Violet,Hamilton,8650,Country Club Rd,Grants Pass,Oklahoma,United States,18938,14.4305,-158.6953,-10:00,Hawaii,violet.hamilton@example.com,1970-08-19T01:20:27.076Z,51,2010-10-14T00:59:00.025Z,11,(351)-976-4306,(094)-202-6176,SSN,653-66-5354,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
female,Ms,Sonia,Smith,2343,Walnut Hill Ln,Overland Park,Oregon,United States,48843,-34.6612,140.8763,-3:30,Newfoundland,sonia.smith@example.com,1966-06-11T22:36:22.683Z,55,2002-11-18T18:28:17.634Z,19,(435)-283-2039,(479)-997-5497,SSN,838-29-6859,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
female,Ms,Loretta,Washington,9861,Lakeshore Rd,Fountain Valley,Pennsylvania,United States,28006,-57.5733,36.9201,-3:30,Newfoundland,loretta.washington@example.com,1951-03-10T16:16:39.399Z,70,2017-12-15T12:27:41.822Z,4,(615)-181-2646,(441)-064-7634,SSN,688-05-2348,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
female,Ms,Tina,Collins,8400,Locust Rd,Garden Grove,Connecticut,United States,22969,-19.3352,-27.5393,+5:45,Kathmandu,tina.collins@example.com,1987-03-07T09:51:36.953Z,34,2005-02-26T04:33:40.851Z,16,(926)-503-1670,(632)-735-9607,SSN,228-16-4864,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
female,Mrs,Samantha,Thomas,3485,Taylor St,Houston,South Carolina,United States,95445,-68.9709,143.8651,-10:00,Hawaii,samantha.thomas@example.com,1977-04-29T03:32:11.664Z,44,2015-06-28T05:40:36.755Z,6,(463)-400-0548,(274)-031-4199,SSN,421-52-7780,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Ms,Florence,Pena,5399,Marsh Ln,Bozeman,Tennessee,United States,18469,-23.6881,162.5069,-8:00,Pacific Time (US & Canada),florence.pena@example.com,1990-10-03T03:19:25.473Z,31,2004-01-19T05:29:42.365Z,17,(635)-264-9410,(508)-840-0717,SSN,218-07-7460,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
female,Miss,Nora,Willis,4426,Valwood Pkwy,Baton Rouge,Alabama,United States,16935,57.9001,-10.1320,-8:00,Pacific Time (US & Canada),nora.willis@example.com,1950-04-13T20:59:44.604Z,71,2005-04-24T11:09:39.407Z,16,(447)-345-3562,(572)-834-6674,SSN,439-98-8462,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
male,Mr,Shawn,Martinez,3359,Saddle Dr,Celina,Rhode Island,United States,26167,-76.8402,-7.1106,+5:45,Kathmandu,shawn.martinez@example.com,1995-02-25T03:32:10.364Z,26,2015-09-13T09:02:06.103Z,6,(853)-968-7775,(486)-462-3803,SSN,861-88-2495,https://randomuser.me/api/portraits/men/60.jpg,https://randomuser.me/api/portraits/med/men/60.jpg,https://randomuser.me/api/portraits/thumb/men/60.jpg,US
