gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Shane,Sullivan,9578,Depaul Dr,Madison,Connecticut,United States,56414,39.5685,-27.0549,-2:00,Mid-Atlantic,shane.sullivan@example.com,1992-11-11T06:05:26.235Z,29,2014-12-24T16:38:08.100Z,7,(078)-134-5757,(171)-872-7820,SSN,588-32-6954,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
female,Mrs,Grace,Chapman,5100,Lakeshore Rd,Irving,New Jersey,United States,75226,41.8796,-54.8176,+5:45,Kathmandu,grace.chapman@example.com,1996-02-02T09:13:56.964Z,25,2007-05-23T11:07:37.178Z,14,(212)-692-6584,(771)-015-8105,SSN,811-30-2615,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg,US
female,Mrs,Samantha,Young,4691,Cackson St,Antioch,Arizona,United States,25869,-14.1901,-127.8325,-10:00,Hawaii,samantha.young@example.com,1951-05-25T04:06:30.916Z,70,2007-09-14T00:58:22.371Z,14,(084)-998-5515,(035)-880-0759,SSN,180-47-0387,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
male,Mr,Jackson,Beck,3062,Mockingbird Hill,North Las Vegas,Oregon,United States,15366,24.1842,-178.2013,-2:00,Mid-Atlantic,jackson.beck@example.com,1969-02-19T07:26:13.224Z,52,2012-01-26T08:49:52.380Z,9,(692)-062-8292,(131)-046-4921,SSN,377-77-4332,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
male,Mr,Erik,Perkins,4725,Westheimer Rd,Milwaukee,Georgia,United States,97321,-63.8965,-53.0495,-2:00,Mid-Atlantic,erik.perkins@example.com,1957-02-15T10:33:36.893Z,64,2006-06-02T03:40:31.099Z,15,(450)-884-5484,(826)-182-1389,SSN,343-54-9438,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
female,Ms,Terra,Bell,20,W Belt Line Rd,Sioux Falls,Vermont,United States,11234,46.3989,103.2590,+5:45,Kathmandu,terra.bell@example.com,1955-03-16T08:50:45.127Z,66,2010-09-15T20:09:20.556Z,11,(766)-251-6142,(564)-448-0341,SSN,077-15-6244,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
male,Mr,Terrance,Martin,865,Taylor St,Pembroke Pines,Kansas,United States,20261,52.7917,157.9906,-2:00,Mid-Atlantic,terrance.martin@example.com,1946-12-03T17:46:10.480Z,75,2007-05-22T20:27:13.417Z,14,(843)-605-4669,(693)-763-3383,SSN,421-53-7453,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
male,Mr,Armando,Garza,1813,Adams St,Stanley,Iowa,United States,54908,-58.8207,-153.1272,-2:00,Mid-Atlantic,armando.garza@example.com,1958-12-27T22:03:23.933Z,63,2004-09-15T22:25:47.974Z,17,(021)-269-6145,(909)-800-1185,SSN,047-72-1911,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
male,Mr,Edgar,Murphy,1759,Hogan St,Hartford,Virginia,United States,58603,34.1583,-51.6933,-9:00,Alaska,edgar.murphy@example.com,1967-09-12T22:25:59.786Z,54,2011-07-17T00:42:45.290Z,10,(135)-876-7829,(409)-590-4234,SSN,973-68-8862,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
female,Ms,Denise,Gutierrez,8962,Timber Wolf Trail,Lewisville,New Hampshire,United States,33779,-49.3346,50.7627,-3:30,Newfoundland,denise.gutierrez@example.com,1976-01-13T20:52:48.859Z,45,2015-05-09T01:06:22.708Z,6,(362)-154-1399,(571)-821-2679,SSN,488-19-2262,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
