gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Carmen,Boyd,4193,Shady Ln Dr,Great Falls,Arkansas,United States,44272,72.2226,-22.9246,-8:00,Pacific Time (US & Canada),carmen.boyd@example.com,1980-06-17T12:41:07.545Z,41,2003-10-03T22:53:03.349Z,18,(182)-406-2509,(815)-125-3806,SSN,634-57-0807,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
female,Ms,Isabella,Richardson,1704,Hickory Creek Dr,Fort Wayne,Missouri,United States,54555,-53.4527,155.7853,+4:30,Kabul,isabella.richardson@example.com,1979-07-21T15:26:35.619Z,42,2009-09-18T14:34:00.861Z,12,(780)-278-7963,(174)-493-6693,SSN,577-07-6005,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
female,Mrs,Genesis,Cooper,8303,Hamilton Ave,Santa Clarita,Pennsylvania,United States,64468,5.7495,76.0979,+4:30,Kabul,genesis.cooper@example.com,1980-12-22T11:50:14.510Z,41,2007-05-02T03:06:26.400Z,14,(365)-476-4867,(144)-088-0232,SSN,769-24-8876,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
female,Ms,Toni,Fisher,4312,Ranchview Dr,Temecula,Wyoming,United States,67827,27.0146,139.6489,-8:00,Pacific Time (US & Canada),toni.fisher@example.com,1982-10-13T14:14:53.357Z,39,2019-08-25T01:02:36.669Z,2,(236)-935-4363,(479)-791-6664,SSN,632-53-0102,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
female,Miss,Nellie,Henry,7263,Royal Ln,San Jose,Nebraska,United States,35592,16.2310,112.6327,-7:00,Mountain Time (US & Canada),nellie.henry@example.com,1972-03-06T16:29:13.081Z,49,2006-07-13T00:24:42.316Z,15,(447)-581-9748,(582)-939-7114,SSN,728-99-5109,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Miss,Gloria,Armstrong,8396,Pockrus Page Rd,South Bend,Utah,United States,93945,44.6710,127.8602,-2:00,Mid-Atlantic,gloria.armstrong@example.com,1975-04-24T13:40:33.822Z,46,2014-04-05T17:15:55.845Z,7,(250)-513-5376,(264)-823-0821,SSN,435-77-2101,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg,US
female,Miss,Elaine,Dixon,6929,Hogan St,Cary,North Dakota,United States,47651,-88.4100,-172.2452,-3:30,Newfoundland,elaine.dixon@example.com,1993-04-05T10:10:15.409Z,28,2005-01-16T11:17:13.814Z,16,(477)-138-5992,(929)-748-2516,SSN,919-92-5718,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
female,Mrs,Gwendolyn,King,7576,Fairview St,Tulsa,New Jersey,United States,50609,-70.0750,162.1658,-10:00,Hawaii,gwendolyn.king@example.com,1993-06-13T18:51:30.377Z,28,2019-04-28T23:53:06.388Z,2,(433)-420-2828,(211)-170-6823,SSN,081-25-6164,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
female,Miss,Sarah,Gardner,4907,Hunters Creek Dr,Gilbert,Mississippi,United States,38422,17.0089,172.3163,+5:45,Kathmandu,sarah.gardner@example.com,1974-06-20T20:15:45.136Z,47,2013-02-09T05:35:51.880Z,8,(182)-281-1552,(746)-147-3496,SSN,666-39-1349,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
male,Mr,Roland,Pena,5212,Lakeshore Rd,Yakima,Wyoming,United States,56472,13.7483,11.7114,-8:00,Pacific Time (US & Canada),roland.pena@example.com,1993-04-14T19:50:00.032Z,28,2004-10-18T09:52:29.241Z,17,(281)-592-2755,(815)-432-1474,SSN,394-73-0398,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
male,Mr,Philip,Pierce,8545,Walnut Hill Ln,Athens,Missouri,United States,45006,-4.2938,1.3075,-9:00,Alaska,philip.pierce@example.com,1964-10-10T19:21:12.613Z,57,2010-07-26T16:30:22.490Z,11,(733)-784-4005,(669)-179-7341,SSN,195-52-3140,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
