gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Christine,Rodriquez,4068,Paddock Way,Sunnyvale,Vermont,United States,84593,-5.2257,-105.8291,-7:00,Mountain Time (US & Canada),christine.rodriquez@example.com,1951-09-30T09:19:39.236Z,70,2016-08-14T11:28:19.835Z,5,(135)-409-6461,(045)-363-9131,SSN,954-25-2562,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
female,Miss,Julia,Carr,8995,Fairview St,Norfolk,New Mexico,United States,39718,36.3261,-121.7134,+4:30,Kabul,julia.carr@example.com,1979-04-11T23:20:50.243Z,42,2017-03-21T13:26:48.650Z,4,(422)-816-2662,(756)-638-4045,SSN,427-74-2915,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Mrs,Emma,Fox,53,Hillcrest Rd,Flowermound,Mississippi,United States,14341,57.9978,-39.4691,+5:45,Kathmandu,emma.fox@example.com,1990-08-15T15:07:09.686Z,31,2006-04-16T19:17:39.594Z,15,(088)-047-7942,(151)-160-8155,SSN,348-09-8916,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
female,Mrs,Ava,Barrett,6538,College St,Princeton,Rhode Island,United States,43493,-53.1860,-147.6737,-8:00,Pacific Time (US & Canada),ava.barrett@example.com,1951-01-28T02:22:09.041Z,70,2010-09-23T11:57:38.851Z,11,(503)-689-7137,(967)-743-1574,SSN,482-88-1057,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
female,Miss,Nina,Fleming,9615,Bruce St,Green Bay,Illinois,United States,96529,-6.4090,-68.6074,-9:00,Alaska,nina.fleming@example.com,1960-11-14T02:21:19.837Z,61,2005-08-07T02:20:02.870Z,16,(643)-305-6335,(063)-635-2051,SSN,413-57-1445,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
female,Mrs,Susan,Perry,1655,W Sherman Dr,Springfield,Delaware,United States,76334,-89.4747,169.0203,-2:00,Mid-Atlantic,susan.perry@example.com,1958-06-14T11:47:40.645Z,63,2009-03-09T14:32:28.680Z,12,(369)-803-5815,(843)-785-8831,SSN,353-26-3180,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
male,Mr,Gavin,Rodriguez,4398,Poplar Dr,Chicago,South Dakota,United States,71768,-15.2997,100.1607,-10:00,Hawaii,gavin.rodriguez@example.com,1991-09-19T07:03:08.601Z,30,2018-09-13T20:12:05.858Z,3,(734)-447-2753,(839)-071-4990,SSN,156-44-4870,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
male,Mr,Lance,Montgomery,5547,Spring St,Clarksville,New York,United States,77547,17.9459,-127.5098,+5:45,Kathmandu,lance.montgomery@example.com,1957-02-28T21:21:42.585Z,64,2002-08-22T01:21:09.556Z,19,(099)-018-5380,(447)-802-3443,SSN,776-34-9535,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,US
female,Miss,Marie,Ward,6301,Shady Ln Dr,Tulsa,Kentucky,United States,76371,-2.8338,-30.2797,-8:00,Pacific Time (US & Canada),marie.ward@example.com,1960-05-20T20:10:42.807Z,61,2003-05-01T00:31:54.141Z,18,(894)-159-0110,(315)-635-8734,SSN,669-82-5178,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
female,Mrs,Eva,Ferguson,9776,Wheeler Ridge Dr,Memphis,Florida,United States,38413,-40.1823,91.0071,-9:00,Alaska,eva.ferguson@example.com,1961-09-29T05:08:19.705Z,60,2011-01-09T11:48:03.012Z,10,(487)-060-1651,(058)-592-4799,SSN,996-85-0327,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
