gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Jo,Gardner,1493,W Dallas St,Stamford,Pennsylvania,United States,29067,-24.4770,74.7326,-9:00,Alaska,jo.gardner@example.com,1947-05-13T21:05:05.852Z,74,2009-06-13T00:58:31.489Z,12,(908)-170-0257,(387)-568-3529,SSN,794-00-7732,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
female,Ms,Mia,Brewer,9114,Mockingbird Ln,Springfield,Colorado,United States,23938,-50.8544,21.5559,-7:00,Mountain Time (US & Canada),mia.brewer@example.com,1955-11-24T17:10:33.296Z,66,2010-03-21T02:01:33.074Z,11,(555)-866-3759,(085)-915-5761,SSN,046-42-9667,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
female,Mrs,Nicole,Bryant,7457,Fairview St,Fort Lauderdale,Texas,United States,81953,-20.4878,0.6167,+4:30,Kabul,nicole.bryant@example.com,1963-12-08T17:32:13.729Z,58,2017-12-13T17:17:00.001Z,4,(216)-417-7149,(055)-453-7738,SSN,757-58-7861,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
female,Miss,Lois,Perez,7357,Brown Terrace,San Mateo,Utah,United States,24208,4.8366,-155.3670,-3:30,Newfoundland,lois.perez@example.com,1956-06-18T08:32:48.994Z,65,2006-03-23T19:05:37.211Z,15,(586)-004-8440,(254)-390-6239,SSN,406-04-5794,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
male,Mr,Terrance,Chambers,5459,Mcclellan Rd,Duncanville,Colorado,United States,67809,78.5447,-11.3047,+3:30,Tehran,terrance.chambers@example.com,1985-07-13T21:18:44.439Z,36,2007-11-29T17:21:48.840Z,14,(037)-332-8836,(770)-531-3382,SSN,784-17-2666,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Mrs,Bella,Barnett,5439,Smokey Ln,Tyler,Illinois,United States,26216,17.4843,68.7408,+5:45,Kathmandu,bella.barnett@example.com,1955-07-12T05:48:17.555Z,66,2018-07-08T22:17:15.476Z,3,(344)-133-7102,(820)-216-4792,SSN,591-77-7067,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
male,Mr,Gabe,Howell,2251,Depaul Dr,Honolulu,Georgia,United States,88422,-22.7475,-86.0609,+3:30,Tehran,gabe.howell@example.com,1949-02-25T07:39:39.013Z,72,2017-01-11T05:03:56.863Z,4,(647)-411-6033,(260)-199-1048,SSN,234-55-6041,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
female,Miss,Arianna,Kelly,9011,Hillcrest Rd,Caldwell,Georgia,United States,64761,-39.4823,-133.4308,+5:45,Kathmandu,arianna.kelly@example.com,1952-04-24T11:28:17.338Z,69,2018-06-01T19:21:24.591Z,3,(167)-159-6605,(055)-312-2102,SSN,984-04-2377,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
male,Mr,Lewis,Hunt,5398,W Sherman Dr,Beaumont,Oklahoma,United States,24505,-27.8315,97.1267,-3:30,Newfoundland,lewis.hunt@example.com,1972-01-12T17:46:39.246Z,49,2008-09-30T15:00:31.868Z,13,(889)-356-2101,(354)-970-7441,SSN,930-42-0413,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
male,Mr,Russell,Hamilton,785,Photinia Ave,Durham,Rhode Island,United States,20533,46.3950,15.8235,-3:30,Newfoundland,russell.hamilton@example.com,1967-01-20T12:22:53.491Z,54,2015-02-22T18:39:38.918Z,6,(672)-600-3485,(239)-890-8111,SSN,678-49-3199,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg,US
male,Mr,Kirk,Duncan,8177,W Gray St,Roseburg,Connecticut,United States,81614,-71.6300,-124.8374,+4:30,Kabul,kirk.duncan@example.com,1978-12-31T05:12:51.879Z,43,2005-09-07T02:50:45.614Z,16,(054)-296-6167,(738)-429-2356,SSN,948-47-6755,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
male,Mr,Arnold,Schmidt,4742,Country Club Rd,Miami Gardens,Idaho,United States,90807,-78.3736,-71.1480,-10:00,Hawaii,arnold.schmidt@example.com,1979-08-22T08:25:28.543Z,42,2007-08-03T11:27:25.566Z,14,(385)-070-8807,(932)-636-6913,SSN,058-46-8421,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
