gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Eddie,Powell,6159,Forest Ln,Yakima,Maine,United States,52792,-30.1013,162.6765,-2:00,Mid-Atlantic,eddie.powell@example.com,1998-07-26T05:17:05.502Z,23,2008-08-18T08:56:39.877Z,13,(126)-843-6629,(654)-494-3121,SSN,097-67-1136,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
male,Mr,Floyd,Graham,6991,Marsh Ln,Anna,Minnesota,United States,40682,47.4920,-102.6915,+5:45,Kathmandu,floyd.graham@example.com,1956-05-05T13:27:13.942Z,65,2015-09-19T22:17:08.193Z,6,(525)-890-1520,(106)-998-7178,SSN,292-49-5877,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
female,Mrs,Ana,Freeman,7498,Ranchview Dr,Van Alstyne,Virginia,United States,98340,83.8736,63.3079,+3:30,Tehran,ana.freeman@example.com,1998-04-07T13:41:10.265Z,23,2012-09-30T09:48:14.601Z,9,(264)-117-0206,(881)-671-7147,SSN,233-15-5349,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
male,Mr,Cody,Taylor,9635,Lovers Ln,Milwaukee,Michigan,United States,20318,-83.0945,-16.4223,-3:30,Newfoundland,cody.taylor@example.com,1994-09-05T16:11:40.033Z,27,2012-04-25T03:18:14.926Z,9,(014)-919-3803,(561)-702-0086,SSN,593-98-5435,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
male,Mr,Zachary,Mills,1460,Hogan St,Downey,Rhode Island,United States,78252,71.7860,88.5066,+3:30,Tehran,zachary.mills@example.com,1991-07-13T06:20:55.665Z,30,2008-12-29T05:24:14.412Z,13,(353)-601-0975,(139)-356-6468,SSN,570-06-0906,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
female,Miss,Kenzi,Morales,9765,White Oak Dr,Santa Ana,Louisiana,United States,15017,-16.9038,129.1276,-7:00,Mountain Time (US & Canada),kenzi.morales@example.com,1971-05-17T21:47:14.953Z,50,2009-04-13T20:41:54.263Z,12,(235)-952-2943,(119)-999-5960,SSN,523-39-3501,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
female,Mrs,Olivia,Meyer,4406,Railroad St,Fullerton,Alaska,United States,47289,-56.6260,-121.1626,-10:00,Hawaii,olivia.meyer@example.com,1963-09-24T18:35:50.006Z,58,2003-07-08T02:04:16.442Z,18,(596)-471-2435,(760)-376-5012,SSN,259-26-8984,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
female,Ms,Lillian,Kennedy,5595,Spring Hill Rd,Cupertino,North Carolina,United States,13976,-36.0510,-61.8458,-2:00,Mid-Atlantic,lillian.kennedy@example.com,1971-09-01T20:38:21.061Z,50,2006-07-22T11:07:26.244Z,15,(022)-394-7728,(009)-374-2601,SSN,542-59-8399,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
female,Miss,Michele,Carlson,7338,Pecan Acres Ln,Centennial,Ohio,United States,96256,82.1917,-55.9356,-2:00,Mid-Atlantic,michele.carlson@example.com,1952-02-06T02:24:45.479Z,69,2007-02-06T20:36:06.301Z,14,(355)-688-7244,(048)-785-2091,SSN,884-92-8244,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
male,Mr,Leonard,Banks,5354,Karen Dr,Chandler,Louisiana,United States,67413,-89.5637,42.9653,+4:30,Kabul,leonard.banks@example.com,1945-01-03T09:47:56.752Z,76,2014-05-04T18:47:23.558Z,7,(524)-739-5878,(585)-132-5478,SSN,685-87-8909,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
male,Mr,Willard,Miles,3364,Stevens Creek Blvd,Hartford,Utah,United States,94787,-7.4636,-33.5108,-3:30,Newfoundland,willard.miles@example.com,1972-01-08T01:37:57.713Z,49,2003-06-21T16:28:52.882Z,18,(432)-146-2047,(728)-673-1716,SSN,184-05-2358,https://randomuser.me/api/portraits/men/68.jpg,https://randomuser.me/api/portraits/med/men/68.jpg,https://randomuser.me/api/portraits/thumb/men/68.jpg,US
female,Miss,Tracey,Cook,5817,Smokey Ln,Spokane,Mississippi,United States,57290,83.1515,31.3009,-2:00,Mid-Atlantic,tracey.cook@example.com,1951-08-03T00:14:19.444Z,70,2008-08-18T22:43:12.118Z,13,(225)-220-8045,(296)-431-6593,SSN,217-29-7900,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Miss,Delores,Castro,6208,Thornridge Cir,Escondido,West Virginia,United States,91778,45.8667,-118.0349,-3:30,Newfoundland,delores.castro@example.com,1976-05-27T00:31:22.750Z,45,2009-10-29T18:14:11.195Z,12,(759)-965-6691,(055)-723-1176,SSN,101-00-8474,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
