gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Evelyn,Matthews,7021,W Gray St,Chula Vista,Maine,United States,42857,19.2250,-55.2710,-10:00,Hawaii,evelyn.matthews@example.com,1987-07-03T21:14:44.629Z,34,2013-02-18T07:30:16.300Z,8,(389)-060-8620,(766)-863-0790,SSN,949-17-0235,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
male,Mr,Raul,Burns,5847,Green Rd,Steilacoom,Alaska,United States,94955,25.3030,89.7291,-7:00,Mountain Time (US & Canada),raul.burns@example.com,1984-04-24T22:00:31.364Z,37,2005-09-17T14:54:35.516Z,16,(541)-531-0019,(221)-722-6919,SSN,375-25-1008,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
male,Mr,Leslie,Jackson,152,Prospect Rd,Bellevue,Alaska,United States,54165,42.1257,91.7968,-3:30,Newfoundland,leslie.jackson@example.com,1984-04-05T04:43:06.462Z,37,2012-02-11T21:11:27.849Z,9,(863)-823-4928,(009)-432-7015,SSN,185-36-0442,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
female,Ms,Renee,Bennett,5510,Lone Wolf Trail,Rockford,Oklahoma,United States,56576,87.1693,-56.6908,-10:00,Hawaii,renee.bennett@example.com,1949-03-09T08:47:23.110Z,72,2002-04-28T17:21:47.239Z,19,(623)-691-1787,(321)-624-3573,SSN,953-75-6842,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
female,Miss,Valerie,Alvarez,9006,W Campbell Ave,Peoria,California,United States,67185,-51.2690,-73.1780,-3:30,Newfoundland,valerie.alvarez@example.com,1993-03-27T14:27:47.174Z,28,2017-11-29T18:40:52.614Z,4,(217)-770-7531,(545)-686-7084,SSN,296-44-6583,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Keith,Cook,620,Mockingbird Ln,Grapevine,Mississippi,United States,59903,32.6145,101.3110,+5:45,Kathmandu,keith.cook@example.com,1984-08-22T01:59:07.814Z,37,2007-05-06T18:39:20.471Z,14,(966)-949-6687,(470)-597-1843,SSN,171-43-5285,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Ms,Addison,Bailey,5570,First Street,Duncanville,Utah,United States,45494,-71.9111,37.4236,-7:00,Mountain Time (US & Canada),addison.bailey@example.com,1973-08-26T12:26:39.401Z,48,2014-06-20T09:50:55.523Z,7,(390)-639-7076,(748)-374-7808,SSN,495-76-9801,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
male,Mr,Jamie,Prescott,3052,Lone Wolf Trail,Fort Lauderdale,Mississippi,United States,83626,71.2000,165.0453,-7:00,Mountain Time (US & Canada),jamie.prescott@example.com,1962-11-30T02:12:36.898Z,59,2002-08-05T04:57:48.521Z,19,(983)-095-7117,(329)-061-8963,SSN,619-36-9490,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
male,Mr,Ivan,Stevens,3113,Groveland Terrace,Provo,Colorado,United States,65630,19.7519,12.8362,-3:30,Newfoundland,ivan.stevens@example.com,1947-10-10T06:51:21.302Z,74,2009-09-14T01:38:30.259Z,12,(215)-163-3765,(387)-127-7736,SSN,195-49-0730,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Mrs,Denise,Perry,1024,Edwards Rd,Detroit,South Dakota,United States,38661,-25.4406,-156.6578,-2:00,Mid-Atlantic,denise.perry@example.com,1991-05-11T12:36:26.215Z,30,2006-02-04T07:06:35.383Z,15,(314)-764-1118,(597)-120-1831,SSN,496-01-5906,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg,US
