gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Kathy,Holmes,2148,James St,Memphis,Illinois,United States,16039,84.4057,0.3061,-10:00,Hawaii,kathy.holmes@example.com,1973-10-06T05:22:26.841Z,48,2012-02-07T08:32:56.163Z,9,(054)-025-7055,(854)-220-9766,SSN,276-29-0583,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
female,Ms,Julie,Bryant,352,Karen Dr,Addison,Utah,United States,35609,-80.7210,31.0709,-9:00,Alaska,julie.bryant@example.com,1995-01-22T12:25:44.484Z,26,2002-12-05T10:43:13.185Z,19,(995)-834-0597,(530)-855-8706,SSN,810-95-9125,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
male,Mr,Gene,Hudson,1882,Pecan Acres Ln,Gainesville,Washington,United States,49206,73.5337,-116.5413,+5:45,Kathmandu,gene.hudson@example.com,1973-09-21T22:52:57.699Z,48,2004-01-13T09:32:48.096Z,17,(441)-438-6605,(705)-132-3983,SSN,444-70-9625,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
female,Mrs,Carmen,Alexander,394,Green Rd,Bueblo,Montana,United States,23285,-17.4163,158.2904,-7:00,Mountain Time (US & Canada),carmen.alexander@example.com,1976-10-15T08:38:19.877Z,45,2003-09-17T00:35:34.846Z,18,(565)-643-5499,(450)-202-3616,SSN,030-96-5313,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
male,Mr,Frank,Richardson,7847,Shady Ln Dr,Evansville,Massachusetts,United States,44600,-62.6616,-178.3830,-7:00,Mountain Time (US & Canada),frank.richardson@example.com,1982-06-07T08:14:27.775Z,39,2005-11-26T08:42:17.279Z,16,(288)-089-1164,(202)-907-4020,SSN,826-14-9526,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
female,Miss,Georgia,Williams,5699,Walnut Hill Ln,Lubbock,Georgia,United States,36114,-80.8602,-149.3853,-10:00,Hawaii,georgia.williams@example.com,1994-09-23T11:44:40.004Z,27,2006-11-03T21:17:15.790Z,15,(508)-412-3293,(973)-279-0816,SSN,687-26-1522,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
male,Mr,Mathew,Byrd,4178,James St,Dumas,Nebraska,United States,33602,41.6291,-179.2197,+5:45,Kathmandu,mathew.byrd@example.com,1969-06-24T08:09:30.661Z,52,2014-04-07T18:06:37.340Z,7,(191)-625-1407,(421)-191-7466,SSN,768-14-6683,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
female,Ms,Jeanette,Howell,1105,Railroad St,Jersey City,Florida,United States,29406,53.9086,-173.6429,-3:30,Newfoundland,jeanette.howell@example.com,1945-05-23T00:57:18.939Z,76,2019-01-15T11:45:07.386Z,2,(523)-864-1849,(265)-366-6671,SSN,059-40-6294,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
male,Mr,Carlos,Nelson,8802,Central St,Vancouver,New York,United States,26883,5.6558,-77.2530,-9:00,Alaska,carlos.nelson@example.com,1992-01-30T12:45:56.019Z,29,2003-03-07T05:42:09.637Z,18,(026)-278-8177,(001)-507-1566,SSN,605-67-3250,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
female,Ms,Kenzi,Reid,1546,Locust Rd,Fontana,Mississippi,United States,28294,-80.7070,-43.9492,-10:00,Hawaii,kenzi.reid@example.com,1976-05-24T12:08:24.690Z,45,2016-10-10T12:29:28.626Z,5,(026)-630-1603,(428)-347-8989,SSN,181-64-6250,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
