gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Ellen,Davis,7406,Walnut Hill Ln,Temecula,Nevada,United States,56613,-39.6223,82.7978,+5:45,Kathmandu,ellen.davis@example.com,1974-06-19T10:09:07.505Z,47,2014-02-28T10:39:33.955Z,7,(023)-924-7433,(103)-756-7606,SSN,363-59-1396,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
male,Mr,Antonio,Richards,4604,W Campbell Ave,Charleston,Arizona,United States,71613,-79.9126,157.5436,-8:00,Pacific Time (US & Canada),antonio.richards@example.com,1988-06-10T09:08:46.418Z,33,2011-10-10T05:35:18.838Z,10,(900)-649-6699,(247)-254-4579,SSN,073-58-6809,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
female,Ms,Connie,Prescott,9982,Oak Ridge Ln,Pueblo,Vermont,United States,39012,-44.8569,61.6337,-3:30,Newfoundland,connie.prescott@example.com,1962-12-02T23:13:44.798Z,59,2014-10-08T10:43:33.584Z,7,(327)-991-7561,(014)-738-6529,SSN,926-90-5756,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
female,Miss,Veronica,Ramos,3832,Timber Wolf Trail,Overland Park,Virginia,United States,70103,50.4690,-52.9397,-8:00,Pacific Time (US & Canada),veronica.ramos@example.com,1968-09-07T14:22:00.469Z,53,2016-02-11T02:02:29.078Z,5,(650)-936-2014,(892)-323-9281,SSN,342-55-8850,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
female,Ms,Ella,Sims,5999,Adams St,North Valley,Hawaii,United States,49702,8.1917,117.7724,+3:30,Tehran,ella.sims@example.com,1992-02-11T09:37:24.128Z,29,2016-02-02T23:18:41.958Z,5,(773)-378-4685,(907)-005-7036,SSN,123-63-6215,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
male,Mr,Theodore,Vasquez,3755,Valwood Pkwy,New York,Alaska,United States,89792,29.8604,6.8053,-7:00,Mountain Time (US & Canada),theodore.vasquez@example.com,1978-08-09T21:40:43.647Z,43,2008-12-18T23:06:45.006Z,13,(526)-482-8715,(977)-115-0085,SSN,261-14-4578,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
male,Mr,Chester,Marshall,7392,Bollinger Rd,Broken Arrow,Kansas,United States,79478,-50.3380,-121.6595,-8:00,Pacific Time (US & Canada),chester.marshall@example.com,1982-03-31T18:30:34.309Z,39,2012-12-25T09:43:00.610Z,9,(809)-561-5811,(923)-548-2374,SSN,853-79-5753,https://randomuser.me/api/portraits/men/72.jpg,https://randomuser.me/api/portraits/med/men/72.jpg,https://randomuser.me/api/portraits/thumb/men/72.jpg,US
male,Mr,Matthew,Collins,3377,E Center St,Lowell,Vermont,United States,89149,52.7818,50.0289,-7:00,Mountain Time (US & Canada),matthew.collins@example.com,1964-02-20T11:54:56.720Z,57,2005-03-23T09:11:09.145Z,16,(162)-395-0448,(002)-156-6214,SSN,714-62-6187,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
male,Mr,Rodney,Welch,9883,Cackson St,Santa Maria,Rhode Island,United States,50421,29.0033,-136.4095,-8:00,Pacific Time (US & Canada),rodney.welch@example.com,1950-06-01T10:16:33.505Z,71,2005-03-16T15:24:40.109Z,16,(344)-155-2755,(218)-003-5985,SSN,638-78-9026,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
female,Ms,Valerie,Arnold,9637,Groveland Terrace,Utica,Kentucky,United States,74530,32.9439,-70.0494,+5:45,Kathmandu,valerie.arnold@example.com,1960-03-14T02:39:26.397Z,61,2018-04-04T18:50:30.498Z,3,(547)-217-2890,(819)-218-4679,SSN,094-11-6079,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
