gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Daisy,Sullivan,5412,W Belt Line Rd,Arlington,Vermont,United States,32100,-35.9030,38.8544,-3:30,Newfoundland,daisy.sullivan@example.com,1973-02-01T02:01:36.955Z,48,2009-03-14T05:13:20.110Z,12,(655)-123-1707,(461)-598-7842,SSN,725-27-9943,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
male,Mr,Carter,Caldwell,1266,Timber Wolf Trail,Grand Rapids,Texas,United States,56503,41.4211,-164.1332,-8:00,Pacific Time (US & Canada),carter.caldwell@example.com,1962-06-16T21:16:32.830Z,59,2014-06-29T17:12:18.539Z,7,(314)-363-2608,(346)-951-4263,SSN,726-21-2171,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
male,Mr,Tracy,Alexander,2027,Fairview St,Omaha,Massachusetts,United States,80730,7.3816,93.5300,-2:00,Mid-Atlantic,tracy.alexander@example.com,1977-02-05T20:34:37.028Z,44,2010-08-12T10:26:57.249Z,11,(699)-408-1600,(180)-265-7105,SSN,402-41-8477,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
female,Mrs,Louise,Austin,2121,Ranchview Dr,Hartford,North Carolina,United States,70167,-30.5583,102.2325,-3:30,Newfoundland,louise.austin@example.com,1981-04-26T01:24:05.493Z,40,2009-04-30T16:23:31.188Z,12,(609)-269-8146,(074)-033-7073,SSN,156-56-8844,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
female,Miss,Elaine,Hopkins,5199,Blossom Hill Rd,Erie,Oregon,United States,31672,45.5115,44.5000,-8:00,Pacific Time (US & Canada),elaine.hopkins@example.com,1954-01-26T12:47:19.189Z,67,2009-12-15T19:45:24.810Z,12,(085)-768-0038,(681)-140-7109,SSN,888-23-0798,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
female,Ms,Gina,Obrien,8938,W Dallas St,Syracuse,Vermont,United States,37722,0.7852,-63.4506,+4:30,Kabul,gina.obrien@example.com,1945-07-24T09:18:41.601Z,76,2018-11-16T09:14:27.411Z,3,(526)-032-4584,(914)-792-5723,SSN,733-26-0505,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
male,Mr,Ernest,Rodriquez,3144,Elgin St,Escondido,Texas,United States,42686,-46.0360,59.0134,+3:30,Tehran,ernest.rodriquez@example.com,1957-02-14T02:50:23.265Z,64,2004-04-18T03:19:35.346Z,17,(554)-532-9424,(700)-159-2538,SSN,596-40-3709,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Miss,Brandie,Gutierrez,6685,Taylor St,Ironville,Pennsylvania,United States,98962,-21.2855,-30.6832,-2:00,Mid-Atlantic,brandie.gutierrez@example.com,1949-09-14T22:45:36.947Z,72,2006-06-09T16:58:07.597Z,15,(063)-977-9982,(800)-767-5833,SSN,079-33-9243,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
male,Mr,Ernest,Campbell,1380,W Gray St,Thornton,North Dakota,United States,80704,38.9512,1.5263,-8:00,Pacific Time (US & Canada),ernest.campbell@example.com,1996-03-27T22:16:15.860Z,25,2014-09-10T11:45:13.323Z,7,(941)-594-3686,(036)-823-4209,SSN,860-20-1769,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
male,Mr,Kent,Montgomery,5699,First Street,Stockton,New Jersey,United States,33509,52.4346,-49.1439,-2:00,Mid-Atlantic,kent.montgomery@example.com,1957-11-27T20:30:19.876Z,64,2014-07-24T23:21:51.912Z,7,(185)-197-2833,(316)-980-8220,SSN,188-02-5537,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
male,Mr,Kelly,Gonzalez,7687,College St,Athens,Georgia,United States,68489,-50.8313,30.9947,+4:30,Kabul,kelly.gonzalez@example.com,1954-07-11T23:04:03.216Z,67,2005-05-22T05:13:54.424Z,16,(594)-958-3497,(738)-497-3029,SSN,986-32-9865,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
male,Mr,Darren,Carlson,6402,Stevens Creek Blvd,Fort Collins,Mississippi,United States,95384,58.1216,12.4853,+3:30,Tehran,darren.carlson@example.com,1966-05-28T04:36:14.334Z,55,2004-08-26T06:00:16.004Z,17,(768)-539-9518,(851)-412-5873,SSN,241-89-5529,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
male,Mr,Bryan,Lambert,3329,Adams St,Red Bluff,Nevada,United States,44559,23.5094,11.1781,+4:30,Kabul,bryan.lambert@example.com,1973-10-27T16:10:15.832Z,48,2015-01-17T10:44:29.631Z,6,(513)-034-4040,(587)-767-0248,SSN,170-60-1544,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Miss,Sophia,Young,4917,Railroad St,Honolulu,Connecticut,United States,89641,25.5033,150.0946,-9:00,Alaska,sophia.young@example.com,1958-10-02T20:16:52.704Z,63,2010-11-23T15:05:34.951Z,11,(791)-609-1492,(222)-469-4859,SSN,791-53-4201,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
