gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Karl,Hansen,4447,Lakeview St,Augusta,South Carolina,United States,83462,-11.2359,-79.9437,+4:30,Kabul,karl.hansen@example.com,1948-11-17T08:07:37.077Z,73,2011-12-08T21:46:51.191Z,10,(438)-813-0617,(014)-868-4914,SSN,972-45-9303,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
female,Miss,Leslie,Taylor,2862,Cackson St,Fremont,Colorado,United States,49424,69.8355,45.9101,+4:30,Kabul,leslie.taylor@example.com,1947-10-23T17:13:56.272Z,74,2016-11-20T13:37:04.422Z,5,(302)-943-1409,(922)-300-6909,SSN,588-00-5555,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
male,Mr,Connor,Peck,3545,Lovers Ln,Nampa,New Mexico,United States,49040,-33.8659,178.1553,+3:30,Tehran,connor.peck@example.com,1962-09-10T06:57:29.939Z,59,2006-11-06T10:56:19.576Z,15,(317)-359-9394,(558)-308-5716,SSN,854-65-2047,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
female,Miss,Gwendolyn,Reyes,3312,Rolling Green Rd,Oklahoma City,Rhode Island,United States,62896,30.0892,-161.5213,-10:00,Hawaii,gwendolyn.reyes@example.com,1992-05-31T09:26:49.361Z,29,2012-08-03T10:40:02.011Z,9,(141)-623-7602,(464)-381-6431,SSN,759-01-8175,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg,US
female,Miss,Andrea,Lawrence,7800,Westheimer Rd,Hayward,Montana,United States,15098,-70.8825,94.8158,-3:30,Newfoundland,andrea.lawrence@example.com,1978-05-06T13:30:54.078Z,43,2013-11-14T12:41:34.622Z,8,(777)-941-2029,(197)-148-0580,SSN,257-41-2084,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
female,Miss,Theresa,Johnston,7063,Adams St,Steilacoom,Wisconsin,United States,69536,-33.3881,60.8349,+3:30,Tehran,theresa.johnston@example.com,1971-10-06T10:53:33.322Z,50,2013-11-12T07:49:12.661Z,8,(807)-869-5147,(020)-019-8112,SSN,917-51-1115,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
female,Ms,Connie,Gordon,9062,W Belt Line Rd,Kansas City,Maryland,United States,23147,-16.6514,-96.4526,-2:00,Mid-Atlantic,connie.gordon@example.com,1949-10-26T19:28:46.685Z,72,2002-06-11T02:04:31.502Z,19,(624)-147-1861,(660)-845-1432,SSN,681-05-4939,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
female,Mrs,Nina,Simmmons,4763,Washington Ave,Red Bluff,West Virginia,United States,45446,85.3502,-147.7987,-7:00,Mountain Time (US & Canada),nina.simmmons@example.com,1946-05-09T10:36:27.640Z,75,2010-02-01T08:10:56.594Z,11,(968)-372-1983,(722)-515-0424,SSN,879-21-3877,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Miss,Joy,Coleman,2857,Adams St,Burbank,Maryland,United States,27318,12.7472,176.6274,-7:00,Mountain Time (US & Canada),joy.coleman@example.com,1954-11-12T08:43:40.502Z,67,2018-01-01T15:55:36.645Z,3,(845)-089-6909,(080)-088-0824,SSN,549-40-6782,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
female,Mrs,Riley,Lopez,9213,Groveland Terrace,Sioux Falls,Nevada,United States,71873,64.2293,71.0087,+4:30,Kabul,riley.lopez@example.com,1952-02-19T08:50:42.612Z,69,2002-12-24T01:58:50.511Z,19,(310)-566-5772,(534)-333-0543,SSN,070-82-6076,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
