gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Judd,Vasquez,2947,Adams St,Manchester,West Virginia,United States,21411,73.4182,-42.4516,+3:30,Tehran,judd.vasquez@example.com,1976-11-21T16:14:30.354Z,45,2005-09-24T14:08:54.242Z,16,(913)-093-4755,(719)-298-4887,SSN,243-30-6900,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
female,Miss,Jo,Chambers,7398,Robinson Rd,Santa Clara,New Jersey,United States,41823,-23.2064,-94.5816,+3:30,Tehran,jo.chambers@example.com,1959-05-11T13:17:27.595Z,62,2002-05-22T10:12:16.404Z,19,(208)-438-6374,(335)-021-4784,SSN,149-87-3971,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
male,Mr,Gabe,White,760,Taylor St,Killeen,Michigan,United States,94658,27.9354,-24.0985,-3:30,Newfoundland,gabe.white@example.com,1981-06-28T12:56:21.889Z,40,2002-04-26T07:35:00.601Z,19,(426)-945-2678,(335)-738-8609,SSN,126-77-9659,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
male,Mr,Frederick,Clark,6678,Robinson Rd,Tacoma,New Mexico,United States,74379,-68.4803,-14.8519,-3:30,Newfoundland,frederick.clark@example.com,1965-06-10T11:06:00.337Z,56,2007-04-08T07:32:17.448Z,14,(988)-679-8166,(985)-050-3853,SSN,690-76-4032,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
male,Mr,Guy,Gutierrez,4244,W Belt Line Rd,El Paso,Michigan,United States,93822,9.5471,-105.2048,+4:30,Kabul,guy.gutierrez@example.com,1962-02-05T11:41:02.787Z,59,2004-12-05T05:03:51.007Z,17,(736)-487-2358,(746)-737-2971,SSN,919-77-9985,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
female,Mrs,Nellie,Craig,7304,Hunters Creek Dr,Lakeland,Oklahoma,United States,87449,84.9196,-69.6152,+3:30,Tehran,nellie.craig@example.com,1965-12-11T09:52:34.855Z,56,2009-03-19T18:36:43.261Z,12,(109)-770-4684,(078)-738-2615,SSN,381-03-5042,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
male,Mr,Byron,Watson,6825,Spring St,Waco,Hawaii,United States,54206,64.0740,117.9083,-7:00,Mountain Time (US & Canada),byron.watson@example.com,1993-01-26T20:06:53.581Z,28,2012-03-04T06:01:04.795Z,9,(953)-098-9526,(292)-248-6449,SSN,670-76-8716,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
male,Mr,Jonathan,Moore,1758,Washington Ave,Los Lunas,New Hampshire,United States,23746,47.6516,-43.1127,+4:30,Kabul,jonathan.moore@example.com,1991-01-11T21:16:19.488Z,30,2016-11-17T19:47:27.483Z,5,(266)-914-5252,(086)-489-2741,SSN,954-69-9849,https://randomuser.me/api/portraits/men/21.jpg,https://randomuser.me/api/portraits/med/men/21.jpg,https://randomuser.me/api/portraits/thumb/men/21.jpg,US
female,Ms,Erica,Gonzales,6233,Cherry St,Greensboro,Colorado,United States,56631,-29.4606,1.5947,-8:00,Pacific Time (US & Canada),erica.gonzales@example.com,1996-04-09T22:12:38.773Z,25,2002-09-17T08:30:23.708Z,19,(975)-906-4134,(879)-834-3097,SSN,057-40-1658,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
female,Mrs,Melanie,Baker,1401,Royal Ln,Greensboro,North Dakota,United States,45283,42.0723,145.1732,-9:00,Alaska,melanie.baker@example.com,1960-09-22T16:21:58.237Z,61,2016-01-08T03:22:29.137Z,5,(370)-762-8535,(875)-174-7082,SSN,117-82-8987,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
