gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Connie,Barnes,5752,Miller Ave,Miami Gardens,Minnesota,United States,81741,68.8663,45.0201,+5:45,Kathmandu,connie.barnes@example.com,1982-08-05T02:20:56.685Z,39,2009-08-28T08:16:30.654Z,12,(526)-124-6753,(794)-416-0923,SSN,774-33-2296,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
male,Mr,Arthur,Arnold,330,Edwards Rd,Pasadena,Missouri,United States,89303,36.2453,-27.1071,-3:30,Newfoundland,arthur.arnold@example.com,1978-02-03T07:17:11.707Z,43,2008-01-19T06:05:20.317Z,13,(640)-818-9966,(623)-012-9365,SSN,747-83-5183,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
female,Mrs,Isabella,Nguyen,7952,Forest Ln,Redding,Georgia,United States,70251,-71.9812,-80.1579,-10:00,Hawaii,isabella.nguyen@example.com,1978-03-28T22:56:39.641Z,43,2014-03-03T16:52:19.677Z,7,(472)-722-1283,(491)-333-6053,SSN,134-34-6375,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg,US
male,Mr,Martin,Black,3310,Sunset St,Visalia,Texas,United States,18220,-15.4951,-29.0263,-10:00,Hawaii,martin.black@example.com,1950-04-27T10:40:43.115Z,71,2004-08-05T22:07:20.945Z,17,(027)-894-0486,(458)-039-0889,SSN,686-73-7657,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
male,Mr,Kurt,Craig,5761,Shady Ln Dr,Torrance,Virginia,United States,78031,-89.2658,-156.2815,+4:30,Kabul,kurt.craig@example.com,1953-12-08T15:50:22.435Z,68,2018-01-30T13:17:27.318Z,3,(305)-769-6089,(078)-339-7332,SSN,020-30-1942,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
female,Mrs,Debra,Clark,5066,W Belt Line Rd,Louisville,Tennessee,United States,27355,44.0672,160.7001,+4:30,Kabul,debra.clark@example.com,1969-12-14T13:30:59.334Z,52,2011-01-09T11:15:11.333Z,10,(801)-295-9652,(100)-522-1987,SSN,791-82-2637,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
female,Mrs,Yvonne,Perry,6817,Mcclellan Rd,Anna,Ohio,United States,48581,-14.5150,-55.8863,+4:30,Kabul,yvonne.perry@example.com,1966-04-13T16:09:59.647Z,55,2008-04-06T19:29:50.335Z,13,(907)-390-4673,(446)-622-4585,SSN,103-72-6757,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
female,Ms,Peggy,Clark,8035,Walnut Hill Ln,Fullerton,Oregon,United States,99728,-30.5285,127.3604,-2:00,Mid-Atlantic,peggy.clark@example.com,1992-04-25T12:27:42.967Z,29,2016-02-07T03:20:26.155Z,5,(062)-280-6110,(757)-467-6519,SSN,463-16-2146,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
female,Ms,Chloe,Simmons,8752,Pecan Acres Ln,Rialto,Pennsylvania,United States,64261,-1.2184,-164.9322,-8:00,Pacific Time (US & Canada),chloe.simmons@example.com,1969-02-04T18:48:12.280Z,52,2002-08-09T19:28:10.609Z,19,(905)-746-7812,(248)-167-8148,SSN,440-92-7854,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
male,Mr,Nicholas,Carlson,1573,Westheimer Rd,Berkeley,Alaska,United States,20027,-54.9003,-160.4530,-8:00,Pacific Time (US & Canada),nicholas.carlson@example.com,1987-01-05T12:11:33.959Z,34,2002-07-02T11:17:25.225Z,19,(900)-433-4068,(634)-361-7835,SSN,865-20-4331,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
