gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Ernest,Matthews,2931,Locust Rd,Abilene,Louisiana,United States,93839,-80.1301,-163.0186,-2:00,Mid-Atlantic,ernest.matthews@example.com,1995-07-02T17:08:59.071Z,26,2012-08-04T02:51:58.803Z,9,(245)-470-6314,(071)-900-4870,SSN,420-14-4643,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Mrs,Connie,Bailey,8679,Crockett St,Plano,California,United States,13952,42.6250,34.0071,+5:45,Kathmandu,connie.bailey@example.com,1958-04-01T11:14:32.568Z,63,2002-12-18T20:48:50.478Z,19,(998)-546-6252,(632)-727-0501,SSN,962-58-3538,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
male,Mr,Brandon,Robinson,5873,Cherry St,Rio Rancho,New Mexico,United States,23903,-41.1175,57.3019,-3:30,Newfoundland,brandon.robinson@example.com,1962-04-06T07:09:00.140Z,59,2010-07-23T05:31:21.794Z,11,(225)-589-4195,(130)-637-5914,SSN,531-70-5786,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Ms,Lynn,Brewer,5814,N Stelling Rd,Los Lunas,Indiana,United States,61820,54.8823,67.9648,-2:00,Mid-Atlantic,lynn.brewer@example.com,1991-05-27T05:44:38.017Z,30,2009-09-05T04:55:05.493Z,12,(344)-001-4220,(069)-756-6050,SSN,381-17-7626,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
male,Mr,Gregory,Pena,3787,Dogwood Ave,Thornton,New Jersey,United States,31005,89.0133,-17.5195,-8:00,Pacific Time (US & Canada),gregory.pena@example.com,1978-09-25T11:35:32.236Z,43,2017-10-15T14:53:52.373Z,4,(121)-846-5294,(873)-293-8004,SSN,696-68-9735,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Ms,Ethel,Mcdonalid,4509,E Center St,Pomona,New Jersey,United States,11713,51.8098,156.4053,-7:00,Mountain Time (US & Canada),ethel.mcdonalid@example.com,1952-05-19T15:09:47.048Z,69,2014-04-25T09:26:30.167Z,7,(484)-239-2492,(965)-540-5775,SSN,545-12-2457,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
male,Mr,Tom,Allen,4751,Stevens Creek Blvd,Irvine,North Dakota,United States,82787,22.7881,-76.7600,-8:00,Pacific Time (US & Canada),tom.allen@example.com,1957-01-16T16:54:58.947Z,64,2015-02-19T06:23:23.874Z,6,(559)-668-2282,(388)-641-9535,SSN,454-33-9770,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Mrs,Kenzi,Hale,7773,Spring St,Altoona,Maryland,United States,67234,20.2128,-57.4048,-8:00,Pacific Time (US & Canada),kenzi.hale@example.com,1959-12-28T07:13:42.065Z,62,2014-12-19T01:42:36.654Z,7,(281)-846-6326,(510)-407-9752,SSN,388-09-4157,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Mrs,Jennie,Carpenter,9570,Camden Ave,Tacoma,Arizona,United States,85003,-7.8665,-87.0018,-9:00,Alaska,jennie.carpenter@example.com,1969-04-17T13:46:07.221Z,52,2013-03-31T07:34:57.334Z,8,(888)-032-7409,(776)-144-7191,SSN,441-42-0815,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
male,Mr,Jacob,Jacobs,6711,Washington Ave,Roseburg,Massachusetts,United States,91981,55.5820,-152.0353,-2:00,Mid-Atlantic,jacob.jacobs@example.com,1969-03-30T03:24:20.400Z,52,2015-03-21T12:25:24.705Z,6,(102)-145-0973,(583)-073-8054,SSN,853-72-9097,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
male,Mr,Richard,Watkins,4892,Country Club Rd,Montgomery,New York,United States,39353,-16.4357,171.3255,-10:00,Hawaii,richard.watkins@example.com,1971-02-15T03:33:19.937Z,50,2012-09-07T11:24:08.097Z,9,(910)-120-9622,(332)-591-1379,SSN,428-92-1617,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Ms,Ashley,Bishop,15,White Oak Dr,Madison,Hawaii,United States,98553,-48.4073,-9.7176,+4:30,Kabul,ashley.bishop@example.com,1982-10-01T14:07:59.383Z,39,2007-05-24T08:35:40.187Z,14,(192)-603-7785,(341)-675-3744,SSN,151-91-2074,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Miss,Joyce,Garza,1761,Fairview St,Vancouver,Massachusetts,United States,61741,-40.9945,177.9161,-9:00,Alaska,joyce.garza@example.com,1979-11-11T11:50:09.787Z,42,2005-02-24T18:38:11.273Z,16,(554)-741-2483,(124)-650-1132,SSN,145-94-2518,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
female,Mrs,Annie,Burns,1638,Spring St,Denver,California,United States,13608,-85.4680,129.1751,-3:30,Newfoundland,annie.burns@example.com,1976-12-14T11:07:52.107Z,45,2011-03-22T02:21:18.083Z,10,(937)-260-3132,(342)-303-0290,SSN,433-22-5772,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
